,1,2,3,4,5,6,7,8,9,10,11,12
A,0.062,0.059,0.061,0.071,0.066,0.063,2.512,2.572,2.474,0.044,0.044,0.046
B,0.145,0.167,0.136,0.604,0.724,0.7,0.059,0.064,0.061,0.044,0.044,0.044
C,0.232,0.252,0.238,1.067,0.958,1.061,2.627,2.385,2.284,0.045,0.045,0.046
D,0.399,0.403,0.454,1.369,1.322,1.349,0.396,0.355,0.391,0.275,0.289,0.363
E,0.824,0.794,0.76,0.562,0.783,0.725,0.111,0.12,0.148,0.356,0.294,0.389
F,1.306,1.194,1.278,0.849,0.695,0.752,0.135,0.136,0.138,0.061,0.064,0.064
G,1.135,1.086,1.176,1.165,1.268,1.243,0.142,0.122,0.142,0.132,0.124,0.122
H,1.212,1.102,1.031,0.315,0.308,0.342,0.128,0.112,0.118,0.687,0.787,0.791
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,Std 0,Std 0,Std 0,113,113,113,43,43,43,,,
B,Std 1,Std 1,Std 1,13,13,13,ChkStd 0,ChkStd 0,ChkStd 0,,,
C,Std 2,Std 2,Std 2,14,14,14,43 Dup,43 Dup,43 Dup,,,
D,Std 3,Std 3,Std 3,15,15,15,ChkStd 3,ChkStd 3,ChkStd 3,113 Spike,113 Spike,113 Spike
E,Std 4,Std 4,Std 4,16,16,16,44,44,44,44 Spike,44 Spike,44 Spike
F,Std 5,Std 5,Std 5,17,17,17,94,94,94,ChkStd 0,ChkStd 0,ChkStd 0
G,MC: 10ppt S5,MC: 10ppt S5,MC: 10ppt S5,18,18,18,97,97,97,100 Dup,100 Dup,100 Dup
H,MC: 20ppt S5,MC: 20ppt S5,MC: 20ppt S5,42,42,42,100,100,100,ChkStd 4,ChkStd 4,ChkStd 4
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,1,1,1,1,1,1,1,1,1,,,
B,1,1,1,50,50,50,1,1,1,,,
C,1,1,1,50,50,50,1,1,1,,,
D,1,1,1,50,50,50,1,1,1,1,1,1
E,1,1,1,50,50,50,1,1,1,1,1,1
F,1,1,1,50,50,50,1,1,1,1,1,1
G,1,1,1,50,50,50,1,1,1,1,1,1
H,1,1,1,50,50,50,1,1,1,1,1,1
