,1,2,3,4,5,6,7,8,9,10,11,12
A,0.066,0.061,0.062,0.068,0.066,0.065,0.26,0.267,0.253,0.151,0.133,0.136
B,0.127,0.127,0.135,0.066,0.07,0.067,0.064,0.063,0.059,0.069,0.067,0.064
C,0.267,0.224,0.23,0.177,0.177,0.195,0.216,0.221,0.213,0.069,0.061,0.068
D,0.368,0.428,0.406,0.064,0.068,0.066,0.38,0.442,0.395,0.416,0.344,0.372
E,0.65,0.728,0.728,0.149,0.133,0.145,0.202,0.22,0.267,0.385,0.38,0.457
F,0.92,1.145,1.137,0.318,0.285,0.313,0.085,0.085,0.088,0.063,0.061,0.059
G,1.153,1.181,1.19,0.117,0.129,0.123,0.148,0.132,0.13,0.069,0.071,0.06
H,1.202,1.196,1.186,0.156,0.16,0.131,0.289,0.266,0.276,0.85,0.868,0.72
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,Std 0,Std 0,Std 0,99,99,99,105,105,105,110,110,110
B,Std 1,Std 1,Std 1,97,97,97,ChkStd 0,ChkStd 0,ChkStd 0,111,111,111
C,Std 2,Std 2,Std 2,98,98,98,105 Dup,105 Dup,105 Dup,112,112,112
D,Std 3,Std 3,Std 3,100,100,100,ChkStd 3,ChkStd 3,ChkStd 3,97 Spike,97 Spike,97 Spike
E,Std 4,Std 4,Std 4,101,101,101,106,106,106,106 Spike,106 Spike,106 Spike
F,Std 5,Std 5,Std 5,102,102,102,107,107,107,ChkStd 0,ChkStd 0,ChkStd 0
G,MC: 10ppt S5,MC: 10ppt S5,MC: 10ppt S5,103,103,103,108,108,108,112 Dup,112 Dup,112 Dup
H,MC: 20ppt S5,MC: 20ppt S5,MC: 20ppt S5,104,104,104,109,109,109,ChkStd 4,ChkStd 4,ChkStd 4
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,1,1,1,1,1,1,1,1,1,1,1,1
B,1,1,1,25,25,25,1,1,1,1,1,1
C,1,1,1,25,25,25,1,1,1,1,1,1
D,1,1,1,25,25,25,1,1,1,25,25,25
E,1,1,1,25,25,25,1,1,1,1,1,1
F,1,1,1,1,1,1,1,1,1,1,1,1
G,1,1,1,1,1,1,1,1,1,1,1,1
H,1,1,1,1,1,1,1,1,1,1,1,1
