"","SampleID","Date","Month","Year","Campaign","Site","Zone","Depth","Rep","Sample_Name","FE_2_mean","FE_2_sd","FE_3_mean","FE_3_sd","FE_2_flag","FE_3_flag"
"1",206,202210,"October",2022,"MonMon","MSM","UP",45,"C","MSM_UP_LysC_45cm",6025.25864809268,566.087032729624,0,0,"within range","bdl"
"2",212,202210,"October",2022,"MonMon","MSM","TR",45,"B","MSM_TR_LysB_45cm",7154.20103748437,513.337854962714,286.549848144909,32.5655622796519,"within range","within range"
"3",215,202210,"October",2022,"MonMon","MSM","TR",45,"C","MSM_TR_LysC_45cm",4583.97553096929,591.268420400154,531.8656480264,239.332383400801,"within range","within range"
"4",257,202210,"October",2022,"MonMon","MSM","TR",4,"4","MSM_202210_TR_PEEPER_4",3345.90204393641,333.293035446733,987.365754562243,506.306096847854,"within range","within range"
"5",271,202210,"October",2022,"MonMon","MSM","WC",6,"6","MSM_202210_WC_PEEPER_6",617.339837759304,48.6941087609854,43.0015195654936,41.2483637647951,"within range","within range"
"6",272,202210,"October",2022,"MonMon","MSM","WC",7,"7","MSM_202210_WC_PEEPER_7",674.771954960046,73.8424764334394,0,0,"within range","bdl"
"7",273,202210,"October",2022,"MonMon","MSM","WC",8,"8","MSM_202210_WC_PEEPER_8",607.20475825329,132.274760125949,15.7267971839194,27.2396117628796,"within range","within range"
"8",274,202210,"October",2022,"MonMon","MSM","WC",9,"9","MSM_202210_WC_PEEPER_9",549.772641052548,22.0888936757313,38.7284994932195,67.0797288231617,"within range","within range"
"9",275,202210,"October",2022,"MonMon","MSM","WC",10,"10","MSM_202210_WC_PEEPER_10",707.686020382598,158.482123731481,117.165965504406,151.4712541491,"within range","within range"
"10",277,202210,"October",2022,"MonMon","MSM","WC",12,"12","MSM_202210_WC_PEEPER_12",595.380498829608,30.4052385180403,80.7127202086117,40.3652799136609,"within range","within range"
"11",341,202209,"September",2022,"MonMon","MSM","UP",45,"C","MSM_UP_LysC_45cm",5985.74566446397,107.743539403839,116.484821833772,171.097846176271,"within range","within range"
"12",414,202208,"August",2022,"MonMon","GWI","TR",45,"A","GWI_TR_LysA_45cm",4875.61898156215,104.896508983608,258.393587218749,447.550821412853,"within range","bdl"
"13",420,202208,"August",2022,"MonMon","GWI","TR",45,"C","GWI_TR_LysC_45cm",5840.86472449204,384.600588954097,72.806236644749,126.104100976588,"within range","within range"
"14",423,202208,"August",2022,"MonMon","GWI","WC",45,"A","GWI_WC_SipA_45cm",1739.66841331761,123.592315954976,136.770396071548,64.717457028487,"within range","within range"
"15",424,202208,"August",2022,"MonMon","GWI","WC",10,"B","GWI_WC_SipB_10cm",395.700802099541,36.5034851215155,0,0,"within range","bdl"
