Abs1,1,2,3,4,5,6,7,8,9,10,11,12
A,0.207,0.204,0.2,0.061,0.066,0.061,0.266,0.086,0.082,0.047,0.047,0.046
B,0.062,0.063,0.06,0.058,0.058,0.057,0.114,0.109,0.109,0.073,0.069,0.068
C,0.039,0.04,0.039,0.05,0.049,0.048,0.733,0.682,0.713,0.057,0.056,0.057
D,0.038,0.039,0.038,0.05,0.048,0.048,0.71,0.891,0.692,0.095,0.089,0.09
E,0.04,0.041,0.04,0.111,0.108,0.108,1.01,1.031,0.926,0.056,0.053,0.051
F,0.038,0.039,0.039,0.048,0.046,0.048,1.009,0.927,0.891,0.103,0.095,0.097
G,0.038,0.038,0.038,0.132,0.129,0.13,0.426,0.44,0.402,0.439,0.439,0.38
H,0.038,0.039,0.038,0.053,0.052,0.051,0.378,0.42,0.416,0.109,0.113,0.099
,,,,,,,,,,,,
Abs2,1,2,3,4,5,6,7,8,9,10,11,12
A,0.301,0.309,0.302,0.071,0.069,0.065,0.062,0.098,0.091,0.048,0.047,0.047
B,0.078,0.08,0.077,0.066,0.062,0.061,0.122,0.114,0.113,0.073,0.07,0.069
C,0.041,0.041,0.04,0.054,0.052,0.051,1.331,1.234,1.206,0.06,0.057,0.057
D,0.039,0.039,0.04,0.051,0.05,0.05,1.306,1.261,1.219,0.142,0.159,0.137
E,0.171,0.159,0.179,0.113,0.108,0.109,1.635,1.558,1.56,0.057,0.054,0.053
F,0.054,0.058,0.059,0.051,0.048,0.049,1.632,1.544,1.586,0.115,0.102,0.107
G,0.04,0.04,0.04,0.148,0.142,0.14,0.501,0.482,0.482,0.508,0.448,0.4
H,0.039,0.039,0.039,0.054,0.053,0.053,0.518,0.46,0.448,0.117,0.113,0.104
,,,,,,,,,,,,
IDs,1,2,3,4,5,6,7,8,9,10,11,12
A,60 uM Fe_2 A,60 uM Fe_2 A,60 uM Fe_2 A,202505_GCW_UP_C_10,202505_GCW_UP_C_10,202505_GCW_UP_C_10,,202505_MSM_UP_B_10,202505_MSM_UP_B_10,202505_MSM_WC_B_20,202505_MSM_WC_B_20,202505_MSM_WC_B_20
B,9 uM Fe_2 E,9 uM Fe_2 E,9 uM Fe_2 E,202505_GCW_TR_A_20,202505_GCW_TR_A_20,202505_GCW_TR_A_20,202505_MSM_TR_B_10,202505_MSM_TR_B_10,202505_MSM_TR_B_10,202505_MSM_SW_A,202505_MSM_SW_A,202505_MSM_SW_A
C,0.6 uM Fe_2 H,0.6 uM Fe_2 H,0.6 uM Fe_2 H,202505_GCW_TR_B_10,202505_GCW_TR_B_10,202505_GCW_TR_B_10,202505_MSM_TR_B_45,202505_MSM_TR_B_45,202505_MSM_TR_B_45,202505_MSM_SW_B,202505_MSM_SW_B,202505_MSM_SW_B
D,0.5 M HCl,0.5 M HCl,0.5 M HCl,202505_GCW_TR_C_20,202505_GCW_TR_C_20,202505_GCW_TR_C_20,202505_MSM_TR_B_45 dup,202505_MSM_TR_B_45 dup,202505_MSM_TR_B_45 dup,202505_MSM_SW_C,202505_MSM_SW_C,202505_MSM_SW_C
E,60 uM Fe_3 A,60 uM Fe_3 A,60 uM Fe_3 A,202505_GCW_WC_B_10,202505_GCW_WC_B_10,202505_GCW_WC_B_10,202505_MSM_TR_C_45,202505_MSM_TR_C_45,202505_MSM_TR_C_45,202505_GWI_UP_B_10,202505_GWI_UP_B_10,202505_GWI_UP_B_10
F,9 uM Fe_3 E,9 uM Fe_3 E,9 uM Fe_3 E,202505_GCW_WC_B_45,202505_GCW_WC_B_45,202505_GCW_WC_B_45,202505_MSM_TR_C_45 dup,202505_MSM_TR_C_45 dup,202505_MSM_TR_C_45 dup,202505_GWI_UP_B_20,202505_GWI_UP_B_20,202505_GWI_UP_B_20
G,0.6 uM Fe_3 H,0.6 uM Fe_3 H,0.6 uM Fe_3 H,202505_GCW_SW_A,202505_GCW_SW_A,202505_GCW_SW_A,202505_MSM_WC_A_10,202505_MSM_WC_A_10,202505_MSM_WC_A_10,202505_GWI_TR_A_10,202505_GWI_TR_A_10,202505_GWI_TR_A_10
H,0.5 M HCl,0.5 M HCl,0.5 M HCl,202505_GCW_SW_C,202505_GCW_SW_C,202505_GCW_SW_C,2025050_MSM_WC_B_10,2025050_MSM_WC_B_10,2025050_MSM_WC_B_10,202505_GWI_TR_B_20,202505_GWI_TR_B_20,202505_GWI_TR_B_20
,,,,,,,,,,,,
Dilutions,1,2,3,4,5,6,7,8,9,10,11,12
A,1,1,1,1,1,1,8,8,8,1,1,1
B,1,1,1,8,8,8,50,50,50,1,1,1
C,1,1,1,8,8,8,50,50,50,1,1,1
D,1,1,1,8,8,8,50,50,50,1,1,1
E,1,1,1,1,1,1,50,50,50,8,8,8
F,1,1,1,1,1,1,50,50,50,8,8,8
G,1,1,1,1,1,1,1,1,1,8,8,8
H,1,1,1,1,1,1,1,1,1,8,8,8
