,1,2,3,4,5,6,7,8,9,10,11,12
A,0.199,0.21,0.182,0.041,0.041,0.042,0.041,0.04,0.04,0.729,0.658,0.76
B,0.059,0.062,0.063,0.04,0.041,0.04,1.063,1.066,0.904,0.054,0.054,0.049
C,0.038,0.039,0.038,0.124,0.132,0.124,0.038,0.039,0.039,0.295,0.297,0.281
D,0.037,0.037,0.037,0.189,0.208,0.186,0.038,0.038,0.038,0.662,0.645,0.498
E,0.039,0.038,0.039,0.037,0.518,0.592,0.71,0.283,0.293,0.391,0.34,0.342
F,0.037,0.038,0.037,0.346,0.363,0.291,0.221,0.217,0.24,0.838,0.669,0.706
G,0.037,0.037,0.037,0.606,0.585,0.47,0.186,0.157,0.134,0.04,0.041,0.04
H,0.037,0.038,0.039,0.069,0.063,0.071,0.041,0.041,0.041,0.04,0.041,0.04
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,0.311,0.31,0.309,0.046,0.046,0.046,0.067,0.063,0.062,0.845,0.856,0.871
B,0.076,0.08,0.08,0.041,0.042,0.042,1.105,1.104,1.055,0.155,0.155,0.141
C,0.04,0.041,0.04,0.186,0.191,0.186,0.039,0.039,0.039,0.404,0.42,0.394
D,0.038,0.037,0.038,0.272,0.285,0.253,0.039,0.039,0.039,0.776,0.784,0.683
E,0.172,0.175,0.184,0.037,0.667,0.755,0.805,0.415,0.412,0.512,0.454,0.494
F,0.061,0.059,0.058,0.469,0.531,0.437,0.318,0.306,0.377,0.957,0.83,0.877
G,0.039,0.039,0.039,0.739,0.731,0.639,0.225,0.223,0.199,0.042,0.042,0.042
H,0.038,0.038,0.037,0.087,0.082,0.089,0.16,0.156,0.166,0.042,0.042,0.041
,,,,,,,,,,,,
IDs,1,2,3,4,5,6,7,8,9,10,11,12
A,60 uM Fe_2 A,60 uM Fe_2 A,60 uM Fe_2 A,537,537,537,545,545,545,551,551,551
B,9 uM Fe_2 E,9 uM Fe_2 E,9 uM Fe_2 E,538,538,538,546,546,546,552,552,552
C,0.6 uM Fe_2 H,0.6 uM Fe_2 H,0.6 uM Fe_2 H,539,539,539,547,547,547,553,553,553
D,0.5 M HCl,0.5 M HCl,0.5 M HCl,540,540,540,547 dup,547 dup,547 dup,554,554,554
E,60 uM Fe_3 A,60 uM Fe_3 A,60 uM Fe_3 A,,541,541,,548,548,555,555,555
F,9 uM Fe_3 E,9 uM Fe_3 E,9 uM Fe_3 E,542,542,542,548 spk,548 spk,548 spk,556,556,556
G,0.6 uM Fe_3 H,0.6 uM Fe_3 H,0.6 uM Fe_3 H,543,543,543,549,549,549,557,557,557
H,0.5 M HCl,0.5 M HCl,0.5 M HCl,544,544,544,550,550,550,558,558,558
,,,,,,,,,,,,
Dilutions,1,2,3,4,5,6,7,8,9,10,11,12
A,1,1,1,8,8,8,8,8,8,8,8,8
B,1,1,1,8,8,8,8,8,8,8,8,8
C,1,1,1,8,8,8,8,8,8,8,8,8
D,1,1,1,8,8,8,8,8,8,8,8,8
E,1,1,1,8,8,8,8,8,8,8,8,8
F,1,1,1,8,8,8,8,8,8,8,8,8
G,1,1,1,8,8,8,8,8,8,1,1,1
H,1,1,1,8,8,8,8,8,8,1,1,1
