Abs1,1,2,3,4,5,6,7,8,9,10,11,12
A,0.206,0.197,0.232,0.041,0.043,0.04,1.51,1.396,1.433,0.047,0.048,0.045
B,0.065,0.063,0.064,0.044,0.041,0.045,0.061,0.068,0.058,0.041,0.044,0.042
C,0.044,0.04,0.054,1.494,1.294,1.296,0.097,0.09,0.089,0.04,0.046,0.041
D,0.039,0.038,0.038,0.038,0.039,0.04,0.096,0.103,0.097,0.086,0.074,0.081
E,0.039,0.039,0.039,0.493,0.43,0.497,0.115,0.123,0.099,0.043,0.051,0.048
F,0.038,0.038,0.038,1.576,1.59,1.607,0.192,0.199,0.2,0.041,0.04,0.04
G,0.037,0.04,0.046,0.042,0.04,0.041,0.043,0.043,0.043,0.039,0.04,0.042
H,0.037,0.039,0.038,0.041,0.041,0.038,0.138,0.137,0.129,0.202,0.232,0.222
,,,,,,,,,,,,
Abs2,1,2,3,4,5,6,7,8,9,10,11,12
A,0.317,0.31,0.338,0.042,0.046,0.043,1.517,1.519,1.491,0.047,0.048,0.051
B,0.086,0.079,0.083,0.051,0.048,0.053,0.063,0.07,0.06,0.045,0.045,0.045
C,0.045,0.042,0.06,1.453,1.375,1.406,0.102,0.091,0.09,0.043,0.048,0.044
D,0.04,0.038,0.039,0.039,0.039,0.04,0.096,0.104,0.097,0.104,0.102,0.105
E,0.179,0.176,0.181,0.663,0.633,0.645,0.111,0.125,0.104,0.051,0.052,0.052
F,0.064,0.059,0.06,1.561,1.506,1.494,0.325,0.358,0.279,0.067,0.081,0.079
G,0.039,0.041,0.046,0.044,0.043,0.044,0.044,0.045,0.045,0.042,0.042,0.046
H,0.038,0.04,0.038,0.042,0.042,0.039,0.136,0.126,0.117,0.3,0.346,0.339
,,,,,,,,,,,,
IDs,1,2,3,4,5,6,7,8,9,10,11,12
A,60 uM Fe_2 A,60 uM Fe_2 A,60 uM Fe_2 A,559,559,559,567,567,567,573,573,573
B,9 uM Fe_2 E,9 uM Fe_2 E,9 uM Fe_2 E,560,560,560,568,568,568,574,574,574
C,0.6 uM Fe_2 H,0.6 uM Fe_2 H,0.6 uM Fe_2 H,561,561,561,569,569,569,575,575,575
D,0.5 M HCl,0.5 M HCl,0.5 M HCl,562,562,562,569 dup,569 dup,569 dup,576,576,576
E,60 uM Fe_3 A,60 uM Fe_3 A,60 uM Fe_3 A,563,563,563,570,570,570,577,577,577
F,9 uM Fe_3 E,9 uM Fe_3 E,9 uM Fe_3 E,564,564,564,570 spk,570 spk,570 spk,578,578,578
G,0.6 uM Fe_3 H,0.6 uM Fe_3 H,0.6 uM Fe_3 H,565,565,565,571,571,571,579,579,579
H,0.5 M HCl,0.5 M HCl,0.5 M HCl,566,566,566,572,572,572,High A ,High A ,High A 
,,,,,,,,,,,,
Dilutions,1,2,3,4,5,6,7,8,9,10,11,12
A,1,1,1,1,1,1,8,8,8,1,1,1
B,1,1,1,8,8,8,1,1,1,1,1,1
C,1,1,1,8,8,8,1,1,1,1,1,1
D,1,1,1,8,8,8,1,1,1,1,1,1
E,1,1,1,8,8,8,1,1,1,1,1,1
F,1,1,1,8,8,8,1,1,1,1,1,1
G,1,1,1,8,8,8,1,1,1,1,1,1
H,1,1,1,8,8,8,1,1,1,8,8,8
