Abs1,1,2,3,4,5,6,7,8,9,10,11,12
A,0.188,0.188,0.223,0.041,0.04,0.041,0.076,0.075,0.073,0.038,0.039,0.039
B,0.062,0.061,0.07,0.044,0.045,0.045,0.062,0.047,0.047,0.141,0.141,0.14
C,0.039,0.04,0.039,0.044,0.044,0.044,0.735,0.695,0.547,0.09,0.089,0.083
D,0.038,0.038,0.037,0.043,0.044,0.043,0.636,0.636,0.875,0.065,0.064,0.064
E,0.038,0.039,0.038,0.038,0.037,0.038,0.106,0.107,0.093,0.039,0.039,0.039
F,0.037,0.038,0.037,0.041,0.041,0.041,0.169,0.122,0.217,0.038,0.038,0.038
G,0.037,0.037,0.037,0.042,0.042,0.042,0.041,0.041,0.041,0.038,0.038,0.038
H,0.037,0.037,0.037,0.822,0.769,0.884,1.027,1.083,1.281,0.039,0.038,0.039
,,,,,,,,,,,,
Abs2,1,2,3,4,5,6,7,8,9,10,11,12
A,0.291,0.315,0.324,0.043,0.043,0.044,0.1,0.095,0.098,0.107,0.099,0.096
B,0.08,0.077,0.081,0.046,0.046,0.046,0.109,0.097,0.09,0.196,0.196,0.198
C,0.041,0.041,0.04,0.047,0.046,0.046,1.423,1.552,1.513,0.119,0.117,0.107
D,0.038,0.038,0.049,0.045,0.045,0.045,1.598,1.555,1.539,0.08,0.078,0.079
E,0.174,0.177,0.174,0.04,0.04,0.04,0.17,0.156,0.174,0.091,0.089,0.093
F,0.064,0.06,0.06,0.067,0.067,0.065,0.232,0.196,0.294,0.048,0.047,0.046
G,0.04,0.039,0.039,0.06,0.06,0.056,0.07,0.079,0.072,0.043,0.041,0.041
H,0.037,0.038,0.038,1.634,1.597,1.587,1.657,1.617,1.68,0.054,0.055,0.055
,,,,,,,,,,,,
IDs,1,2,3,4,5,6,7,8,9,10,11,12
A,60 uM Fe_2 A,60 uM Fe_2 A,60 uM Fe_2 A,493,493,493,501,501,501,507,507,507
B,9 uM Fe_2 E,9 uM Fe_2 E,9 uM Fe_2 E,494,494,494,502,502,502,508,508,508
C,0.6 uM Fe_2 H,0.6 uM Fe_2 H,0.6 uM Fe_2 H,495,495,495,503,503,503,509,509,509
D,0.5 M HCl,0.5 M HCl,0.5 M HCl,496,496,496,503 dup,503 dup,503 dup,510,510,510
E,60 uM Fe_3 A,60 uM Fe_3 A,60 uM Fe_3 A,497,497,497,504,504,504,511,511,511
F,9 uM Fe_3 E,9 uM Fe_3 E,9 uM Fe_3 E,499,499,499,504 spk,504 spk,504 spk,512,512,512
G,0.6 uM Fe_3 H,0.6 uM Fe_3 H,0.6 uM Fe_3 H,498,498,498,505,505,505,513,513,513
H,0.5 M HCl,0.5 M HCl,0.5 M HCl,500,500,500,506,506,506,514,514,514
,,,,,,,,,,,,
Dilutions,1,2,3,4,5,6,7,8,9,10,11,12
A,1,1,1,1,1,1,1,1,1,8,8,8
B,1,1,1,1,1,1,1,1,1,8,8,8
C,1,1,1,1,1,1,1,1,1,8,8,8
D,1,1,1,1,1,1,1,1,1,8,8,8
E,1,1,1,1,1,1,1,1,1,8,8,8
F,1,1,1,1,1,1,1,1,1,8,8,8
G,1,1,1,1,1,1,1,1,1,8,8,8
H,1,1,1,1,1,1,1,1,1,8,8,8
