,1,2,3,4,5,6,7,8,9,10,11,12
A,0.037,0.038,0.045,0.054,0.059,0.085,0.111,0.156,0.218,0.274,0.655,1.011
B,0.037,0.038,0.043,0.05,0.06,0.077,0.113,0.161,0.19,0.351,0.612,1.09
C,0.037,0.038,0.045,0.054,0.059,0.087,0.119,0.161,0.193,0.277,0.646,1.047
D,0.038,0.038,0.038,0.038,0.039,0.038,0.039,0.038,0.038,0.047,0.047,0.047
E,0.038,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.047,0.046,0.047
F,0.037,0.037,0.037,0.038,0.038,0.038,0.039,0.039,0.039,0.042,0.044,0.047
G,0.037,0.037,0.039,0.038,0.038,0.038,0.038,0.039,0.039,0.042,0.045,0.049
H,0.037,0.037,0.037,0.038,0.038,0.038,0.039,0.039,0.039,0.042,0.045,0.049
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,0.038,0.041,0.054,0.07,0.081,0.127,0.18,0.269,0.345,0.477,0.875,1.164
B,0.038,0.041,0.051,0.069,0.081,0.124,0.181,0.265,0.322,0.533,0.852,1.238
C,0.038,0.041,0.053,0.069,0.084,0.129,0.186,0.254,0.323,0.474,0.845,1.186
D,0.041,0.04,0.04,0.041,0.041,0.04,0.041,0.041,0.04,0.047,0.046,0.046
E,0.041,0.04,0.04,0.039,0.04,0.039,0.04,0.04,0.039,0.047,0.047,0.047
F,0.038,0.04,0.046,0.052,0.061,0.076,0.105,0.131,0.171,0.271,0.286,0.326
G,0.037,0.04,0.045,0.052,0.06,0.074,0.103,0.136,0.169,0.236,0.335,0.341
H,0.038,0.039,0.045,0.051,0.059,0.077,0.098,0.121,0.156,0.24,0.291,0.329
,,,,,,,,,,,,
IDs,1,2,3,4,5,6,7,8,9,10,11,12
A,0 uM Fe_2,0.6 uM Fe_2 H,3 uM Fe_2 G,6 uM Fe_2 F,9 uM Fe_2 E,18 uM Fe_2 D,30 uM Fe_2 C,45 uM Fe_2 B,60 uM Fe_2 A,100 uM Fe_2 C,250 uM Fe_2 B,500 uM Fe_2 A
B,0 uM Fe_2,0.6 uM Fe_2 H,3 uM Fe_2 G,6 uM Fe_2 F,9 uM Fe_2 E,18 uM Fe_2 D,30 uM Fe_2 C,45 uM Fe_2 B,60 uM Fe_2 A,100 uM Fe_2 C,250 uM Fe_2 B,500 uM Fe_2 A
C,0 uM Fe_2,0.6 uM Fe_2 H,3 uM Fe_2 G,6 uM Fe_2 F,9 uM Fe_2 E,18 uM Fe_2 D,30 uM Fe_2 C,45 uM Fe_2 B,60 uM Fe_2 A,100 uM Fe_2 C,250 uM Fe_2 B,500 uM Fe_2 A
D,0.6 uM Fe_2 H,0.6 uM Fe_2 H,0.6 uM Fe_2 H,0.6 uM Fe_2 H,0.6 uM Fe_2 H,0.6 uM Fe_2 H,0.6 uM Fe_2 H,0.6 uM Fe_2 H,0.6 uM Fe_2 H,,,
E,0.6 uM Fe_3 H,0.6 uM Fe_3 H,0.6 uM Fe_3 H,0.6 uM Fe_3 H,0.6 uM Fe_3 H,0.6 uM Fe_3 H,0.6 uM Fe_3 H,0.6 uM Fe_3 H,0.6 uM Fe_3 H,,,
F,0 uM Fe_3,0.6 uM Fe_3 H,3 uM Fe_3 G,6 uM Fe_3 F,9 uM Fe_3 E,18 uM Fe_3 D,30 uM Fe_3 C,45 uM Fe_3 B,60 uM Fe_3 A,100 uM Fe_3 C,250 uM Fe_3 B,500 uM Fe_3 A
G,0 uM Fe_3,0.6 uM Fe_3 H,3 uM Fe_3 G,6 uM Fe_3 F,9 uM Fe_3 E,18 uM Fe_3 D,30 uM Fe_3 C,45 uM Fe_3 B,60 uM Fe_3 A,100 uM Fe_3 C,250 uM Fe_3 B,500 uM Fe_3 A
H,0 uM Fe_3,0.6 uM Fe_3 H,3 uM Fe_3 G,6 uM Fe_3 F,9 uM Fe_3 E,18 uM Fe_3 D,30 uM Fe_3 C,45 uM Fe_3 B,60 uM Fe_3 A,100 uM Fe_3 C,250 uM Fe_3 B,500 uM Fe_3 A
,,,,,,,,,,,,
Dilutions,1,2,3,4,5,6,7,8,9,10,11,12
A,1,1,1,1,1,1,1,1,1,1,1,1
B,1,1,1,1,1,1,1,1,1,1,1,1
C,1,1,1,1,1,1,1,1,1,1,1,1
D,1,1,1,1,1,1,1,1,1,,,
E,1,1,1,1,1,1,1,1,1,,,
F,1,1,1,1,1,1,1,1,1,1,1,1
G,1,1,1,1,1,1,1,1,1,1,1,1
H,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,
Conc_uM,1,2,3,4,5,6,7,8,9,10,11,12
A,0,0.6,3,6,9,18,30,45,60,100,250,500
B,0,0.6,3,6,9,18,30,45,60,100,250,500
C,0,0.6,3,6,9,18,30,45,60,100,250,500
D,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,,,
E,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,,,
F,0,0.6,3,6,9,18,30,45,60,100,,
G,0,0.6,3,6,9,18,30,45,60,100,,
H,0,0.6,3,6,9,18,30,45,60,100,,
