,1,2,3,4,5,6,7,8,9,10,11,12
A,0.055,0.057,0.055,0.051,0.061,0.06,0.077,0.074,0.082,0.06,0.062,0.061
B,0.132,0.145,0.133,0.059,0.056,0.058,0.057,0.056,0.055,0.2,0.191,0.193
C,0.213,0.225,0.238,0.056,0.054,0.054,0.08,0.08,0.078,0.157,0.155,0.135
D,0.424,0.368,0.426,0.059,0.056,0.061,0.411,0.371,0.423,0.283,0.308,0.342
E,0.696,0.645,0.581,0.054,0.056,0.055,0.057,0.059,0.057,0.283,0.239,0.274
F,0.983,0.979,0.978,0.143,0.131,0.117,0.067,0.064,0.066,0.053,0.053,0.056
G,0.968,0.974,0.968,0.058,0.055,0.059,0.084,0.074,0.085,0.132,0.134,0.125
H,1.038,0.919,0.98,0.06,0.058,0.056,0.072,0.07,0.068,0.652,0.553,0.619
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,Std 0,Std 0,Std 0,49,49,49,57,57,57,62,62,62
B,Std 1,Std 1,Std 1,50,50,50,ChkStd 0,ChkStd 0,ChkStd 0,63,63,63
C,Std 2,Std 2,Std 2,51,51,51,57 Dup,57 Dup,57 Dup,64,64,64
D,Std 3,Std 3,Std 3,52,52,52,ChkStd 3,ChkStd 3,ChkStd 3,49 Spike,49 Spike,49 Spike
E,Std 4,Std 4,Std 4,53,53,53,58,58,58,58 Spike,58 Spike,58 Spike
F,Std 5,Std 5,Std 5,54,54,54,59,59,59,ChkStd 0,ChkStd 0,ChkStd 0
G,MC: 10ppt S5,MC: 10ppt S5,MC: 10ppt S5,55,55,55,60,60,60,64 Dup,64 Dup,64 Dup
H,MC: 20ppt S5,MC: 20ppt S5,MC: 20ppt S5,56,56,56,61,61,61,ChkStd 4,ChkStd 4,ChkStd 4
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,1,1,1,25,25,25,1,1,1,1,1,1
B,1,1,1,1,1,1,1,1,1,1,1,1
C,1,1,1,1,1,1,1,1,1,1,1,1
D,1,1,1,1,1,1,1,1,1,25,25,25
E,1,1,1,1,1,1,1,1,1,1,1,1
F,1,1,1,1,1,1,1,1,1,1,1,1
G,1,1,1,1,1,1,1,1,1,1,1,1
H,1,1,1,1,1,1,1,1,1,1,1,1
