...1,1,2,3,4,5,6,7,8,9,10,11,12
A,0.049,0.054,0.055,0.056,0.054,0.056,0.15,0.143,0.14,1.541,1.556,1.66
B,0.159,0.154,0.21,0.112,0.121,0.126,1.365,1.326,1.175,1.465,1.253,1.346
C,0.516,0.476,0.6,0.091,0.1,0.1,1.8,1.675,1.429,1.358,1.143,1.165
D,0.734,0.709,0.761,0.072,0.073,0.075,1.766,1.955,1.497,1.436,1.333,1.279
E,1.336,1.034,1.23,0.074,0.073,0.075,1.863,1.873,1.648,0.057,0.055,0.055
F,1.855,2.087,1.843,0.058,0.055,0.054,1.956,1.932,1.99,0.056,0.057,0.054
G,0.064,0.059,0.053,0.103,0.106,0.104,2.033,1.827,1.766,0.056,0.056,0.054
H,0.061,0.06,0.065,0.107,0.106,0.107,1.964,1.868,2.166,0.055,0.06,0.056
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,Std 0,Std 0,Std 0,GCW_UP_LysA_20cm,GCW_UP_LysA_20cm,GCW_UP_LysA_20cm,GCW_TR_LysC_45cm,GCW_TR_LysC_45cm,GCW_TR_LysC_45cm,GCW_WC_LysB_45cm,GCW_WC_LysB_45cm,GCW_WC_LysB_45cm
B,Std 1,Std 1,Std 1,GCW_TR_LysA_20cm,GCW_TR_LysA_20cm,GCW_TR_LysA_20cm,GCW_WC_LysA_10cm,GCW_WC_LysA_10cm,GCW_WC_LysA_10cm,GCW_WC_LysC_10cm,GCW_WC_LysC_10cm,GCW_WC_LysC_10cm
C,Std 2,Std 2,Std 2,GCW_TR_LysA_45cm,GCW_TR_LysA_45cm,GCW_TR_LysA_45cm,GCW_WC_LysA_20cm,GCW_WC_LysA_20cm,GCW_WC_LysA_20cm,GCW_WC_LysC_20cm,GCW_WC_LysC_20cm,GCW_WC_LysC_20cm
D,Std 3,Std 3,Std 3,GCW_TR_LysB_10cm,GCW_TR_LysB_10cm,GCW_TR_LysB_10cm,GCW_WC_LysA_45cm,GCW_WC_LysA_45cm,GCW_WC_LysA_45cm,GCW_WC_LysC_45cm,GCW_WC_LysC_45cm,GCW_WC_LysC_45cm
E,Std 4,Std 4,Std 4,GCW_TR_LysB_20cm,GCW_TR_LysB_20cm,GCW_TR_LysB_20cm,GCW_WC_LysB_10cm,GCW_WC_LysB_10cm,GCW_WC_LysB_10cm,GCW_SW_A,GCW_SW_A,GCW_SW_A
F,Std 5,Std 5,Std 5,GCW_TR_LysB_45cm,GCW_TR_LysB_45cm,GCW_TR_LysB_45cm,GCW_WC_LysB_10cm_dup,GCW_WC_LysB_10cm_dup,GCW_WC_LysB_10cm_dup,GCW_SW_B,GCW_SW_B,GCW_SW_B
G,MC: 10ppt,MC: 10ppt,MC: 10ppt,GCW_TR_LysC_10cm,GCW_TR_LysC_10cm,GCW_TR_LysC_10cm,GCW_WC_LysB_20cm,GCW_WC_LysB_20cm,GCW_WC_LysB_20cm,GCW_SW_C,GCW_SW_C,GCW_SW_C
H,MC: 20ppt,MC: 20ppt,MC: 20ppt,GCW_TR_LysC_20cm,GCW_TR_LysC_20cm,GCW_TR_LysC_20cm,GCW_WC_LysB_20cm_spk,GCW_WC_LysB_20cm_spk,GCW_WC_LysB_20cm_spk,MSM_UP_LysA_45cm,MSM_UP_LysA_45cm,MSM_UP_LysA_45cm
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,1,1,1,1,1,1,1,1,1,25,25,25
B,1,1,1,1,1,1,25,25,25,25,25,25
C,1,1,1,1,1,1,25,25,25,25,25,25
D,1,1,1,1,1,1,25,25,25,25,25,25
E,1,1,1,1,1,1,25,25,25,1,1,1
F,1,1,1,1,1,1,25,25,25,1,1,1
G,1,1,1,1,1,1,25,25,25,1,1,1
H,1,1,1,1,1,1,25,25,25,1,1,1
