...1,1,2,3,4,5,6,7,8,9,10,11,12
A,0.052,0.053,0.052,0.055,0.056,0.057,0.062,0.062,0.062,0.557,0.487,0.479
B,0.187,0.203,0.172,0.053,0.054,0.055,0.093,0.091,0.086,0.953,0.865,0.841
C,0.566,0.567,0.955,0.056,0.072,0.054,0.115,0.116,0.118,0.11,0.112,0.099
D,0.688,0.663,0.655,0.059,0.057,0.054,0.149,0.159,0.144,1.5,1.396,1.299
E,1.325,1.259,1.201,0.098,0.091,0.094,0.487,0.489,0.469,1.513,1.348,1.24
F,1.713,1.704,1.722,0.103,0.092,0.092,0.494,0.535,0.463,0.149,0.15,0.148
G,1.644,1.411,1.518,0.196,0.207,0.196,0.055,0.053,0.054,1.847,1.764,1.634
H,1.674,1.297,1.51,0.056,0.055,0.054,0.552,0.43,0.586,1.433,1.533,1.518
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,Std 0,Std 0,Std 0,MSM_UP_LysB_10cm,MSM_UP_LysB_10cm,MSM_UP_LysB_10cm,MSM_TR_LysB_10cm,MSM_TR_LysB_10cm,MSM_TR_LysB_10cm,MSM_WC_LysA_10cm,MSM_WC_LysA_10cm,MSM_WC_LysA_10cm
B,Std 1,Std 1,Std 1,MSM_UP_LysB_45cm,MSM_UP_LysB_45cm,MSM_UP_LysB_45cm,MSM_TR_LysB_20cm,MSM_TR_LysB_20cm,MSM_TR_LysB_20cm,MSM_WC_LysA_20cm,MSM_WC_LysA_20cm,MSM_WC_LysA_20cm
C,Std 2,Std 2,Std 2,MSM_UP_LysC_10cm,MSM_UP_LysC_10cm,MSM_UP_LysC_10cm,MSM_TR_LysB_45cm,MSM_TR_LysB_45cm,MSM_TR_LysB_45cm,MSM_WC_LysA_45cm,MSM_WC_LysA_45cm,MSM_WC_LysA_45cm
D,Std 3,Std 3,Std 3,MSM_UP_LysC_20cm,MSM_UP_LysC_20cm,MSM_UP_LysC_20cm,MSM_TR_LysC_10cm,MSM_TR_LysC_10cm,MSM_TR_LysC_10cm,MSM_WC_LysB_10cm,MSM_WC_LysB_10cm,MSM_WC_LysB_10cm
E,Std 4,Std 4,Std 4,MSM_UP_LysC_45cm,MSM_UP_LysC_45cm,MSM_UP_LysC_45cm,MSM_TR_LysC_20cm,MSM_TR_LysC_20cm,MSM_TR_LysC_20cm,MSM_WC_LysB_20cm,MSM_WC_LysB_20cm,MSM_WC_LysB_20cm
F,Std 5,Std 5,Std 5,MSM_TR_LysA_10cm,MSM_TR_LysA_10cm,MSM_TR_LysA_10cm,MSM_TR_LysC_20cm_dup,MSM_TR_LysC_20cm_dup,MSM_TR_LysC_20cm_dup,MSM_WC_LysB_45cm,MSM_WC_LysB_45cm,MSM_WC_LysB_45cm
G,MC: 10ppt,MC: 10ppt,MC: 10ppt,MSM_TR_LysA_20cm,MSM_TR_LysA_20cm,MSM_TR_LysA_20cm,MSM_TR_LysC_45cm,MSM_TR_LysC_45cm,MSM_TR_LysC_45cm,MSM_WC_LysC_10cm,MSM_WC_LysC_10cm,MSM_WC_LysC_10cm
H,MC: 20ppt,MC: 20ppt,MC: 20ppt,MSM_TR_LysA_45cm,MSM_TR_LysA_45cm,MSM_TR_LysA_45cm,MSM_TR_LysC_45cm_spk,MSM_TR_LysC_45cm_spk,MSM_TR_LysC_45cm_spk,MSM_WC_LysC_20cm,MSM_WC_LysC_20cm,MSM_WC_LysC_20cm
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,1,1,1,1,1,1,1,1,1,25,25,25
B,1,1,1,1,1,1,1,1,1,25,25,25
C,1,1,1,1,1,1,1,1,1,1,1,1
D,1,1,1,1,1,1,1,1,1,25,25,25
E,1,1,1,1,1,1,1,1,1,25,25,25
F,1,1,1,1,1,1,1,1,1,1,1,1
G,1,1,1,1,1,1,1,1,1,25,25,25
H,1,1,1,1,1,1,1,1,1,25,25,25
