Date,Month,Year,Campaign,Site,Zone,Depth,1_mV,2_mV,3_mV,4_mV,5_mV,6_mV
20220502,May,2022,Monthly Monitoring,MSM,Upland,10,1.7,94.6,89.9,98.1,39.8,NA
20220502,May,2022,Monthly Monitoring,MSM,Upland,20,98.2,87.7,88.4,111.6,-39.2,NA
20220502,May,2022,Monthly Monitoring,MSM,Upland,35,237.8,147.2,134.2,209.6,227.4,NA
20220502,May,2022,Monthly Monitoring,MSM,Transition,10,251.6,135.5,241.7,204.4,205.4,NA
20220502,May,2022,Monthly Monitoring,MSM,Transition,20,-26.9,-15.1,-19.1,-16.1,-49.9,NA
20220502,May,2022,Monthly Monitoring,MSM,Transition,35,-39.6,-62.44,-71.8,-39.2,64.6,NA
20220502,May,2022,Monthly Monitoring,MSM,Wetland,10,-8.2,-136,-275.2,-83.8,15.6,NA
20220502,May,2022,Monthly Monitoring,MSM,Wetland,20,-104,-87.6,-471.2,112.6,128.3,NA
20220502,May,2022,Monthly Monitoring,MSM,Wetland,35,-167.4,-176.1,-160.2,-204.6,123.4,NA
20220502,May,2022,Monthly Monitoring,GWI ,Upland,10,120.8,302.8,215.9,344,369,NA
20220502,May,2022,Monthly Monitoring,GWI ,Upland,20,343.8,354.4,319,354,378,NA
20220502,May,2022,Monthly Monitoring,GWI ,Upland,35,423.9,378.4,383.4,405.4,315.9,NA
20220502,May,2022,Monthly Monitoring,GWI ,Transition,10,25,45.2,-0.8,-53.8,15.6,NA
20220502,May,2022,Monthly Monitoring,GWI ,Transition,20,38.8,36,-15.2,-29.7,22.4,NA
20220502,May,2022,Monthly Monitoring,GWI ,Transition,35,-74,65,1,19,15,NA
20220502,May,2022,Monthly Monitoring,GWI ,Wetland,10,14,1,34,21,99,NA
20220502,May,2022,Monthly Monitoring,GWI ,Wetland,20,-73,220,21,-22,-69,NA
20220502,May,2022,Monthly Monitoring,GWI ,Wetland,35,20,-59,17,-22,-162,NA
20220607,June,2022,Monthly Monitoring,MSM,Upland,10,60.5,177.4,-63,222,281,-33
20220607,June,2022,Monthly Monitoring,MSM,Upland,20,10,61,230,268,122.4,156
20220607,June,2022,Monthly Monitoring,MSM,Upland,35,58,96,175,109,-35,173
20220607,June,2022,Monthly Monitoring,MSM,Transition,10,50.4,-65,-62,1,32,-74
20220607,June,2022,Monthly Monitoring,MSM,Transition,20,-113,-179,-113,-134,-124,-144
20220607,June,2022,Monthly Monitoring,MSM,Transition,35,-127,-130,-104,-140,-90,-119
20220607,June,2022,Monthly Monitoring,MSM,Wetland,10,-179,-33,-135,-233,-258,-157
20220607,June,2022,Monthly Monitoring,MSM,Wetland,20,-231,-253,-206,-188,-256,-236
20220607,June,2022,Monthly Monitoring,MSM,Wetland,35,-240,-261,-240,-222,-157,-232
20220607,June,2022,Monthly Monitoring,GWI ,Upland,10,352,365,363,357,308,350
20220607,June,2022,Monthly Monitoring,GWI ,Upland,20,392,381,388,391,367,323
20220607,June,2022,Monthly Monitoring,GWI ,Upland,35,356,211,162,221,195,334
20220607,June,2022,Monthly Monitoring,GWI ,Transition,10,55,-89,-71,-3,-25,-64
20220607,June,2022,Monthly Monitoring,GWI ,Transition,20,31,-12,-98,-27,1,-66
20220607,June,2022,Monthly Monitoring,GWI ,Transition,35,29,-31,-107,-44,-87,-30
20220607,June,2022,Monthly Monitoring,GWI ,Wetland,10,-47,-131,201,-69,217,173
20220607,June,2022,Monthly Monitoring,GWI ,Wetland,20,-215,-76,-113,-142,-94,-1
20220607,June,2022,Monthly Monitoring,GWI ,Wetland,35,-207,-95,-91,-354,-77,-12
20220607,June,2022,Monthly Monitoring,Gcrew,Upland,10,407.5,403.5,244.9,301.7,371.3,412.2
20220607,June,2022,Monthly Monitoring,Gcrew,Upland,20,459,473.5,470.4,465.3,450.1,449.8
20220607,June,2022,Monthly Monitoring,Gcrew,Upland,35,502.8,493.9,487.6,495.9,365.2,507.4
20220607,June,2022,Monthly Monitoring,Gcrew,Transition,10,15.7,-18.8,-98.6,-109.8,65.6,-204.6
20220607,June,2022,Monthly Monitoring,Gcrew,Transition,20,62.4,15.4,-114.2,-86.6,-34.9,-101.5
20220607,June,2022,Monthly Monitoring,Gcrew,Transition,35,-122.9,-68.2,-116.1,-120.1,-104.7,-563.2
20220607,June,2022,Monthly Monitoring,Gcrew,Wetland,10,-227.5,-220,-254.8,-243.4,-236,-243.4
20220607,June,2022,Monthly Monitoring,Gcrew,Wetland,20,-268.3,-261.4,-304.3,-293.8,-283.1,-277.5
20220607,June,2022,Monthly Monitoring,Gcrew,Wetland,35,-314.2,-306.9,-329.8,-325.7,-315.3,-314.2
20220711,July,2022,Monthly Monitoring,Gcrew,Upland,10,398.1,348.7,390.8,333.9,375.7,394.1
20220711,July,2022,Monthly Monitoring,Gcrew,Upland,20,406.6,475.8,455.2,431.3,460.7,424
20220711,July,2022,Monthly Monitoring,Gcrew,Upland,30,487.1,499.1,471.8,461.8,487.8,476.6
20220711,July,2022,Monthly Monitoring,Gcrew,Transition,10,-125.1,37.2,-99.1,-105.2,-19.3,-109.8
20220711,July,2022,Monthly Monitoring,Gcrew,Transition,20,-71.5,-117,-76.6,-120,-104.4,-234.4
20220711,July,2022,Monthly Monitoring,Gcrew,Transition,35,-151.3,-130.8,-111,-142.7,-125.8,-130.3
20220711,July,2022,Monthly Monitoring,Gcrew,Wetland,10,-140.9,-219.6,-232.9,-273.3,-211,-149.8
20220711,July,2022,Monthly Monitoring,Gcrew,Wetland,20,-265,-218.6,-298.7,-293.5,-294,-291.2
20220711,July,2022,Monthly Monitoring,Gcrew,Wetland,35,-309,-316.3,-319.1,-313.5,-326.3,-307.8
20220712,July,2022,Monthly Monitoring,GWI ,Upland,10,297.9,301.8,264.7,320.6,360.3,262.1
20220712,July,2022,Monthly Monitoring,GWI ,Upland,20,352.5,352.4,338.7,312.5,373.5,369.3
20220712,July,2022,Monthly Monitoring,GWI ,Upland,35,291.9,316.2,298.6,224.1,332.7,312.4
20220712,July,2022,Monthly Monitoring,GWI ,Transition,10,-72.9,-52.7,-328.5,-128.1,-85,-80.8
20220712,July,2022,Monthly Monitoring,GWI ,Transition,20,-68.2,6.4,-361.8,-43.8,-60.4,-51
20220712,July,2022,Monthly Monitoring,GWI ,Transition,35,-65.9,7.8,-140.3,70.6,17.5,27.3
20220712,July,2022,Monthly Monitoring,GWI ,Wetland,10,84.9,46.9,68.5,13.2,-107.3,-99.4
20220712,July,2022,Monthly Monitoring,GWI ,Wetland,20,-61,-63.4,-46.5,-58.9,-89.1,-85.6
20220712,July,2022,Monthly Monitoring,GWI ,Wetland,35,-49.3,-54.8,-57.5,-32.3,-82.1,-99.3
20220714,July,2022,Monthly Monitoring,MSM,Upland,10,218,312,241,212,265,334
20220714,July,2022,Monthly Monitoring,MSM,Upland,20,92,311,350,377,309,402
20220714,July,2022,Monthly Monitoring,MSM,Upland,35,215,232,348,349,306,404
20220714,July,2022,Monthly Monitoring,MSM,Transition,10,146.8,-14,86.2,62.9,102.5,40.3
20220714,July,2022,Monthly Monitoring,MSM,Transition,20,-5,-81,-142,-124,-68,-68
20220714,July,2022,Monthly Monitoring,MSM,Transition,35,-99,-138,-119,-148,-24,-62
20220714,July,2022,Monthly Monitoring,MSM,Wetland,10,-155,-200,-235,-212,-219,-207
20220714,July,2022,Monthly Monitoring,MSM,Wetland,20,-234,-259,-260,-259,-269,-215
20220714,July,2022,Monthly Monitoring,MSM,Wetland,35,-265,-273,-275,-278,-269,-278
20220816,August,2022,Monthly Monitoring,Gcrew,Upland,10,337.7,306.2,328.7,111.3,314.8,305.7
20220816,August,2022,Monthly Monitoring,Gcrew,Upland,20,441,449.5,415.8,56.8,409.6,432.5
20220816,August,2022,Monthly Monitoring,Gcrew,Upland,30,483.9,476.4,281.4,13.2,464,480.7
20220816,August,2022,Monthly Monitoring,Gcrew,Transition,10,-157.1,-145.3,-115,-179.9,-133.4,-147.6
20220816,August,2022,Monthly Monitoring,Gcrew,Transition,20,-132.6,-154.8,-152.7,-173.4,-141.3,-119.2
20220816,August,2022,Monthly Monitoring,Gcrew,Transition,35,-137.4,-142.2,-155.2,-175.6,-152.5,-142.3
20220816,August,2022,Monthly Monitoring,Gcrew,Wetland,10,-214.2,-211.8,-112.8,-210,-178.6,-214
20220816,August,2022,Monthly Monitoring,Gcrew,Wetland,20,-286.7,-252.1,-271.7,-288.7,-265,-276.5
20220816,August,2022,Monthly Monitoring,Gcrew,Wetland,35,-308.9,292.5,-294,-287.3,-289.3,-290.9
20220818,August,2022,Monthly Monitoring,GWI ,Upland,10,345.5,360.3,165.1,363.1,372.7,343.3
20220818,August,2022,Monthly Monitoring,GWI ,Upland,20,385.3,409.7,411.6,403.5,406.3,407
20220818,August,2022,Monthly Monitoring,GWI ,Upland,35,386.9,404.8,415.2,403.9,404,404.2
20220818,August,2022,Monthly Monitoring,GWI ,Transition,10,31.8,-67.2,8.3,71.5,106.1,92.6
20220818,August,2022,Monthly Monitoring,GWI ,Transition,20,-93,-45.4,-94.8,14,61.4,-101.5
20220818,August,2022,Monthly Monitoring,GWI ,Transition,35,-27.6,-30.3,59.7,-48.5,-152.5,6.4
20220818,August,2022,Monthly Monitoring,GWI ,Wetland,10,58.7,44.7,80.7,74.4,41.7,58
20220818,August,2022,Monthly Monitoring,GWI ,Wetland,20,-38.4,-44.3,-52.5,-44.5,-73,-80
20220818,August,2022,Monthly Monitoring,GWI ,Wetland,35,-72.5,-78.6,-73.2,-61.9,-99,-87.7
20220830,August,2022,Monthly Monitoring,MSM,Upland,10,164.3,92.5,238.8,239.8,-146.3,160.6
20220830,August,2022,Monthly Monitoring,MSM,Upland,20,270.1,277.3,265.5,252.6,130.4,278.9
20220830,August,2022,Monthly Monitoring,MSM,Upland,35,274.1,136.1,247.1,230.2,173.7,235.9
20220830,August,2022,Monthly Monitoring,MSM,Transition,10,75.3,43.7,71.5,85.5,29.5,22.7
20220830,August,2022,Monthly Monitoring,MSM,Transition,20,-65.5,-66.5,-83.6,-151.4,-84.3,-61.4
20220830,August,2022,Monthly Monitoring,MSM,Transition,35,-98.3,-78.3,-206.8,-112,-56.8,-54.5
20220830,August,2022,Monthly Monitoring,MSM,Wetland,10,-195.1,-202.4,-204.1,-210.5,-192.6,-245.5
20220830,August,2022,Monthly Monitoring,MSM,Wetland,20,-274.3,-221.5,-301.4,-262.2,-390.3,-288.4
20220830,August,2022,Monthly Monitoring,MSM,Wetland,35,-288.7,-252.7,-281.6,-290.5,-282.2,-291.3
20220919,September,2022,Monthly Monitoring,Gcrew,Upland,10,287.6,243.5,238.1,334.2,277.9,205.4
20220919,September,2022,Monthly Monitoring,Gcrew,Upland,20,481.2,440.7,392.1,399.5,439.4,453.5
20220919,September,2022,Monthly Monitoring,Gcrew,Upland,30,434.6,482.7,NA,NA,474.3,NA
20220919,September,2022,Monthly Monitoring,Gcrew,Transition,10,-49.5,170.5,22.8,188.1,18.9,-23.2
20220919,September,2022,Monthly Monitoring,Gcrew,Transition,20,-93.1,-13.6,-64.7,-41.4,-94.3,-104.3
20220919,September,2022,Monthly Monitoring,Gcrew,Transition,35,-207.3,-122.1,-66.9,-43.9,-104.3,-67.9
20220919,September,2022,Monthly Monitoring,Gcrew,Wetland,10,-230.1,-353.9,-264.8,-255.4,-300.1,-292.5
20220919,September,2022,Monthly Monitoring,Gcrew,Wetland,20,-265.9,-266.6,-291,-279.3,-327.7,-323.4
20220919,September,2022,Monthly Monitoring,Gcrew,Wetland,35,-299.9,-299.8,-302.8,-263.9,-326.9,-321.3
20220922,September,2022,Monthly Monitoring,GWI ,Upland,10,NA,NA,NA,NA,NA,NA
20220922,September,2022,Monthly Monitoring,GWI ,Upland,20,NA,NA,NA,NA,NA,NA
20220922,September,2022,Monthly Monitoring,GWI ,Upland,35,NA,NA,NA,NA,NA,NA
20220922,September,2022,Monthly Monitoring,GWI ,Transition,10,NA,NA,NA,NA,NA,NA
20220922,September,2022,Monthly Monitoring,GWI ,Transition,20,NA,NA,NA,NA,NA,NA
20220922,September,2022,Monthly Monitoring,GWI ,Transition,35,NA,NA,NA,NA,NA,NA
20220922,September,2022,Monthly Monitoring,GWI ,Wetland,10,NA,NA,NA,NA,NA,NA
20220922,September,2022,Monthly Monitoring,GWI ,Wetland,20,NA,NA,NA,NA,NA,NA
20220922,September,2022,Monthly Monitoring,GWI ,Wetland,35,NA,NA,NA,NA,NA,NA
20220918,September,2022,Monthly Monitoring,MSM,Upland,10,122.9,132.5,80.1,22,-4.8,-29.6
20220918,September,2022,Monthly Monitoring,MSM,Upland,20,212.4,214.1,241.5,7,272.6,108.9
20220918,September,2022,Monthly Monitoring,MSM,Upland,35,217.9,279,286.8,-5.4,191.8,243
20220918,September,2022,Monthly Monitoring,MSM,Transition,10,-75.8,-42.2,-180.6,-80.7,-226.6,-188.3
20220918,September,2022,Monthly Monitoring,MSM,Transition,20,-215.8,-122.7,-218.2,-80.9,-136.1,-62.3
20220918,September,2022,Monthly Monitoring,MSM,Transition,35,-111,-232.9,-163.9,-120.3,-185.7,-58.4
20220918,September,2022,Monthly Monitoring,MSM,Wetland,10,-267.1,-238.8,-288.5,-265.8,-216,-165.5
20220918,September,2022,Monthly Monitoring,MSM,Wetland,20,-238.8,-327.1,-266.4,-280.3,-232.1,-230.5
20220918,September,2022,Monthly Monitoring,MSM,Wetland,35,-260.6,-251.7,-335.3,-203.3,-302.8,-281.7
20221011,October,2022,Monthly Monitoring,Gcrew,Upland,10,352.4,326.7,316.8,295.3,390.7,248.6
20221011,October,2022,Monthly Monitoring,Gcrew,Upland,20,428.7,455.2,444.2,459.1,468.6,425.9
20221011,October,2022,Monthly Monitoring,Gcrew,Upland,30,NA,NA,NA,NA,NA,NA
20221011,October,2022,Monthly Monitoring,Gcrew,Transition,10,49.1,317.9,-79.2,-63.9,23.7,35
20221011,October,2022,Monthly Monitoring,Gcrew,Transition,20,-96.8,-56.5,-145.3,-132.9,-126.9,-202.6
20221011,October,2022,Monthly Monitoring,Gcrew,Transition,35,-147.5,-119.5,-168.5,-135.3,-132.3,-133.8
20221011,October,2022,Monthly Monitoring,Gcrew,Wetland,10,-167,-229,-209.4,-258.4,-224.8,-268
20221011,October,2022,Monthly Monitoring,Gcrew,Wetland,20,-236.5,-265.9,-258.9,-280.5,-289.6,-302.5
20221011,October,2022,Monthly Monitoring,Gcrew,Wetland,35,-290.9,-294.8,274.2,-290.8,-302.5,-310.1
20221014,October,2022,Monthly Monitoring,GWI ,Upland,10,373.4,316.5,366.3,300.2,380.2,359.6
20221014,October,2022,Monthly Monitoring,GWI ,Upland,20,390,355.4,384.8,399.8,394.1,376.6
20221014,October,2022,Monthly Monitoring,GWI ,Upland,35,367.8,362.5,309.4,297,404.9,377.1
20221014,October,2022,Monthly Monitoring,GWI ,Transition,10,80.7,102.3,-31.2,9,-37.9,155.2
20221014,October,2022,Monthly Monitoring,GWI ,Transition,20,-34.9,49.6,-63.3,-138.6,-57.3,-8.5
20221014,October,2022,Monthly Monitoring,GWI ,Transition,35,-60.3,44.2,27,-26.5,-45.9,72.6
20221014,October,2022,Monthly Monitoring,GWI ,Wetland,10,77.4,70.4,86.3,37.2,112,69.4
20221014,October,2022,Monthly Monitoring,GWI ,Wetland,20,-20.3,-21.7,-50.6,-21.3,-27.9,2.1
20221014,October,2022,Monthly Monitoring,GWI ,Wetland,35,-4.8,-30.3,-82.4,-16.7,-21.9,-8.1
20221027,October,2022,Monthly Monitoring,MSM,Upland,10,78.1,169.7,36.8,105.2,98.9,40.9
20221027,October,2022,Monthly Monitoring,MSM,Upland,20,117.9,3.6,99.7,74.3,128.5,39
20221027,October,2022,Monthly Monitoring,MSM,Upland,35,166.9,242.4,128.4,133.8,139.4,26.2
20221027,October,2022,Monthly Monitoring,MSM,Transition,10,-291.4,-117.5,-208.5,-126.6,-14.5,-290.1
20221027,October,2022,Monthly Monitoring,MSM,Transition,20,-322.1,-105.2,-99,-147.2,-343.5,-317.7
20221027,October,2022,Monthly Monitoring,MSM,Transition,35,-151.9,-134.4,-50.4,-77.5,-67.4,-48.6
20221027,October,2022,Monthly Monitoring,MSM,Wetland,10,-239.4,-207.1,-233.4,-436.7,-424.9,-237.4
20221027,October,2022,Monthly Monitoring,MSM,Wetland,20,-356.5,-411.8,-420.8,-417.3,-413.2,-414.1
20221027,October,2022,Monthly Monitoring,MSM,Wetland,35,-276.7,-241.8,-280.7,-272.7,-338,-232.2
20221115,November,2022,Monthly Monitoring,Gcrew,Upland,10,383.5,337.4,277.1,399.2,339,365.3
20221115,November,2022,Monthly Monitoring,Gcrew,Upland,20,471.9,460.3,444,396.5,433.5,455.6
20221115,November,2022,Monthly Monitoring,Gcrew,Upland,35,492.5,484.4,465,463.8,458.3,477
20221115,November,2022,Monthly Monitoring,Gcrew,Transition,10,166,79,35.8,-8.8,-36.1,-35.5
20221115,November,2022,Monthly Monitoring,Gcrew,Transition,20,-48,-118.4,-118.6,-114.3,-18.5,-106.5
20221115,November,2022,Monthly Monitoring,Gcrew,Transition,35,-125.6,-111.7,-132.7,-121.2,-55.1,-124.7
20221115,November,2022,Monthly Monitoring,Gcrew,Wetland,10,-185.3,-195.7,-215.8,-196.7,-237.9,-264.3
20221115,November,2022,Monthly Monitoring,Gcrew,Wetland,20,-244,-255,-255.7,-250.8,-260.5,-286.4
20221115,November,2022,Monthly Monitoring,Gcrew,Wetland,35,-283.3,-285.1,-284,-282,-280.9,-306.8
20221117,November,2022,Monthly Monitoring,GWI ,Upland,10,377.7,307.8,378.2,345.3,364.9,317.3
20221117,November,2022,Monthly Monitoring,GWI ,Upland,20,382.6,379.9,385.1,320.9,368.1,340.5
20221117,November,2022,Monthly Monitoring,GWI ,Upland,35,384.2,375.9,358.5,316.1,358.7,354.9
20221117,November,2022,Monthly Monitoring,GWI ,Transition,10,42.5,17.4,85.6,129,-77.9,50.5
20221117,November,2022,Monthly Monitoring,GWI ,Transition,20,27.6,-66.1,-21.9,54.4,-86.5,-12.8
20221117,November,2022,Monthly Monitoring,GWI ,Transition,35,18.5,-42.5,13.6,-80.2,-115,-44.7
20221117,November,2022,Monthly Monitoring,GWI ,Wetland,10,76.6,99.5,103.1,69.3,14.1,101.9
20221117,November,2022,Monthly Monitoring,GWI ,Wetland,20,9.3,28.4,28,11.6,-19.4,22.7
20221117,November,2022,Monthly Monitoring,GWI ,Wetland,35,-15.3,20.1,10,-0.4,-28.3,NA
20221113,November,2022,Monthly Monitoring,MSM,Upland,10,314.6,295.5,377.9,113.8,347.6,374.8
20221113,November,2022,Monthly Monitoring,MSM,Upland,20,133,281.3,354.7,105.6,303.1,358.5
20221113,November,2022,Monthly Monitoring,MSM,Upland,35,144.4,267.5,305.4,131.1,273.4,279.2
20221113,November,2022,Monthly Monitoring,MSM,Transition,10,169.9,217.6,153.2,75.3,187.7,-18
20221113,November,2022,Monthly Monitoring,MSM,Transition,20,-37.1,-15.5,-19.4,-98,16.6,-72.3
20221113,November,2022,Monthly Monitoring,MSM,Transition,35,59.8,-37.3,-1.2,-73.9,73.3,13.6
20221113,November,2022,Monthly Monitoring,MSM,Wetland,10,-228,-186,-172,-181,-167,-182
20221113,November,2022,Monthly Monitoring,MSM,Wetland,20,-241,-257,-214,-242,-225,-233
20221113,November,2022,Monthly Monitoring,MSM,Wetland,35,-280,-270,-247,-254,-263,-246
