"","IDs","H2S_info"
"1","49","within range"
"2","49","within range"
"3","49","within range"
"4","57","within range"
"5","57","within range"
"6","57","within range"
"7","62","bdl"
"8","62","bdl"
"9","62","bdl"
"10","50","within range"
"11","50","within range"
"12","50","within range"
"13","63","within range"
"14","63","within range"
"15","63","within range"
"16","51","within range"
"17","51","within range"
"18","51","within range"
"19","57 Dup","within range"
"20","57 Dup","within range"
"21","57 Dup","within range"
"22","64","bdl"
"23","64","bdl"
"24","64","bdl"
"25","52","within range"
"26","52","within range"
"27","52","within range"
"28","49 Spike","within range"
"29","49 Spike","within range"
"30","49 Spike","within range"
"31","53","within range"
"32","53","within range"
"33","53","within range"
"34","58","within range"
"35","58","within range"
"36","58","within range"
"37","58 Spike","within range"
"38","58 Spike","within range"
"39","58 Spike","within range"
"40","54","within range"
"41","54","within range"
"42","54","within range"
"43","59","bdl"
"44","59","bdl"
"45","59","bdl"
"46","55","within range"
"47","55","within range"
"48","55","within range"
"49","60","bdl"
"50","60","bdl"
"51","60","bdl"
"52","64 Dup","bdl"
"53","64 Dup","bdl"
"54","64 Dup","bdl"
"55","56","within range"
"56","56","within range"
"57","56","within range"
"58","61","bdl"
"59","61","bdl"
"60","61","bdl"
