"","Wells","Abs","IDs","Dilution","H2S_Dilute","Conc","H2S_Conc_Final","H2S_info"
"1","A04",0.068,"65",1,"Ok",-1.54062510401759,0,"bdl"
"2","A05",0.064,"65",1,"Ok",-1.91342409213462,0,"bdl"
"3","A06",0.071,"65",1,"Ok",-1.26102586292981,0,"bdl"
"4","A07",0.084,"73",1,"Ok",-0.0494291515494583,0,"bdl"
"5","A08",0.084,"73",1,"Ok",-0.0494291515494583,0,"bdl"
"6","A09",0.087,"73",1,"Ok",0.230170089538315,0.230170089538315,"within range"
"7","A10",0.059,"78",1,"Ok",-2.37942282728091,0,"bdl"
"8","A11",0.058,"78",1,"Ok",-2.47262257431017,0,"bdl"
"9","A12",0.06,"78",1,"Ok",-2.28622308025165,0,"bdl"
"10","B04",0.076,"66",1,"Ok",-0.795027127783524,0,"bdl"
"11","B05",0.075,"66",1,"Ok",-0.888226874812782,0,"bdl"
"12","B06",0.076,"66",1,"Ok",-0.795027127783524,0,"bdl"
"13","B10",0.065,"79",1,"Ok",-1.82022434510536,0,"bdl"
"14","B11",0.064,"79",1,"Ok",-1.91342409213462,0,"bdl"
"15","B12",0.062,"79",1,"Ok",-2.09982358619314,0,"bdl"
"16","C04",0.063,"67",1,"Ok",-2.00662383916388,0,"bdl"
"17","C05",0.073,"67",1,"Ok",-1.0746263688713,0,"bdl"
"18","C06",0.066,"67",1,"Ok",-1.7270245980761,0,"bdl"
"19","C07",0.088,"73 Dup",1,"Ok",0.323369836567573,0.323369836567573,"within range"
"20","C08",0.088,"73 Dup",1,"Ok",0.323369836567573,0.323369836567573,"within range"
"21","C09",0.086,"73 Dup",1,"Ok",0.136970342509057,0.136970342509057,"within range"
"22","C10",0.082,"80",1,"Ok",-0.235828645607975,0,"bdl"
"23","C11",0.093,"80",1,"Ok",0.789368571713864,0.789368571713864,"within range"
"24","C12",0.085,"80",1,"Ok",0.0437705954797999,0.0437705954797999,"within range"
"25","D04",0.069,"68",1,"Ok",-1.44742535698833,0,"bdl"
"26","D05",0.067,"68",1,"Ok",-1.63382485104685,0,"bdl"
"27","D06",0.066,"68",1,"Ok",-1.7270245980761,0,"bdl"
"28","D10",0.115,"65 Spike",1,"Ok",2.83976300635754,2.83976300635754,"within range"
"29","D11",0.117,"65 Spike",1,"Ok",3.02616250041606,3.02616250041606,"within range"
"30","D12",0.123,"65 Spike",1,"Ok",3.58536098259161,3.58536098259161,"within range"
"31","E04",1.083,"17",50,"Ok",4652.85590653397,4652.85590653397,"within range"
"32","E05",1.055,"17",50,"Ok",4522.37626069301,4522.37626069301,"within range"
"33","E06",0.963,"17",50,"Ok",4093.65742435842,4093.65742435842,"within range"
"34","E07",0.627,"74",1,"Ok",50.5580334853377,50.5580334853377,"within range"
"35","E08",0.707,"74",1,"Ok",58.0140132476783,58.0140132476783,"within range"
"36","E09",0.832,"74",1,"Ok",69.6639816263356,69.6639816263356,"within range"
"37","E10",0.775,"74 Spike",1,"Ok",64.3515960456679,64.3515960456679,"within range"
"38","E11",0.901,"74 Spike",1,"Ok",76.0947641713544,76.0947641713544,"within range"
"39","E12",0.722,"74 Spike",1,"Ok",59.4120094531172,59.4120094531172,"within range"
"40","F04",0.062,"70",1,"Ok",-2.09982358619314,0,"bdl"
"41","F05",0.061,"70",1,"Ok",-2.19302333322239,0,"bdl"
"42","F06",0.062,"70",1,"Ok",-2.09982358619314,0,"bdl"
"43","F07",0.112,"75",1,"Ok",2.56016376526977,2.56016376526977,"within range"
"44","F08",0.102,"75",1,"Ok",1.62816629497719,1.62816629497719,"within range"
"45","F09",0.103,"75",1,"Ok",1.72136604200644,1.72136604200644,"within range"
"46","G04",0.081,"71",1,"Ok",-0.329028392637233,0,"bdl"
"47","G05",0.081,"71",1,"Ok",-0.329028392637233,0,"bdl"
"48","G06",0.07,"71",1,"Ok",-1.35422560995907,0,"bdl"
"49","G07",0.062,"76",1,"Ok",-2.09982358619314,0,"bdl"
"50","G08",0.064,"76",1,"Ok",-1.91342409213462,0,"bdl"
"51","G09",0.063,"76",1,"Ok",-2.00662383916388,0,"bdl"
"52","G10",0.075,"80 Dup",1,"Ok",-0.888226874812782,0,"bdl"
"53","G11",0.087,"80 Dup",1,"Ok",0.230170089538315,0.230170089538315,"within range"
"54","G12",0.078,"80 Dup",1,"Ok",-0.608627633725007,0,"bdl"
"55","H04",0.063,"72",1,"Ok",-2.00662383916388,0,"bdl"
"56","H05",0.085,"72",1,"Ok",0.0437705954797999,0.0437705954797999,"within range"
"57","H06",0.064,"72",1,"Ok",-1.91342409213462,0,"bdl"
"58","H07",0.288,"77",1,"Ok",18.9633192424192,18.9633192424192,"within range"
"59","H08",0.353,"77",1,"Ok",25.021302799321,25.021302799321,"within range"
"60","H09",0.324,"77",1,"Ok",22.3185101354725,22.3185101354725,"within range"
