"","IDs","H2S_info"
"1","113","within range"
"2","113","within range"
"3","113","within range"
"4","20","within range"
"5","20","within range"
"6","20","within range"
"7","111","within range"
"8","111","within range"
"9","111","within range"
"10","114","within range"
"11","114","within range"
"12","114","within range"
"13","113 x25","within range"
"14","113 x25","within range"
"15","113 x25","within range"
"16","107","within range"
"17","107","within range"
"18","107","within range"
"19","20 Dup","within range"
"20","20 Dup","within range"
"21","20 Dup","within range"
"22","114 x25","within range"
"23","114 x25","within range"
"24","114 x25","within range"
"25","116","bdl"
"26","116","bdl"
"27","116","bdl"
"28","113 Spike","within range"
"29","113 Spike","within range"
"30","113 Spike","within range"
"31","117","bdl"
"32","117","bdl"
"33","117","bdl"
"34","43","within range"
"35","43","within range"
"36","43","within range"
"37","43 Spike","within range"
"38","43 Spike","within range"
"39","43 Spike","within range"
"40","118","bdl"
"41","118","bdl"
"42","118","bdl"
"43","44","within range"
"44","44","within range"
"45","44","within range"
"46","14","within range"
"47","14","within range"
"48","14","within range"
"49","50","within range"
"50","50","within range"
"51","50","within range"
"52","114  x25 Dup","within range"
"53","114  x25 Dup","within range"
"54","114  x25 Dup","within range"
"55","108","within range"
"56","108","within range"
"57","108","within range"
"58","110","within range"
"59","110","within range"
"60","110","within range"
