"","IDs","H2S_info"
"1","65","bdl"
"2","65","bdl"
"3","65","bdl"
"4","73","bdl"
"5","73","bdl"
"6","73","within range"
"7","78","bdl"
"8","78","bdl"
"9","78","bdl"
"10","66","bdl"
"11","66","bdl"
"12","66","bdl"
"13","79","bdl"
"14","79","bdl"
"15","79","bdl"
"16","67","bdl"
"17","67","bdl"
"18","67","bdl"
"19","73 Dup","within range"
"20","73 Dup","within range"
"21","73 Dup","within range"
"22","80","bdl"
"23","80","within range"
"24","80","within range"
"25","68","bdl"
"26","68","bdl"
"27","68","bdl"
"28","65 Spike","within range"
"29","65 Spike","within range"
"30","65 Spike","within range"
"31","17","within range"
"32","17","within range"
"33","17","within range"
"34","74","within range"
"35","74","within range"
"36","74","within range"
"37","74 Spike","within range"
"38","74 Spike","within range"
"39","74 Spike","within range"
"40","70","bdl"
"41","70","bdl"
"42","70","bdl"
"43","75","within range"
"44","75","within range"
"45","75","within range"
"46","71","bdl"
"47","71","bdl"
"48","71","bdl"
"49","76","bdl"
"50","76","bdl"
"51","76","bdl"
"52","80 Dup","bdl"
"53","80 Dup","within range"
"54","80 Dup","bdl"
"55","72","bdl"
"56","72","within range"
"57","72","bdl"
"58","77","within range"
"59","77","within range"
"60","77","within range"
