"","IDs","H2S_info"
"1","81","bdl"
"2","81","bdl"
"3","81","bdl"
"4","89","bdl"
"5","89","bdl"
"6","89","bdl"
"7","94","bdl"
"8","94","bdl"
"9","94","bdl"
"10","82","bdl"
"11","82","bdl"
"12","82","bdl"
"13","95","bdl"
"14","95","bdl"
"15","95","bdl"
"16","83","bdl"
"17","83","bdl"
"18","83","bdl"
"19","89 Dup","bdl"
"20","89 Dup","bdl"
"21","89 Dup","bdl"
"22","96","bdl"
"23","96","bdl"
"24","96","bdl"
"25","84","bdl"
"26","84","bdl"
"27","84","bdl"
"28","81 Spike","within range"
"29","81 Spike","within range"
"30","81 Spike","within range"
"31","85","bdl"
"32","85","bdl"
"33","85","bdl"
"34","90","bdl"
"35","90","bdl"
"36","90","bdl"
"37","90 Spike","within range"
"38","90 Spike","within range"
"39","90 Spike","within range"
"40","86","bdl"
"41","86","bdl"
"42","86","bdl"
"43","91","bdl"
"44","91","bdl"
"45","91","bdl"
"46","87","bdl"
"47","87","bdl"
"48","87","bdl"
"49","92","bdl"
"50","92","bdl"
"51","92","bdl"
"52","96 Dup","bdl"
"53","96 Dup","bdl"
"54","96 Dup","bdl"
"55","88","bdl"
"56","88","bdl"
"57","88","bdl"
"58","93","bdl"
"59","93","bdl"
"60","93","bdl"
