"","IDs","H2S_info"
"1","97","within range"
"2","97","within range"
"3","97","within range"
"4","105","within range"
"5","105","within range"
"6","105","within range"
"7","110","within range"
"8","110","within range"
"9","110","within range"
"10","98","bdl"
"11","98","bdl"
"12","98","bdl"
"13","111","within range"
"14","111","within range"
"15","111","within range"
"16","99","within range"
"17","99","within range"
"18","99","within range"
"19","105 Dup","within range"
"20","105 Dup","within range"
"21","105 Dup","within range"
"22","112","bdl"
"23","112","within range"
"24","112","bdl"
"25","100","within range"
"26","100","bdl"
"27","100","bdl"
"28","97 Spike","within range"
"29","97 Spike","within range"
"30","97 Spike","within range"
"31","101","bdl"
"32","101","bdl"
"33","101","bdl"
"34","106","bdl"
"35","106","bdl"
"36","106","bdl"
"37","106 Spike","within range"
"38","106 Spike","within range"
"39","106 Spike","within range"
"40","102","within range"
"41","102","within range"
"42","102","within range"
"43","107","within range"
"44","107","within range"
"45","107","within range"
"46","103","bdl"
"47","103","within range"
"48","103","within range"
"49","108","within range"
"50","108","within range"
"51","108","within range"
"52","112 Dup","within range"
"53","112 Dup","bdl"
"54","112 Dup","bdl"
"55","104","within range"
"56","104","within range"
"57","104","within range"
"58","109","bdl"
"59","109","within range"
"60","109","bdl"
