Site,Site Code,Zone,Zone Code,Point ID,Location of Measure,Type,Field User Description,Northing,Easting,Elevation,GlobalLati,GlobalLong,GlobalElli,LocalLatit,LocalLongi,LocalEllip,H_Prec_Obs,V_Prec_Obs,Date_Obs,Time_Obs
Moneystump Swamp,MSM,Upland,UP,MSM_UP_Soil_Flux_Collar_1,Center,GHG Soil Flux Collar,Up-Collar1,4254321.436,392980.035,0.753,NA,NA,NA,38.4307538,76.2261277,-33.8870000,0.005,0.005,6/4/2025,NA
Moneystump Swamp,MSM,Upland,UP,MSM_UP_Soil_Flux_Collar_2,Center,GHG Soil Flux Collar,Up-Collar2,4254329.569,392987.176,0.695,NA,NA,NA,38.4308127,76.2260469,-30.2090000,0.005,0.005,6/4/2025,NA
Moneystump Swamp,MSM,Upland,UP,MSM_UP_Soil_Flux_Collar_3,Center,GHG Soil Flux Collar,Up-Collar3,4254329.795,392981.501,0.718,NA,NA,NA,38.4308315,76.2261099,-30.3110000,0.005,0.005,6/4/2025,NA
Moneystump Swamp,MSM,Upland,UP,MSM_UP_Soil_Flux_Collar_4,Center,GHG Soil Flux Collar,Up-Collar4,4254340.58,392975.544,0.696,NA,NA,NA,38.4309240,76.2261862,-32.7540000,0.005,0.005,6/4/2025,NA
Moneystump Swamp,MSM,Upland,UP,MSM_UP_Soil_Flux_Collar_5,Center,GHG Soil Flux Collar,Up-Collar5,4254333.895,392972.308,0.711,NA,NA,NA,38.4308565,76.2262190,-30.7860000,0.005,0.005,6/4/2025,NA
Moneystump Swamp,MSM,Upland,UP,MSM_UP_GasWells_A,Center of Cluster,GHG Soil Gas Well,Up-Gas-A,4254334.625,392972.094,0.733,NA,NA,NA,NA,NA,NA,0.005,0.005,6/4/2025,NA
Moneystump Swamp,MSM,Upland,UP,MSM_UP_GasWells_B,Center of Cluster,GHG Soil Gas Well,Up-Gas-B,4254330.4,392982.631,0.701,NA,NA,NA,NA,NA,NA,0.005,0.005,6/4/2025,NA
Moneystump Swamp,MSM,Upland,UP,MSM_UP_GasWells_C,Center of Cluster,GHG Soil Gas Well,Up-Gas-C,4254331.962,392981.421,0.714,NA,NA,NA,NA,NA,NA,0.005,0.005,6/4/2025,NA
Moneystump Swamp,MSM,Upland,UP,MSM_UP_LoggerBox,Pole Base ,Logger Box,Up-Logger Box,4254332.824,392973.463,0.735,NA,NA,NA,NA,NA,NA,0.005,0.005,6/4/2025,NA
Moneystump Swamp,MSM,Upland,UP,MSM_UP_Multiplexer,Pole Base ,Multiplexer Box,Up-Multi Box,4254330.336,392979.795,0.743,NA,NA,NA,NA,NA,NA,0.005,0.005,6/4/2025,NA
Moneystump Swamp,MSM,Upland,UP,MSM_UP_SamplingZone,Corner,Sampling Zone,Up-Sample1,4254321.901,392983.835,0.732,NA,NA,NA,NA,NA,NA,0.005,0.005,6/4/2025,NA
Moneystump Swamp,MSM,Upland,UP,MSM_UP_SamplingZone,Corner,Sampling Zone,Up-Sample2,4254319.077,392986.914,0.764,NA,NA,NA,NA,NA,NA,0.005,0.005,6/4/2025,NA
Moneystump Swamp,MSM,Upland,UP,MSM_UP_SamplingZone,Corner,Sampling Zone,Up-Sample3,4254313.969,392981.597,0.785,NA,NA,NA,NA,NA,NA,0.005,0.005,6/4/2025,NA
Moneystump Swamp,MSM,Upland,UP,MSM_UP_SamplingZone,Corner,Sampling Zone,Up-Sample4,4254316.688,392979.534,0.761,NA,NA,NA,NA,NA,NA,0.005,0.005,6/4/2025,NA
Moneystump Swamp,MSM,Upland,UP,MSM_UP_Lysimeters_A,Center of Cluster,Porewater Lysimeter,Up-sip-A,4254334.26,392972.565,0.749,NA,NA,NA,NA,NA,NA,0.005,0.005,6/4/2025,NA
Moneystump Swamp,MSM,Upland,UP,MSM_UP_Lysimeters_B,Center of Cluster,Porewater Lysimeter,Up-sip-B,4254330.145,392982.025,0.738,NA,NA,NA,NA,NA,NA,0.005,0.005,6/4/2025,NA
Moneystump Swamp,MSM,Upland,UP,MSM_UP_Lysimeters_C,Center of Cluster,Porewater Lysimeter,Up-sip-C,4254331.315,392981.578,0.723,NA,NA,NA,NA,NA,NA,0.005,0.005,6/4/2025,NA
Moneystump Swamp,MSM,Upland,UP,MSM_UP_Teros,Teros cluster,Teros12,Up-Teros1,4254330.395,392982.498,0.706,NA,NA,NA,38.43085854,76.22621947,-29.85,0.005,0.005,6/4/2025,NA
Moneystump Swamp,MSM,Upland,UP,MSM_UP_Teros,Teros cluster,Teros12,Up-Teros2,4254331.884,392980.633,0.729,NA,NA,NA,38.4308472,76.22612538,-28.269,0.005,0.005,6/4/2025,NA
Moneystump Swamp,MSM,Upland,UP,MSM_UP_Teros,Teros cluster,Teros12,Up-Teros3,4254333.28,392972.23,0.722,NA,NA,NA,38.43084914,76.22621823,-30.512,0.005,0.005,6/4/2025,NA
Moneystump Swamp,MSM,Upland,UP,MSM_UP_Teros,Teros cluster,Teros12,Up-Teros4,4254334.91,392972.472,0.754,NA,NA,NA,38.43083219,76.22610916,-32.279,0.005,0.005,6/4/2025,NA
Moneystump Swamp,MSM,Upland,UP,MSM_UP_Tree_Plot,Plot corner,Tree Plot,Up-Tree Plot1,4254316.595,392979.28,0.748,NA,NA,NA,38.43070529,76.22613627,-31.935,0.005,0.005,6/4/2025,NA
Moneystump Swamp,MSM,Upland,UP,MSM_UP_Tree_Plot,Plot corner,Tree Plot,Up-Tree Plot2,4254329.795,392991.754,0.661,NA,NA,NA,38.43081948,76.22599619,-32.728,0.005,0.005,6/4/2025,NA
Moneystump Swamp,MSM,Upland,UP,MSM_UP_Tree_Plot,Plot corner,Tree Plot,Up-Tree Plot3,4254344.657,392977.286,0.779,NA,NA,NA,38.43095397,76.22617125,-31.875,0.005,0.005,6/4/2025,NA
Moneystump Swamp,MSM,Upland,UP,MSM_UP_Tree_Plot,Plot corner,Tree Plot,Up-Tree Plot4,4254329.364,392964.096,0.746,NA,NA,NA,38.43081554,76.22631319,-31.254,0.005,0.005,6/4/2025,NA
Moneystump Swamp,MSM,Upland,UP,MSM_UP_VegPlot_1,Front corner ,Ground Vegetation Plot,Up-Veg1A,4254318.593,392979.833,0.755,NA,NA,NA,NA,NA,NA,0.005,0.005,6/4/2025,NA
Moneystump Swamp,MSM,Upland,UP,MSM_UP_VegPlot_1,Back corner,Ground Vegetation Plot,Up-Veg1B,4254321.087,392981.104,0.776,NA,NA,NA,NA,NA,NA,0.005,0.005,6/4/2025,NA
Moneystump Swamp,MSM,Upland,UP,MSM_UP_VegPlot_2,Front corner ,Ground Vegetation Plot,Up-Veg2A,4254325.622,392985.637,0.716,NA,NA,NA,NA,NA,NA,0.005,0.005,6/4/2025,NA
Moneystump Swamp,MSM,Upland,UP,MSM_UP_VegPlot_2,Back corner,Ground Vegetation Plot,Up-Veg2B,4254328.593,392986.826,0.68,NA,NA,NA,NA,NA,NA,0.005,0.005,6/4/2025,NA
Moneystump Swamp,MSM,Upland,UP,MSM_UP_VegPlot_3,Front corner ,Ground Vegetation Plot,Up-Veg3A,4254329.486,392985.03,0.714,NA,NA,NA,NA,NA,NA,0.005,0.005,6/4/2025,NA
Moneystump Swamp,MSM,Upland,UP,MSM_UP_VegPlot_3,Back corner,Ground Vegetation Plot,Up-Veg3B,4254331.894,392986.054,0.689,NA,NA,NA,NA,NA,NA,0.005,0.005,6/4/2025,NA
Moneystump Swamp,MSM,Upland,UP,MSM_UP_VegPlot_4,Front corner ,Ground Vegetation Plot,Up-Veg4A,4254336.501,392974.147,0.768,NA,NA,NA,NA,NA,NA,0.005,0.005,6/4/2025,NA
Moneystump Swamp,MSM,Upland,UP,MSM_UP_VegPlot_4,Back corner,Ground Vegetation Plot,Up-Veg4B,4254339.57,392975.027,0.747,NA,NA,NA,NA,NA,NA,0.005,0.005,6/4/2025,NA
Moneystump Swamp,MSM,Upland,UP,MSM_UP_VegPlot_5,Front corner ,Ground Vegetation Plot,Up-Veg5A,4254341.075,392976.32,0.683,NA,NA,NA,NA,NA,NA,0.005,0.005,6/4/2025,NA
Moneystump Swamp,MSM,Upland,UP,MSM_UP_VegPlot_5,Back corner,Ground Vegetation Plot,Up-Veg5B,4254343.502,392976.857,0.741,NA,NA,NA,NA,NA,NA,0.005,0.005,6/4/2025,NA
Moneystump Swamp,MSM,Upland,UP,MSM_UP_AQ600,Well Base,AquaTROLL 600,Up-Well base,4254333.424,392974.722,0.719,NA,NA,NA,38.43083963,76.22619143,-30.258,0.005,0.005,6/4/2025,NA
Moneystump Swamp,MSM,Upland,UP,MSM_UP_AQ600,Well Top,AquaTROLL 600,Up-Well top,4254333.413,392974.763,1.564,NA,NA,NA,38.43083963,76.22619143,-30.258,0.005,0.005,6/4/2025,NA
Moneystump Swamp,MSM,Transition,TR,MSM_TR_AQ600,Well Base,AquaTROLL 600,tr-well-base,4254284.944,392905.555,0.479,NA,NA,NA,38.430411,76.226984,NA,0.014,0.024,6/4/2025,NA
Moneystump Swamp,MSM,Transition,TR,MSM_TR_AQ600,Well Top,AquaTROLL 600,tr-well-top,4254284.793,392905.614,1.343,NA,NA,NA,38.430411,76.226984,NA,0.013,0.02,6/4/2025,NA
Moneystump Swamp,MSM,Transition,TR,MSM_TR_Peep,Well Base,GW Sampling Well,MSM_TR_Peep,NA,NA,NA,NA,NA,NA,38.430411,76.226971,-34.223,,,6/4/2025,NA
Moneystump Swamp,MSM,Transition,TR,MSM_TR_Macrophyte_Flux_Collar_1_A,Front corner ,GHG Macrophyte Flux Collar,tr-collar-macro1-a,4254287.861,392908.526,0.504,NA,NA,NA,38.430437,76.226947,-33.593,0.012,0.018,6/4/2025,NA
