,1,2,3,4,5,6,7,8,9,10,11,12
A,0.054,0.058,0.056,0.06,0.061,0.059,0.112,0.135,0.113,0.045,0.045,0.045
B,0.104,0.109,0.114,0.057,0.057,0.057,0.056,0.055,0.054,0.045,0.044,0.045
C,0.245,0.204,0.19,0.059,0.056,0.06,0.128,0.133,0.119,0.045,0.045,0.047
D,0.42,0.312,0.342,0.331,0.315,0.317,0.342,0.352,0.4,0.308,0.332,0.266
E,0.58,0.576,0.573,0.56,0.523,0.566,0.07,0.068,0.065,0.266,0.275,0.25
F,0.592,0.551,0.631,0.116,0.123,0.116,0.193,0.261,0.205,0.059,0.055,0.054
G,1.161,0.964,0.919,0.224,0.236,0.257,0.293,0.285,0.3,0.045,0.045,0.045
H,0.866,0.891,0.822,0.086,0.084,0.087,0.176,0.214,0.202,1.036,0.938,1.056
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,Std 0,Std 0,Std 0,113,113,113,47,47,47,,,
B,Std 1,Std 1,Std 1,114,114,114,ChkStd 0,ChkStd 0,ChkStd 0,,,
C,Std 2,Std 2,Std 2,115,115,115,47 Dup,47 Dup,47 Dup,,,
D,Std 3,Std 3,Std 3,15,15,15,ChkStd 3,ChkStd 3,ChkStd 3,113 Spike,113 Spike,113 Spike
E,Std 4,Std 4,Std 4,16,16,16,49,49,49,49 Spike,49 Spike,49 Spike
F,Std 5,Std 5,Std 5,17,17,17,97,97,97,ChkStd 0,ChkStd 0,ChkStd 0
G,MC: 10ppt S5,MC: 10ppt S5,MC: 10ppt S5,42,42,42,99,99,99,,,
H,MC: 20ppt S5,MC: 20ppt S5,MC: 20ppt S5,44,44,44,102,102,102,ChkStd 4,ChkStd 4,ChkStd 4
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,1,1,1,1,1,1,1,1,1,1,1,1
B,1,1,1,1,1,1,1,1,1,1,1,1
C,1,1,1,1,1,1,1,1,1,1,1,1
D,1,1,1,50,50,50,1,1,1,1,1,1
E,1,1,1,50,50,50,1,1,1,1,1,1
F,1,1,1,250,250,250,1,1,1,1,1,1
G,1,1,1,1,1,1,1,1,1,1,1,1
H,1,1,1,1,1,1,1,1,1,1,1,1
