Inj.	Injection Name	Type 	Ret.Time	Amount	Rel.Area 	Area	Height
No.	Selected Peak:		min	µg/mL	%	µS*min	µS
			CD	CD	CD	CD	CD
			IC-SO4	IC-SO4	IC-SO4	IC-SO4	IC-SO4
1	Lab Blank	Unknown	4.453 	0.0337 	5.56 	0.0343 	0.09 
2	Lab Blank	Unknown	4.100 	0.0238 	3.82 	0.0242 	0.07 
3	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
4	Lab Blank	Unknown	4.450 	0.0349 	5.48 	0.0356 	0.09 
5	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
6	Lab Blank	Unknown	4.450 	0.0117 	2.36 	0.0119 	0.04 
7	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
8	Standard 1	Calibration Standard	4.447 	0.5088 	7.03 	0.5188 	3.31 
9	Standard 2	Calibration Standard	4.440 	0.9857 	6.64 	1.0050 	6.33 
10	Standard 3	Calibration Standard	4.437 	2.0439 	6.84 	2.0839 	12.80 
11	Standard 4	Calibration Standard	4.390 	9.8583 	6.91 	10.0515 	55.51 
12	Standard 5	Calibration Standard	4.347 	20.0662 	6.91 	20.4596 	101.29 
13	Lab Blank	Unknown	4.100 	0.0198 	2.07 	0.0202 	0.06 
14	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
15	1_MSM_202208_UP_LysA_20cm	Unknown	4.427 	157.5194 	5.47 	3.2121 	19.41 
16	2_MSM_202208_UP_LysA_45cm	Unknown	4.420 	185.4838 	4.91 	3.7824 	22.79 
17	3_MSM_202208_UP_LysB_10cm	Unknown	4.430 	106.3955 	8.39 	2.1696 	13.16 
18	4_MSM_202208_UP_LysB_20cm	Unknown	4.430 	100.6902 	7.21 	2.0533 	12.47 
19	5_MSM_202208_UP_LysB_45cm	Unknown	4.417 	226.6307 	7.12 	4.6215 	27.45 
