Inj.	Injection Name	Type 	Ret.Time	Amount	Rel.Area 	Area	Height
No.	Selected Peak:		min	µg/mL	%	µS*min	µS
			CD	CD	CD	CD	CD
			IC-Cl	IC-Cl	IC-Cl	IC-Cl	IC-Cl
1	Lab Blank	Unknown	3.287 	0.0017 	0.37 	0.0023 	0.03 
2	Lab Blank	Unknown	3.287 	0.0068 	1.46 	0.0092 	0.09 
3	Lab Blank	Unknown	3.290 	0.3186 	100.00 	0.4348 	3.14 
4	Lab Blank	Unknown	3.287 	0.0814 	17.08 	0.1111 	0.37 
5	Lab Blank	Unknown	3.290 	0.3173 	100.00 	0.4331 	3.13 
6	Lab Blank	Unknown	3.287 	0.0079 	2.14 	0.0108 	0.11 
7	Lab Blank	Unknown	3.290 	0.3113 	100.00 	0.4249 	3.07 
8	Standard 1	Calibration Standard	3.287 	5.0017 	92.43 	6.8263 	47.36 
9	Standard 2	Calibration Standard	3.287 	10.2870 	92.75 	14.0396 	96.54 
10	Standard 3	Calibration Standard	3.280 	20.6687 	92.55 	28.2084 	191.66 
11	Standard 4	Calibration Standard	3.263 	98.5378 	92.45 	134.4828 	887.66 
12	Standard 5	Calibration Standard	3.263 	200.7156 	92.51 	273.9335 	1802.27 
13	Lab Blank	Unknown	3.287 	0.3424 	47.81 	0.4673 	2.88 
14	Lab Blank	Unknown	3.287 	0.4227 	100.00 	0.5769 	4.18 
15	1_MSM_202208_UP_LysA_20cm	Unknown	3.277 	1860.3225 	86.46 	50.7788 	342.44 
16	2_MSM_202208_UP_LysA_45cm	Unknown	3.273 	2505.1425 	88.75 	68.3796 	460.45 
17	3_MSM_202208_UP_LysB_10cm	Unknown	3.280 	724.1041 	76.42 	19.7649 	130.86 
18	4_MSM_202208_UP_LysB_20cm	Unknown	3.280 	794.4473 	76.14 	21.6850 	148.27 
19	5_MSM_202208_UP_LysB_45cm	Unknown	3.273 	2036.4254 	85.65 	55.5856 	376.42 
