"","Site","Zone","Replicate","Date","Plot","TIMESTAMP","HM81_AIC","HM81_flux.estimate","HM81_p.value","HM81_r.squared","HM81_RMSE","lin_AIC","lin_flux.estimate","lin_flux.std.error","lin_int.estimate","lin_int.std.error","lin_p.value","lin_r.squared","lin_RMSE","poly_AIC","poly_r.squared","poly_RMSE","rob_AIC","rob_converged","rob_flux.estimate","rob_flux.std.error","rob_RMSE","TIMESTAMP_min","TIMESTAMP_max","qaqc_flag","Notes"
"1","GCW","TR","1","202506","GCW_TR_1_202506",2025-06-17 12:37:34.5,2211.80663069702,1.69077245917802,2.94715994753262e-237,0.976739753158483,10.8877311065279,2476.28812579678,0.824841937061142,0.0120496102044116,36999.5094010658,2.11739116037579,3.25489425679385e-180,0.942098058566172,17.1781657881498,1530.96500452056,0.997807104294431,3.35469037637914,2487.31570673279,TRUE,0.79094206833748,0.0108722178854651,16.4104797724977,2025-06-17 12:35:10,2025-06-17 12:39:59,NA,""
"2","GCW","TR","1","202507","GCW_TR_1_202507",2025-07-16 13:29:34.5,4653.02794384146,25.0033630595991,9.30031135058288e-132,0.874373514924792,732.628559082775,2886.98287444177,24.6021958974402,0.0244621421829058,40333.8540020823,4.29855594855484,0,0.999715350728792,34.8737201305815,2586.04250213628,0.999900541619533,20.6860304045157,2889.8643341436,TRUE,24.6419103905592,0.0230617465836248,30.8195408693512,2025-07-16 13:27:10,2025-07-16 13:31:59,NA,"Veg scores in survey"
"3","GCW","TR","1","202509","GCW_TR_1_202509",2025-09-09 11:33:34.5,3186.27079041917,-0.798582021173585,0.800129747319306,0.000222930287719954,58.4251933003323,3179.56785459968,0.105640471638754,0.0405114061497551,34197.3290265382,7.11877743932993,0.0095912209862012,0.0230663360404236,57.7538724776987,3069.43210944663,0.340918488167163,47.6026756216955,3182.32867225965,TRUE,0.0566316162076063,0.0357563889309459,62.8320046904847,2025-09-09 11:31:10,2025-09-09 11:35:59,"poor flux, remove",""
"4","GCW","TR","1","202511","GCW_TR_1_202511",2025-11-12 12:19:34.5,NA,NA,NA,NA,NA,1314.5315011145,0.0793608740439248,0.00162580592711864,35473.4404744979,0.285691158483055,2.59526007375075e-141,0.892164457883236,2.31778151173517,1316.58609775928,0.892885428751508,2.31808328553756,1315.28625597964,TRUE,0.0801609324529391,0.00160496296075437,2.34006765356586,2025-11-12 12:17:10,2025-11-12 12:21:59,"low r squared, but checked and flux is okay",""
"5","GCW","TR","2","202506","GCW_TR_2_202506",2025-06-17 12:45:34.5,2658.74374292236,0.958364878970977,4.69015484562834e-143,0.895127224000273,23.528625746133,1576.86569506211,0.863795415229776,0.00255564332451588,33432.0877547398,0.449084783043201,0,0.997485349066145,3.64337633991172,1238.22861621093,0.999228464943054,2.02514553693418,1583.5266814098,TRUE,0.858060875944189,0.0024669846517725,3.15336992898917,2025-06-17 12:43:10,2025-06-17 12:47:59,NA,""
"6","GCW","TR","2","202507","GCW_TR_2_202507",2025-07-16 13:40:34.5,2904.69369191058,1.35155903579774,4.83894503725513e-139,0.888179077000559,35.9550458907106,1655.18844851139,1.27898038720403,0.00292514254393001,33956.3234036693,0.514014217911293,0,0.998495801919141,4.17014183207378,1271.10195963145,0.999605434197337,2.14324223673697,1655.73328797089,TRUE,1.27881097975025,0.00308477758397619,4.41313144479585,2025-07-16 13:38:10,2025-07-16 13:42:59,NA,"Veg scores in survey"
"7","GCW","TR","2","202509","GCW_TR_2_202509",2025-09-09 11:41:34.5,NA,NA,NA,NA,NA,3148.28143134693,0.450846848372798,0.0383840288891438,34223.9178900408,6.74494876520788,2.73421948944933e-26,0.323882080260653,54.7210408211741,3148.06770211779,0.333635113908666,54.514546714719,3148.71012134219,TRUE,0.428943284335374,0.0410589653063646,53.7302743513118,2025-09-09 11:39:10,2025-09-09 11:43:59,"poor flux, remove",""
"8","GCW","TR","2","202511","GCW_TR_2_202511",2025-11-12 12:29:34.5,802.267991342134,0.0986112104153119,3.09175552260114e-53,0.755325465472578,2.53183256881954,726.348036262999,0.095225016183626,0.00316507781106356,35451.1969239771,0.337025059070776,1.49531907426427e-69,0.843455404314506,2.02516137858183,725.784547024419,0.847601794004514,2.01016228749926,726.499958650465,TRUE,0.0951125847620302,0.00337515353300901,2.15077390193728,2025-11-12 12:28:10,2025-11-12 12:30:59,"low r squared, but checked and flux is okay","chamber base slightly bent, small CH4 spike, reduced obs length to avoid ebullition"
"9","GCW","TR","3","202506","GCW_TR_3_202506",2025-06-17 12:54:34.5,1544.57323867484,-0.115213625646683,1.10704482630833e-108,0.818352316693669,3.44606902608976,1433.09566258889,-0.0901018891657555,0.00199456227660699,33387.333516054,0.350490054172909,9.75709941244926e-133,0.876324206859765,2.84348795364351,1408.66964258971,0.887871805378995,2.7169377167678,1433.74325793861,TRUE,-0.090835267184858,0.00192736050401744,2.59826947305987,2025-06-17 12:52:10,2025-06-17 12:56:59,"low r squared, but checked and flux is okay",""
"10","GCW","TR","3","202507","GCW_TR_3_202507",2025-07-16 13:51:34.5,NA,NA,NA,NA,NA,1441.6582363962,0.754882021364458,0.00202422654464549,33011.7886570602,0.355702742206646,0,0.997933410978298,2.88577792864726,1412.78410828657,0.998154887280722,2.73627994341271,1441.83102044861,TRUE,0.75471774384791,0.00200903014404984,2.66217869054783,2025-07-16 13:49:10,2025-07-16 13:53:59,NA,"Veg scores in survey"
"11","GCW","TR","3","202509","GCW_TR_3_202509",2025-09-09 11:49:34.5,NA,NA,NA,NA,NA,2877.19417428954,0.252874818678672,0.0240527572420471,34136.2514110991,4.22661768331138,4.29159874470899e-22,0.277344822743475,34.2900927545964,2764.76194500333,0.51631119777145,28.1513576689699,2879.70751674403,TRUE,0.243499471713022,0.0225728297462127,33.483606558505,2025-09-09 11:47:10,2025-09-09 11:51:59,"low r squared, but checked and flux is okay",""
"12","GCW","TR","3","202511","GCW_TR_3_202511",2025-11-12 12:38:34.5,1673.59796590318,0.178705834288469,2.35441565913005e-137,0.88512272833011,4.30462744879681,1064.94799473859,0.150117327678381,0.00105726697990202,35475.4854512049,0.185785906716065,1.24013812936399e-268,0.985915550004537,1.50726099475351,1033.8485747593,0.98752110435648,1.42370437021929,1064.96038290443,TRUE,0.15000250119746,0.00108525579829134,1.45031525515522,2025-11-12 12:36:10,2025-11-12 12:40:59,NA,""
"13","GCW","TR","4","202506","GCW_TR_4_202506",2025-06-17 13:08:34.5,NA,NA,NA,NA,NA,1891.79722501029,0.0127401168563649,0.00439861350533208,33606.2601694764,0.772936650738282,0.00406415340495046,0.0283043374101807,6.27075156380786,1814.34641520764,0.266243089091233,5.46819247261053,1900.10595383129,TRUE,0.00692352010388671,0.00367263457651154,4.7084059185625,2025-06-17 13:06:10,2025-06-17 13:10:59,"low r squared, but checked and flux is okay",""
"14","GCW","TR","4","202507","GCW_TR_4_202507",2025-07-16 14:01:34.5,2681.76432341637,1.04042094291687,1.07534188360697e-122,0.85479379681626,24.4812728727592,1960.81505310925,0.760139380072532,0.00495444738184232,32898.0900882351,0.870609331994751,3.37193062364217e-278,0.987913092324073,7.06315947737398,1908.05290148535,0.990061746517651,6.42702030323008,1965.65430464688,TRUE,0.759688844172688,0.00348440689429236,5.34825754851518,2025-07-16 13:59:10,2025-07-16 14:03:59,NA,"Veg scores in survey"
"15","GCW","TR","4","202509","GCW_TR_4_202509",2025-09-09 11:57:39.5,NA,NA,NA,NA,NA,3134.18659293654,0.336832742579099,0.0374624842865133,34296.4733788972,6.58301237370639,3.34074300526134e-17,0.219177231241452,53.4072683674092,3078.58262765222,0.364242449530304,48.3596469722116,3137.87067102258,TRUE,0.291023691871642,0.0346486491767546,52.0701513250251,2025-09-09 11:55:15,2025-09-09 12:00:04,"low r squared, but checked and flux is okay","added 5 sec to start time to avoid chamber closure"
"16","GCW","TR","4","202511","GCW_TR_4_202511",2025-11-12 12:46:34.5,1514.04923504617,0.148301966182195,2.21518309843875e-151,0.908194953957475,3.26940030860939,1098.39708762174,0.127033833342423,0.00112003295332052,35393.9549607245,0.196815318874148,4.94509658109812e-241,0.978102247698549,1.59674142432315,976.302577162246,0.985823646356859,1.2892297525761,1098.84143282627,TRUE,0.126495394832912,0.00108913637434744,1.43624705489899,2025-11-12 12:44:10,2025-11-12 12:48:59,NA,""
