"","Wells","Abs","IDs","Dilution","H2S_Dilute","Conc","H2S_Conc_Final","H2S_info"
"1","A04",0.228,"79",1,"Ok",12.9484434959538,12.9484434959538,"Within_Range"
"2","A05",0.236,"79",1,"Ok",13.6471305581146,13.6471305581146,"Within_Range"
"3","A06",0.299,"79",1,"Ok",19.1492911726304,19.1492911726304,"Within_Range"
"4","A07",0.072,"87",1,"Ok",-0.675954216180759,0,"bdl"
"5","A08",0.073,"87",1,"Ok",-0.588618333410665,0,"bdl"
"6","A09",0.068,"87",1,"Ok",-1.02529774726113,0,"bdl"
"7","A10",0.101,"93",1,"Ok",1.85678638415195,1.85678638415195,"Within_Range"
"8","A11",0.101,"93",1,"Ok",1.85678638415195,1.85678638415195,"Within_Range"
"9","A12",0.099,"93",1,"Ok",1.68211461861176,1.68211461861176,"Within_Range"
"10","B04",0.175,"80",1,"Ok",8.31964170913886,8.31964170913886,"Within_Range"
"11","B05",0.165,"80",1,"Ok",7.44628288143793,7.44628288143793,"Within_Range"
"12","B06",0.186,"80",1,"Ok",9.28033641960989,9.28033641960989,"Within_Range"
"13","B10",1.191,"94",1,"Dilute",97.0528986035538,97.0528986035538,"adl"
"14","B11",0.993,"94",1,"Ok",79.7603938150753,79.7603938150753,"Within_Range"
"15","B12",0.934,"94",1,"Ok",74.6075767316398,74.6075767316398,"Within_Range"
"16","C04",0.281,"81",1,"Ok",17.5772452827688,17.5772452827688,"Within_Range"
"17","C05",0.251,"81",1,"Ok",14.957168799666,14.957168799666,"Within_Range"
"18","C06",0.238,"81",1,"Ok",13.8218023236547,13.8218023236547,"Within_Range"
"19","C07",0.068,"Dup 87",1,"Ok",-1.02529774726113,0,"bdl"
"20","C08",0.077,"Dup 87",1,"Ok",-0.239274802330292,0,"bdl"
"21","C09",0.073,"Dup 87",1,"Ok",-0.588618333410665,0,"bdl"
"22","C10",0.091,"96",1,"Ok",0.983427556451016,0.983427556451016,"Within_Range"
"23","C11",0.088,"96",1,"Ok",0.721419908140735,0.721419908140735,"Within_Range"
"24","C12",0.088,"96",1,"Ok",0.721419908140735,0.721419908140735,"Within_Range"
"25","D04",0.063,"82",1,"Ok",-1.4619771611116,0,"bdl"
"26","D05",0.056,"82",1,"Ok",-2.07332834050225,0,"bdl"
"27","D06",0.062,"82",1,"Ok",-1.54931304388169,0,"bdl"
"28","D10",0.297,"Spike 79",1,"Ok",18.9746194070903,18.9746194070903,"Within_Range"
"29","D11",0.298,"Spike 79",1,"Ok",19.0619552898603,19.0619552898603,"Within_Range"
"30","D12",0.358,"Spike 79",1,"Ok",24.3021082560659,24.3021082560659,"Within_Range"
"31","E04",0.058,"83",1,"Ok",-1.89865657496207,0,"bdl"
"32","E05",0.056,"83",1,"Ok",-2.07332834050225,0,"bdl"
"33","E06",0.059,"83",1,"Ok",-1.81132069219197,0,"bdl"
"34","E07",0.109,"88",1,"Ok",2.5554734463127,2.5554734463127,"Within_Range"
"35","E08",0.102,"88",1,"Ok",1.94412226692204,1.94412226692204,"Within_Range"
"36","E09",0.104,"88",1,"Ok",2.11879403246223,2.11879403246223,"Within_Range"
"37","E10",0.144,"Spike 88",1,"Ok",5.61222934326597,5.61222934326597,"Within_Range"
"38","E11",0.184,"Spike 88",1,"Ok",9.1056646540697,9.1056646540697,"Within_Range"
"39","E12",0.144,"Spike 88",1,"Ok",5.61222934326597,5.61222934326597,"Within_Range"
"40","F04",0.068,"84",1,"Ok",-1.02529774726113,0,"bdl"
"41","F05",0.054,"84",1,"Ok",-2.24800010604244,0,"bdl"
"42","F06",0.062,"84",1,"Ok",-1.54931304388169,0,"bdl"
"43","F07",0.059,"89",1,"Ok",-1.81132069219197,0,"bdl"
"44","F08",0.062,"89",1,"Ok",-1.54931304388169,0,"bdl"
"45","F09",0.061,"89",1,"Ok",-1.63664892665179,0,"bdl"
"46","G04",0.058,"85",1,"Ok",-1.89865657496207,0,"bdl"
"47","G05",0.062,"85",1,"Ok",-1.54931304388169,0,"bdl"
"48","G06",0.057,"85",1,"Ok",-1.98599245773216,0,"bdl"
"49","G07",0.071,"90",1,"Ok",-0.763290098950852,0,"bdl"
"50","G08",0.068,"90",1,"Ok",-1.02529774726113,0,"bdl"
"51","G09",0.087,"90",1,"Ok",0.634084025370642,0.634084025370642,"Within_Range"
"52","G10",0.09,"Dup 96",1,"Ok",0.896091673680922,0.896091673680922,"Within_Range"
"53","G11",0.089,"Dup 96",1,"Ok",0.808755790910829,0.808755790910829,"Within_Range"
"54","G12",0.089,"Dup 96",1,"Ok",0.808755790910829,0.808755790910829,"Within_Range"
"55","H04",0.057,"86",1,"Ok",-1.98599245773216,0,"bdl"
"56","H05",0.07,"86",1,"Ok",-0.850625981720945,0,"bdl"
"57","H06",0.062,"86",1,"Ok",-1.54931304388169,0,"bdl"
"58","H07",0.427,"91",1,"Ok",30.3282841672024,30.3282841672024,"Within_Range"
"59","H08",0.382,"91",1,"Ok",26.3981694425482,26.3981694425482,"Within_Range"
"60","H09",0.373,"91",1,"Ok",25.6121464976174,25.6121464976174,"Within_Range"
