"","IDs","H2S_mean","H2S_sd","H2S_cv","H2S_flag","Dilution","H2S_cv_flag"
"1","81",14.3894855616604,0.802825334319404,5.57924972980597,"Within_Range",1,"within range"
"2","88",2.03145814969214,0.123511589895293,6.07994754477274,"Within_Range",1,"within range"
"3","94",77.1839852733575,3.64359190191114,4.72065790462473,"Within_Range",1,"within range"
"4","96",0.721419908140735,0,0,"Within_Range",1,"within range"
"5","80",8.79998906437437,0.679313744424111,7.71948396134065,"Within_Range",1,"within range"
"6","Spike 88",5.61222934326597,0,0,"Within_Range",1,"within range"
"7","79",13.2977870270342,0.494046359581169,3.71525245950157,"Within_Range",1,"within range"
"8","90",0,0,0,"bdl",1,"within range"
"9","Spike 79",19.0182873484753,0.0617557949476448,0.324717961276339,"Within_Range",1,"within range"
"10","82",0,0,0,"bdl",1,"within range"
"11","83",0,0,0,"bdl",1,"within range"
"12","84",0,0,0,"bdl",1,"within range"
"13","85",0,0,0,"bdl",1,"within range"
"14","86",0,0,0,"bdl",1,"within range"
"15","87",0,0,0,"bdl",1,"within range"
"16","89",0,0,0,"bdl",1,"within range"
"17","91",27.4462000357893,2.52671025701341,9.20604766313233,"Within_Range",1,"within range"
"18","93",1.79856246230522,0.100846790854454,5.60707748371433,"Within_Range",1,"within range"
"19","Dup 87",0,0,0,"bdl",1,"within range"
"20","Dup 96",0.837867751834193,0.050423395427227,6.01806136073911,"Within_Range",1,"within range"
