"","IDs","H2S_info"
"1","10","Within_Range"
"2","10","Within_Range"
"3","10","Within_Range"
"4","41","Within_Range"
"5","41","Within_Range"
"6","41","Within_Range"
"7","11","Within_Range"
"8","11","Within_Range"
"9","11","Within_Range"
"10","12","Within_Range"
"11","12","Within_Range"
"12","12","Within_Range"
"13","Dup 41","Within_Range"
"14","Dup 41","Within_Range"
"15","Dup 41","Within_Range"
"16","13","Within_Range"
"17","13","Within_Range"
"18","13","Within_Range"
"19","Spike 10","Within_Range"
"20","Spike 10","Within_Range"
"21","Spike 10","Within_Range"
"22","14","Within_Range"
"23","14","Within_Range"
"24","14","Within_Range"
"25","38","bdl"
"26","38","bdl"
"27","38","Within_Range"
"28","Spike 38","Within_Range"
"29","Spike 38","Within_Range"
"30","Spike 38","Within_Range"
"31","16","Within_Range"
"32","16","Within_Range"
"33","16","Within_Range"
"34","43","bdl"
"35","43","bdl"
"36","43","bdl"
"37","36","Within_Range"
"38","36","Within_Range"
"39","36","Within_Range"
"40","39","Within_Range"
"41","39","Within_Range"
"42","39","Within_Range"
