"","IDs","H2S_info"
"1","1","bdl"
"2","1","bdl"
"3","1","bdl"
"4","9","adl"
"5","9","adl"
"6","9","adl"
"7","14","adl"
"8","14","adl"
"9","14","adl"
"10","2","bdl"
"11","2","bdl"
"12","2","bdl"
"13","15","Within_Range"
"14","15","Within_Range"
"15","15","Within_Range"
"16","3","bdl"
"17","3","bdl"
"18","3","bdl"
"19","Dup 9","adl"
"20","Dup 9","adl"
"21","Dup 9","adl"
"22","16","adl"
"23","16","Within_Range"
"24","16","adl"
"25","4","bdl"
"26","4","bdl"
"27","4","bdl"
"28","Spike 1","Within_Range"
"29","Spike 1","Within_Range"
"30","Spike 1","Within_Range"
"31","5","bdl"
"32","5","bdl"
"33","5","bdl"
"34","10","adl"
"35","10","adl"
"36","10","adl"
"37","Spike 10","adl"
"38","Spike 10","adl"
"39","Spike 10","adl"
"40","6","bdl"
"41","6","bdl"
"42","6","bdl"
"43","11","adl"
"44","11","adl"
"45","11","adl"
"46","7","bdl"
"47","7","bdl"
"48","7","bdl"
"49","12","adl"
"50","12","adl"
"51","12","bdl"
"52","Dup 16","Within_Range"
"53","Dup 16","adl"
"54","Dup 16","adl"
"55","8","adl"
"56","8","adl"
"57","8","adl"
"58","13","adl"
"59","13","adl"
"60","13","adl"
