"","IDs","H2S_info"
"1","32","Within_Range"
"2","32","Within_Range"
"3","32","Within_Range"
"4","41","adl"
"5","41","adl"
"6","41","adl"
"7","46","bdl"
"8","46","bdl"
"9","46","bdl"
"10","33","bdl"
"11","33","bdl"
"12","33","bdl"
"13","8","Within_Range"
"14","8","Within_Range"
"15","8","Within_Range"
"16","34","Within_Range"
"17","34","Within_Range"
"18","34","Within_Range"
"19","Dup 41","adl"
"20","Dup 41","adl"
"21","Dup 41","adl"
"22","9","Within_Range"
"23","9","Within_Range"
"24","9","Within_Range"
"25","35","bdl"
"26","35","bdl"
"27","35","bdl"
"28","Spike 32","Within_Range"
"29","Spike 32","Within_Range"
"30","Spike 32","Within_Range"
"31","36","adl"
"32","36","adl"
"33","36","adl"
"34","42","Within_Range"
"35","42","Within_Range"
"36","42","Within_Range"
"37","Spike 42","Within_Range"
"38","Spike 42","Within_Range"
"39","Spike 42","adl"
"40","38","bdl"
"41","38","bdl"
"42","43","bdl"
"43","43","bdl"
"44","43","bdl"
"45","39","adl"
"46","39","adl"
"47","39","adl"
"48","44","bdl"
"49","44","bdl"
"50","44","bdl"
"51","Dup 9","Within_Range"
"52","Dup 9","Within_Range"
"53","Dup 9","Within_Range"
"54","40","Within_Range"
"55","40","Within_Range"
"56","40","Within_Range"
"57","45","bdl"
"58","45","bdl"
"59","45","bdl"
