"","IDs","H2S_info"
"1","33","Within_Range"
"2","33","Within_Range"
"3","33","Within_Range"
"4","15","Within_Range"
"5","15","Within_Range"
"6","15","Within_Range"
"7","34","Within_Range"
"8","34","Within_Range"
"9","34","Within_Range"
"10","35","Within_Range"
"11","35","Within_Range"
"12","35","Within_Range"
"13","15 Dup","Within_Range"
"14","15 Dup","Within_Range"
"15","15 Dup","Within_Range"
"16","36","Within_Range"
"17","36","Within_Range"
"18","36","Within_Range"
"19","33 Spike","Within_Range"
"20","33 Spike","Within_Range"
"21","33 Spike","Within_Range"
"22","37","bdl"
"23","37","bdl"
"24","37","bdl"
"25","18","Within_Range"
"26","18","Within_Range"
"27","18","Within_Range"
"28","18 Spike","Within_Range"
"29","18 Spike","Within_Range"
"30","18 Spike","Within_Range"
"31","38","bdl"
"32","38","bdl"
"33","38","bdl"
"34","27","Within_Range"
"35","27","Within_Range"
"36","27","Within_Range"
"37","39","bdl"
"38","39","bdl"
"39","39","bdl"
"40","12","Within_Range"
"41","12","Within_Range"
"42","12","Within_Range"
