"","Wells","Abs","IDs","Dilution","H2S_Dilute","Conc","H2S_Conc_Final","H2S_info"
"1","A04",0.068,"17",1,"Ok",-2.33194988798316,0,"bdl"
"2","A05",0.083,"17",1,"Ok",-0.824193155795332,0,"bdl"
"3","A06",0.075,"17",1,"Ok",-1.62833007962884,0,"bdl"
"4","A07",0.062,"25",1,"Ok",-2.9350525808583,0,"bdl"
"5","A08",0.059,"25",1,"Ok",-3.23660392729586,0,"bdl"
"6","A09",0.059,"25",1,"Ok",-3.23660392729586,0,"bdl"
"7","A10",0.057,"30",1,"Ok",-3.43763815825424,0,"bdl"
"8","A11",0.055,"30",1,"Ok",-3.63867238921262,0,"bdl"
"9","A12",0.056,"30",1,"Ok",-3.53815527373343,0,"bdl"
"10","B04",0.065,"18",1,"Ok",-2.63350123442073,0,"bdl"
"11","B05",0.066,"18",1,"Ok",-2.53298411894154,0,"bdl"
"12","B06",0.067,"18",1,"Ok",-2.43246700346235,0,"bdl"
"13","B10",0.542,"31",1,"Ok",45.3131628491523,45.3131628491523,"Within_Range"
"14","B11",0.606,"31",1,"Ok",51.7462582398204,51.7462582398204,"Within_Range"
"15","B12",0.467,"31",1,"Ok",37.7743791882131,37.7743791882131,"Within_Range"
"16","C04",0.077,"19",1,"Ok",-1.42729584867046,0,"bdl"
"17","C05",0.076,"19",1,"Ok",-1.52781296414965,0,"bdl"
"18","C06",0.076,"19",1,"Ok",-1.52781296414965,0,"bdl"
"19","C07",0.056,"25 Dup",1,"Ok",-3.53815527373343,0,"bdl"
"20","C08",0.055,"25 Dup",1,"Ok",-3.63867238921262,0,"bdl"
"21","C09",0.056,"25 Dup",1,"Ok",-3.53815527373343,0,"bdl"
"22","C10",0.057,"32",1,"Ok",-3.43763815825424,0,"bdl"
"23","C11",0.056,"32",1,"Ok",-3.53815527373343,0,"bdl"
"24","C12",0.062,"32",1,"Ok",-2.9350525808583,0,"bdl"
"25","D04",0.073,"20",1,"Ok",-1.82936431058722,0,"bdl"
"26","D05",0.072,"20",1,"Ok",-1.92988142606641,0,"bdl"
"27","D06",0.074,"20",1,"Ok",-1.72884719510803,0,"bdl"
"28","D10",0.116,"17 Spike",1,"Ok",2.4928716550179,2.4928716550179,"Within_Range"
"29","D11",0.1,"17 Spike",1,"Ok",0.884597807350877,0.884597807350877,"Within_Range"
"30","D12",0.097,"17 Spike",1,"Ok",0.58304646091331,0.58304646091331,"Within_Range"
"31","E04",0.073,"21",1,"Ok",-1.82936431058722,0,"bdl"
"32","E05",0.073,"21",1,"Ok",-1.82936431058722,0,"bdl"
"33","E06",0.073,"21",1,"Ok",-1.82936431058722,0,"bdl"
"34","E07",0.055,"26",1,"Ok",-3.63867238921262,0,"bdl"
"35","E08",0.058,"26",1,"Ok",-3.33712104277505,0,"bdl"
"36","E09",0.059,"26",1,"Ok",-3.23660392729586,0,"bdl"
"37","E10",0.157,"26 Spike",1,"Ok",6.61407338966463,6.61407338966463,"Within_Range"
"38","E11",0.198,"26 Spike",1,"Ok",10.7352751243114,10.7352751243114,"Within_Range"
"39","E12",0.098,"26 Spike",1,"Ok",0.683563576392499,0.683563576392499,"Within_Range"
"40","F04",0.072,"22",1,"Ok",-1.92988142606641,0,"bdl"
"41","F05",0.069,"22",1,"Ok",-2.23143277250397,0,"bdl"
"42","F06",0.07,"22",1,"Ok",-2.13091565702479,0,"bdl"
"43","F07",0.058,"27",1,"Ok",-3.33712104277505,0,"bdl"
"44","F08",0.054,"27",1,"Ok",-3.73918950469181,0,"bdl"
"45","F09",0.053,"27",1,"Ok",-3.839706620171,0,"bdl"
"46","G04",0.055,"23",1,"Ok",-3.63867238921262,0,"bdl"
"47","G05",0.054,"23",1,"Ok",-3.73918950469181,0,"bdl"
"48","G06",0.06,"23",1,"Ok",-3.13608681181667,0,"bdl"
"49","G07",0.592,"28",1,"Ok",50.3390186231117,50.3390186231117,"Within_Range"
"50","G08",0.522,"28",1,"Ok",43.3028205395685,43.3028205395685,"Within_Range"
"51","G09",0.468,"28",1,"Ok",37.8748963036923,37.8748963036923,"Within_Range"
"52","G10",0.056,"32 Dup",1,"Ok",-3.53815527373343,0,"bdl"
"53","G11",0.062,"32 Dup",1,"Ok",-2.9350525808583,0,"bdl"
"54","G12",0.071,"32 Dup",1,"Ok",-2.0303985415456,0,"bdl"
"55","H04",0.054,"24",1,"Ok",-3.73918950469181,0,"bdl"
"56","H05",0.054,"24",1,"Ok",-3.73918950469181,0,"bdl"
"57","H06",0.053,"24",1,"Ok",-3.839706620171,0,"bdl"
"58","H07",0.061,"29",1,"Ok",-3.03556969633749,0,"bdl"
"59","H08",0.056,"29",1,"Ok",-3.53815527373343,0,"bdl"
"60","H09",0.057,"29",1,"Ok",-3.43763815825424,0,"bdl"
