"missing_ids","Site","Zone","Collar","Date"
"GCW_WC_1_202405","GCW","WC","1","202405"
"GCW_WC_1_202409","GCW","WC","1","202409"
"GCW_WC_1_202410","GCW","WC","1","202410"
"GCW_WC_1_202411","GCW","WC","1","202411"
"GCW_WC_2_202405","GCW","WC","2","202405"
"GCW_WC_2_202409","GCW","WC","2","202409"
"GCW_WC_2_202410","GCW","WC","2","202410"
"GCW_WC_2_202411","GCW","WC","2","202411"
"GCW_WC_3_202405","GCW","WC","3","202405"
"GCW_WC_3_202409","GCW","WC","3","202409"
"GCW_WC_3_202410","GCW","WC","3","202410"
"GCW_WC_3_202411","GCW","WC","3","202411"
"GCW_WC_4_202405","GCW","WC","4","202405"
"GCW_WC_4_202409","GCW","WC","4","202409"
"GCW_WC_4_202410","GCW","WC","4","202410"
"GCW_WC_4_202411","GCW","WC","4","202411"
"GCW_WC_5_202405","GCW","WC","5","202405"
"GCW_WC_5_202409","GCW","WC","5","202409"
"GCW_WC_5_202410","GCW","WC","5","202410"
"GCW_WC_5_202411","GCW","WC","5","202411"
"GWI_TR_1_202409","GWI","TR","1","202409"
"GWI_TR_1_202410","GWI","TR","1","202410"
"GWI_TR_2_202409","GWI","TR","2","202409"
"GWI_TR_2_202410","GWI","TR","2","202410"
"GWI_TR_3_202409","GWI","TR","3","202409"
"GWI_TR_3_202410","GWI","TR","3","202410"
"GWI_TR_4_202409","GWI","TR","4","202409"
"GWI_TR_4_202410","GWI","TR","4","202410"
"GWI_TR_5_202409","GWI","TR","5","202409"
"GWI_TR_5_202410","GWI","TR","5","202410"
"GWI_WC_1_202409","GWI","WC","1","202409"
"GWI_WC_1_202410","GWI","WC","1","202410"
"GWI_WC_2_202409","GWI","WC","2","202409"
"GWI_WC_2_202410","GWI","WC","2","202410"
"GWI_WC_3_202409","GWI","WC","3","202409"
"GWI_WC_3_202410","GWI","WC","3","202410"
"GWI_WC_4_202409","GWI","WC","4","202409"
"GWI_WC_4_202410","GWI","WC","4","202410"
"GWI_WC_5_202409","GWI","WC","5","202409"
"GWI_WC_5_202410","GWI","WC","5","202410"
"MSM_TR_1_202409","MSM","TR","1","202409"
"MSM_TR_1_202410","MSM","TR","1","202410"
"MSM_TR_1_202411","MSM","TR","1","202411"
"MSM_TR_2_202409","MSM","TR","2","202409"
"MSM_TR_2_202410","MSM","TR","2","202410"
"MSM_TR_2_202411","MSM","TR","2","202411"
"MSM_TR_3_202409","MSM","TR","3","202409"
"MSM_TR_3_202410","MSM","TR","3","202410"
"MSM_TR_3_202411","MSM","TR","3","202411"
"MSM_TR_4_202409","MSM","TR","4","202409"
"MSM_TR_4_202410","MSM","TR","4","202410"
"MSM_TR_4_202411","MSM","TR","4","202411"
"MSM_TR_5_202409","MSM","TR","5","202409"
"MSM_TR_5_202410","MSM","TR","5","202410"
"MSM_TR_5_202411","MSM","TR","5","202411"
"MSM_WC_1_202409","MSM","WC","1","202409"
"MSM_WC_1_202410","MSM","WC","1","202410"
"MSM_WC_2_202409","MSM","WC","2","202409"
"MSM_WC_2_202410","MSM","WC","2","202410"
"MSM_WC_3_202409","MSM","WC","3","202409"
"MSM_WC_3_202410","MSM","WC","3","202410"
"MSM_WC_4_202409","MSM","WC","4","202409"
"MSM_WC_4_202410","MSM","WC","4","202410"
"MSM_WC_5_202409","MSM","WC","5","202409"
"MSM_WC_5_202410","MSM","WC","5","202410"
"SWH_WC_1_202409","SWH","WC","1","202409"
"SWH_WC_1_202410","SWH","WC","1","202410"
"SWH_WC_1_202411","SWH","WC","1","202411"
"SWH_WC_2_202409","SWH","WC","2","202409"
"SWH_WC_2_202410","SWH","WC","2","202410"
"SWH_WC_2_202411","SWH","WC","2","202411"
"SWH_WC_3_202409","SWH","WC","3","202409"
"SWH_WC_3_202410","SWH","WC","3","202410"
"SWH_WC_3_202411","SWH","WC","3","202411"
"SWH_WC_4_202409","SWH","WC","4","202409"
"SWH_WC_4_202410","SWH","WC","4","202410"
"SWH_WC_4_202411","SWH","WC","4","202411"
"SWH_WC_5_202409","SWH","WC","5","202409"
"SWH_WC_5_202410","SWH","WC","5","202410"
"SWH_WC_5_202411","SWH","WC","5","202411"
