Date,Month,Year,Campaign,Site,Zone,Depth,Rep,Sample_Name,SampleID
20220502,May,2022,MonMon,MSM,WC,10,A,MSM_WC_PW_MonMon_20220502_SipA_10cm,654
20220502,May,2022,MonMon,MSM,WC,10,B,MSM_WC_PW_MonMon_20220502_SipB_10cm,656
20220502,May,2022,MonMon,MSM,WC,10,C,MSM_WC_PW_MonMon_20220502_SipC_10cm,658
20220502,May,2022,MonMon,MSM,WC,20,A,MSM_WC_PW_MonMon_20220502_SipA_20cm,655
20220502,May,2022,MonMon,MSM,WC,20,B,MSM_WC_PW_MonMon_20220502_SipB_20cm,657
20220502,May,2022,MonMon,MSM,WC,20,C,MSM_WC_PW_MonMon_20220502_SipC_20cm,659
20220502,May,2022,MonMon,MSM,WC,45,A,MSM_WC_PW_MonMon_20220502_SipA_45cm,660
20220502,May,2022,MonMon,GWI,WC,10,A,GWI_WC_PW_MonMon_20220502_SipA_10cm,650
20220502,May,2022,MonMon,GWI,WC,10,B,GWI_WC_PW_MonMon_20220502_SipB_10cm,652
20220502,May,2022,MonMon,GWI,WC,10,C,GWI_WC_PW_MonMon_20220502_SipC_10cm,653
20220502,May,2022,MonMon,GWI,WC,20,A,GWI_WC_PW_MonMon_20220502_SipA_20cm,651
20220607,June,2022,MonMon,MSM,Up,10,A,MSM_UP_PW_MonMon_20220607_LysA_10cm,624
20220607,June,2022,MonMon,MSM,Up,10,B,MSM_UP_PW_MonMon_20220607_LysB_10cm,627
20220607,June,2022,MonMon,MSM,Up,10,C,MSM_UP_LysC_PW_MonMon_20220607_10cm,630
20220607,June,2022,MonMon,MSM,Up,20,A,MSM_UP_PW_MonMon_20220607_LysA_20cm,625
20220607,June,2022,MonMon,MSM,Up,20,B,MSM_UP_PW_MonMon_20220607_LysB_20cm,628
20220607,June,2022,MonMon,MSM,Up,20,C,MSM_UP_PW_MonMon_20220607_LysC_20cm,631
20220607,June,2022,MonMon,MSM,Up,45,A,MSM_UP_PW_MonMon_20220607_LysA_45cm,626
20220607,June,2022,MonMon,MSM,Up,45,B,MSM_UP_PW_MonMon_20220607_LysB_45cm,629
20220607,June,2022,MonMon,MSM,Up,45,C,MSM_UP_PW_MonMon_20220607_LysC_45cm,632
20220607,June,2022,MonMon,MSM,TR,10,A,MSM_TR_PW_MonMon_20220607_LysA_10cm,633
20220607,June,2022,MonMon,MSM,TR,10,B,MSM_TR_PW_MonMon_20220607_LysB_10cm,636
