Fe(II),Abs,Curve,FE
60,0.1405,Low,FE_2
45,0.129,Low,FE_2
30,0.0905,Low,FE_2
18,0.069,Low,FE_2
9,0.055,Low,FE_2
6,0.048666667,Low,FE_2
3,0.042333333,Low,FE_2
0.6,0.038,Low,FE_2
0,0.0375,Low,FE_2
60,0.182,Low,FE_2
45,0.1625,Low,FE_2
30,0.1255,Low,FE_2
18,0.0885,Low,FE_2
9,0.063666667,Low,FE_2
6,0.053,Low,FE_2
3,0.046,Low,FE_2
0.6,0.038666667,Low,FE_2
0,0.037333333,Low,FE_2
500,1.374,High,FE_2
250,0.701666667,High,FE_2
100,0.291333333,High,FE_2
60,0.182,High,FE_2
45,0.1625,High,FE_2
30,0.1255,High,FE_2
18,0.0885,High,FE_2
9,0.063666667,High,FE_2
6,0.053,High,FE_2
3,0.046,High,FE_2
0.6,0.038666667,High,FE_2
0,0.037333333,High,FE_2
60,0.3115,Low,FE_Total
45,0.2325,Low,FE_Total
30,0.171,Low,FE_Total
18,0.1145,Low,FE_Total
9,0.083666667,Low,FE_Total
6,0.064666667,Low,FE_Total
3,0.052333333,Low,FE_Total
0.6,0.046333333,Low,FE_Total
0,0.03875,Low,FE_Total
60,0.2965,Low,FE_Total
45,0.2345,Low,FE_Total
30,0.172,Low,FE_Total
18,0.1195,Low,FE_Total
9,0.079666667,Low,FE_Total
6,0.065,Low,FE_Total
3,0.052333333,Low,FE_Total
0.6,0.041333333,Low,FE_Total
0,0.038,Low,FE_Total
500,1.439,High,FE_Total
250,0.845666667,High,FE_Total
100,0.479333333,High,FE_Total
60,0.2965,High,FE_Total
45,0.2345,High,FE_Total
30,0.172,High,FE_Total
18,0.1195,High,FE_Total
9,0.079666667,High,FE_Total
6,0.065,High,FE_Total
3,0.052333333,High,FE_Total
0.6,0.041333333,High,FE_Total
0,0.038,High,FE_Total
