Inj.	Injection Name	Type 	Ret.Time	Amount	Rel.Area 	Area	Height	Type
No.	Selected Peak:		min	µg/mL	%	µS*min	µS	
			CD	CD	CD	CD	CD	CD
			IC-Cl	IC-Cl	IC-Cl	IC-Cl	IC-Cl	IC-Cl
1	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
2	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
3	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
4	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
5	Standard 1	Calibration Standard	3.710 	6.0596 	92.44 	9.3112 	42.63 	 M 
6	Standard 2	Calibration Standard	3.710 	11.3033 	91.83 	17.3688 	78.65 	 M 
7	Standard 3	Calibration Standard	3.720 	22.0409 	91.47 	33.8684 	152.77 	 M 
8	Standard 4	Calibration Standard	3.697 	99.6910 	91.20 	153.1866 	690.58 	BM 
9	Standard 5	Calibration Standard	3.703 	199.8588 	91.01 	307.1059 	1354.17 	BM 
10	Lab Blank	Unknown	3.667 	0.0533 	100.00 	0.0819 	0.37 	BMB
11	Lab Blank	Unknown	3.710 	0.0225 	69.76 	0.0346 	0.10 	 MB
12	1_GCW_202304_UP_LysA_20cm	Unknown	3.700 	0.0017 	0.00 	0.0001 	0.00 	Rd
13	2_GCW_202304_UP_LysB_10cm	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
14	3_GCW_202304_UP_LysB_20cm	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
15	4_GCW_202304_UP_LysC_10cm	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
16	5_GCW_202304_UP_LysC_20cm	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
17	6_GCW_202304_UP_LysC_45cm	Unknown	3.717 	80.6304 	13.65 	2.4780 	6.96 	 M 
18	7_GCW_202304_TR_LysA_20cm	Unknown	3.710 	79.1702 	13.94 	2.4331 	6.93 	 M 
19	8_GCW_202304_TR_LysA_45cm	Unknown	3.710 	78.1492 	13.42 	2.4017 	6.88 	 M 
20	9_GCW_202304_TR_LysB_10cm	Unknown	3.707 	77.7315 	13.42 	2.3889 	6.78 	 M 
21	10_GCW_202304_TR_LysB_20cm	Unknown	3.747 	73.6636 	13.14 	2.2638 	6.51 	 M 
22	10_GCW_202304_TR_LysB_20cm_dup	Unknown	3.733 	73.6625 	13.24 	2.2638 	6.45 	 M 
23	11_GCW_202304_TR_LysB_45cm	Unknown	3.687 	101.5811 	17.30 	3.1218 	9.34 	 M 
24	11_GCW_202304_TR_LysB_45cm_spk	Unknown	3.687 	98.3241 	15.37 	3.0217 	9.25 	 M 
25	Standard 1	Check Standard	3.693 	5.9994 	92.30 	9.2188 	42.46 	 M 
26	Lab Blank	Unknown	3.727 	0.0244 	100.00 	0.0375 	0.17 	BMB
