"","Wells","Abs1","Abs2","IDs","Dilutions","FE_2_Curve","FE_Tot_Curve"
"1","C04",0.054,0.536,"185",1,"Within range","High"
"2","C05",0.053,0.562,"185",1,"Within range","High"
"3","C06",0.052,0.554,"185",1,"Within range","High"
"4","D10",0.455,0.987,"200",1,"Within range","High"
"5","D11",0.292,0.967,"200",1,"Within range","High"
"6","D12",0.333,0.879,"200",1,"Within range","High"
"7","E10",0.05,1.112,"201",1,"Within range","High"
"8","E11",0.049,1.168,"201",1,"Within range","High"
"9","E12",0.051,1.193,"201",1,"Within range","High"
