"","IDs","FE_2_mean","FE_2_sd","FE_2_cv","FE_3_mean","FE_3_sd","FE_3_cv","FE_2_flag","FE_3_flag","Dilution","FE_2_cv_flag","FE_3_cv_flag"
"1","161",4.60410938998518,0.502910296666901,10.9230744551992,0,0,0,"within range","bdl",1,"High cv rerun","ok"
"2","164",3.35946990612922,0.251455148333452,7.48496504983367,0,0,0,"within range","bdl",1,"ok","ok"
"3","166",0.336774016764719,0,0,0,0,0,"within range","bdl",1,"ok","ok"
"4","167",0.336774016764719,0,0,0,0,0,"within range","within range",1,"ok","ok"
"5","168",1.93702478172239,0.25145514833345,12.9815142638422,1.73851163073644,0.215659513830346,12.4048358387451,"within range","within range",1,"High cv rerun","High cv rerun"
"6","173",15.8058647446889,0.754365445000355,4.77269328306657,0,0,0,"within range","bdl",1,"ok","ok"
"7","175",316.606752361612,23.4493848578054,7.4064702293597,0,0,0,"within range","bdl",1,"ok","ok"
"8","176",277.839395151713,3.63300328782899,1.30759113042454,0,0,0,"within range","bdl",1,"ok","ok"
"9","177",103.853364300059,21.1374736746415,20.3531910758038,0,0,0,"within range","bdl",1,"High cv rerun","ok"
"10","179",36.1349763143364,0.740263912896008,2.04860771584984,506.622640486268,50.4287941488094,9.95391641013255,"within range","high",1,"ok","ok"
"11","160",9.22705604430735,0.355611281101706,3.85400586486197,0,0,0,"within range","bdl",1,"ok","ok"
"12","162",0.692385297866425,0,0,0,0,0,"within range","bdl",1,"ok","ok"
"13","163",0.692385297866425,0,0,0,0,0,"within range","bdl",1,"ok","ok"
"14","165",21.3178396017653,1.06683384330512,5.00441819262386,0,0,0,"within range","bdl",1,"ok","ok"
"15","169",205.987445945415,16.4629315543973,7.99220140763329,0,0,0,"within range","bdl",1,"ok","ok"
"16","170",11.8348721057199,0.543205204542926,4.58986966390952,0,0,0,"within range","bdl",1,"ok","ok"
"17","171",5.78948032699087,0.205312268870938,3.5462987569672,141.931289509658,3.63225143552257,2.55916186492156,"within range","high",1,"ok","ok"
"18","172",21.5549137891665,0.54320520454293,2.52009917486167,668.877955569598,22.5265017988039,3.36780448678727,"within range","high",1,"ok","ok"
"19","174",2.94459007817722,0.205312268870937,6.97252464417835,33.0627046968352,1.81992160351848,5.50445470268101,"within range","within range",1,"ok","ok"
"20","178",5.90801742069144,0.205312268870938,3.47514663974889,87.7987939989322,1.96490230992881,2.23796047808208,"within range","within range",1,"ok","ok"
"21","180",8.87144476320565,0,0,103.007429416936,1.58834261724442,1.54196898829054,"within range","high",1,"ok","ok"
"22","181",2.58897879707552,0.205312268870937,7.93024141807788,147.85951642548,3.37672190720903,2.28373660948017,"within range","high",1,"ok","ok"
"23","182",2.23336751597381,0.205312268870937,9.19294596175835,96.6366193889453,1.04593703011147,1.08234025230307,"within range","within range",1,"ok","ok"
