"","Wells","Abs1","Abs2","IDs","Dilutions","FE_2_Curve","FE_Tot_Curve"
"1","A04",1.02,1.56,"138",8,"Within range","High"
"2","A05",1.23,1.537,"138",8,"High","High"
"3","A06",0.976,1.536,"138",8,"Within range","High"
"4","A10",0.494,0.577,"152",8,"Within range","High"
"5","A11",0.455,0.546,"152",8,"Within range","High"
"6","A12",0.499,0.546,"152",8,"Within range","High"
"7","D04",0.152,0.62,"141",8,"Within range","High"
"8","D05",0.15,0.661,"141",8,"Within range","High"
"9","D06",0.124,0.575,"141",8,"Within range","High"
"10","D10",0.042,0.485,"155",8,"Within range","High"
"11","F04",0.092,0.848,"143",8,"Within range","High"
"12","F05",0.086,0.677,"143",8,"Within range","High"
"13","F06",0.091,0.68,"143",8,"Within range","High"
"14","G04",1.037,1.668,"144",8,"Within range","High"
"15","G05",1.231,1.649,"144",8,"High","High"
"16","G06",0.955,1.63,"144",8,"Within range","High"
"17","H07",0.395,0.723,"151",8,"Within range","High"
"18","H08",0.464,0.609,"151",8,"Within range","High"
"19","H09",0.487,0.645,"151",8,"Within range","High"
