"","IDs","FE_2_mean","FE_2_sd","FE_2_cv","FE_3_mean","FE_3_sd","FE_3_cv","FE_2_flag","FE_3_flag","Dilution","FE_2_cv_flag","FE_3_cv_flag"
"1","48",2.50235669712291,0.258219026887418,10.319033540834,0,0,0,"within range","bdl",1,"High cv rerun","ok"
"2","50",0.859060872631547,0,0,0,0,0,"within range","bdl",1,"ok","ok"
"3","51",1.95459142229246,0,0,0,0,0,"within range","bdl",1,"ok","ok"
"4","53",1.22423772251852,0,0,50.2832441414379,5.61317632020346,11.1631149024804,"within range","within range",1,"ok","High cv rerun"
"5","54",0.493884022744577,0,0,8.60405765612445,0,0,"within range","within range",1,"ok","ok"
"6","55",0.128707172857606,0,0,9.97967731697858,0.56755089455938,5.68706659075837,"within range","within range",1,"ok","ok"
"7","56",0.493884022744577,0,0,7.38618193782108,1.7223363581095,23.3183581532191,"within range","within range",1,"ok","High cv rerun"
"8","58",2155.29768210942,106.696632659466,4.95043601378723,0,0,0,"within range","bdl",8,"ok","ok"
"9","60",1243.9904760614,131.966887763024,10.6083519369734,0,0,0,"within range","bdl",8,"High cv rerun","ok"
"10","61",1299.58220104908,148.813724498729,11.4508897073691,0,0,0,"within range","bdl",8,"High cv rerun","ok"
"11","62",1029.56525110892,42.1170918392629,4.09076469839085,0,0,0,"within range","bdl",8,"ok","ok"
"12","65",10612.3144753222,1375.82500008259,12.9644198094763,0,0,0,"high","bdl",16,"High cv rerun","ok"
"13","66",9147.07543814691,370.630408185514,4.05190063962783,0,0,0,"high","bdl",16,"ok","ok"
"14","45",5.36290868790418,0.210834952584062,3.93135451027894,0,0,0,"within range","bdl",1,"ok","ok"
"15","46",2.80667073869539,0.210834952584062,7.51192327896872,0,0,0,"within range","bdl",1,"ok","ok"
"16","47",2.56321950543741,0.210834952584062,8.2253959185631,0,0,0,"within range","bdl",1,"ok","ok"
"17","49",3.29357320521135,0.210834952584062,6.40140477978332,0,0,0,"within range","bdl",1,"ok","ok"
"18","52",7.67569540385499,0.421669905168122,5.49357267298994,0,0,0,"within range","bdl",1,"ok","ok"
"19","57",5141.3674814476,239.142019440123,4.65133099905923,0,0,0,"high","bdl",8,"ok","ok"
"20","59",2030.878107137,141.081198290213,6.94680777710977,0,0,0,"within range","bdl",8,"ok","ok"
"21","63",1609.96933223028,92.4730673819254,5.74377819072011,0,0,0,"within range","bdl",8,"ok","ok"
"22","64",4686.50131413553,400.27407599777,8.54099997348672,0,0,0,"within range","bdl",16,"ok","ok"
