"","Wells","Abs1","Abs2","IDs","Dilutions","FE_2_Curve","FE_Tot_Curve"
"1","A04",0.551,0.598,"23",1,"Within range","High"
"2","A05",0.524,0.557,"23",1,"Within range","High"
"3","A06",0.455,0.541,"23",1,"Within range","High"
"4","A10",0.571,0.597,"37",1,"Within range","High"
"5","A11",0.544,0.571,"37",1,"Within range","High"
"6","A12",0.524,0.552,"37",1,"Within range","High"
"7","D04",0.622,0.61,"26",1,"Within range","High"
"8","D05",0.255,0.533,"26",1,"Within range","High"
"9","D06",0.238,0.564,"26",1,"Within range","High"
