Fe(II),Abs,Curve,FE
500,1.4255,High,FE_Total
250,0.9125,High,FE_Total
100,0.4245,High,FE_Total
60,0.327333333,High,FE_Total
45,0.247666667,High,FE_Total
30,0.19,High,FE_Total
18,0.130666667,High,FE_Total
9,0.078333333,High,FE_Total
6,0.064666667,High,FE_Total
3,0.052666667,High,FE_Total
0.6,0.040333333,High,FE_Total
0,0.038333333,High,FE_Total
500,1.567,High,FE_Total
250,1.0225,High,FE_Total
100,0.499,High,FE_Total
60,0.329,High,FE_Total
45,0.263333333,High,FE_Total
30,0.182,High,FE_Total
18,0.123666667,High,FE_Total
9,0.086666667,High,FE_Total
6,0.065333333,High,FE_Total
3,0.052333333,High,FE_Total
0.6,0.04,High,FE_Total
0,0.038,High,FE_Total
500,1.541,High,FE_Total
250,1.016,High,FE_Total
100,0.505,High,FE_Total
60,0.333,High,FE_Total
45,0.268,High,FE_Total
30,0.185333333,High,FE_Total
18,0.120333333,High,FE_Total
9,0.081666667,High,FE_Total
6,0.068,High,FE_Total
3,0.052333333,High,FE_Total
0.6,0.04,High,FE_Total
0,0.038,High,FE_Total
60,0.327333333,Low,FE_Total
45,0.247666667,Low,FE_Total
30,0.19,Low,FE_Total
18,0.130666667,Low,FE_Total
9,0.078333333,Low,FE_Total
6,0.064666667,Low,FE_Total
3,0.052666667,Low,FE_Total
0.6,0.040333333,Low,FE_Total
0,0.038333333,Low,FE_Total
60,0.329,Low,FE_Total
45,0.263333333,Low,FE_Total
30,0.182,Low,FE_Total
18,0.123666667,Low,FE_Total
9,0.086666667,Low,FE_Total
6,0.065333333,Low,FE_Total
3,0.052333333,Low,FE_Total
0.6,0.04,Low,FE_Total
0,0.038,Low,FE_Total
60,0.333,Low,FE_Total
45,0.268,Low,FE_Total
30,0.185333333,Low,FE_Total
18,0.120333333,Low,FE_Total
9,0.081666667,Low,FE_Total
6,0.068,Low,FE_Total
3,0.052333333,Low,FE_Total
0.6,0.04,Low,FE_Total
0,0.038,Low,FE_Total
500,1.317,High,FE_2
250,0.708,High,FE_2
100,0.273,High,FE_2
60,0.215,High,FE_2
45,0.171,High,FE_2
30,0.1205,High,FE_2
18,0.093,High,FE_2
9,0.064,High,FE_2
6,0.053666667,High,FE_2
3,0.044666667,High,FE_2
0.6,0.038,High,FE_2
0,0.037,High,FE_2
500,1.466,High,FE_2
250,0.800333333,High,FE_2
100,0.353666667,High,FE_2
60,0.2305,High,FE_2
45,0.1945,High,FE_2
30,0.143,High,FE_2
18,0.0925,High,FE_2
9,0.065333333,High,FE_2
6,0.055666667,High,FE_2
3,0.047666667,High,FE_2
0.6,0.039,High,FE_2
0,0.037,High,FE_2
500,1.443,High,FE_2
250,0.740666667,High,FE_2
100,0.297333333,High,FE_2
60,0.222,High,FE_2
45,0.185666667,High,FE_2
30,0.136333333,High,FE_2
18,0.092333333,High,FE_2
9,0.066666667,High,FE_2
6,0.055666667,High,FE_2
3,0.046333333,High,FE_2
0.6,0.038333333,High,FE_2
0,0.037,High,FE_2
60,0.215,Low,FE_2
45,0.171,Low,FE_2
30,0.1205,Low,FE_2
18,0.093,Low,FE_2
9,0.064,Low,FE_2
6,0.053666667,Low,FE_2
3,0.044666667,Low,FE_2
0.6,0.038,Low,FE_2
0,0.037,Low,FE_2
60,0.2305,Low,FE_2
45,0.1945,Low,FE_2
30,0.143,Low,FE_2
18,0.0925,Low,FE_2
9,0.065333333,Low,FE_2
6,0.055666667,Low,FE_2
3,0.047666667,Low,FE_2
0.6,0.039,Low,FE_2
0,0.037,Low,FE_2
60,0.222,Low,FE_2
45,0.185666667,Low,FE_2
30,0.136333333,Low,FE_2
18,0.092333333,Low,FE_2
9,0.066666667,Low,FE_2
6,0.055666667,Low,FE_2
3,0.046333333,Low,FE_2
0.6,0.038333333,Low,FE_2
0,0.037,Low,FE_2
