Fe(II),Abs,Curve,FE
500,1.397666667,High,FE_Total
250,0.898,High,FE_Total
100,0.4755,High,FE_Total
60,0.322333333,High,FE_Total
45,0.246,High,FE_Total
30,0.184666667,High,FE_Total
18,0.119666667,High,FE_Total
9,0.08,High,FE_Total
6,0.064,High,FE_Total
3,0.053333333,High,FE_Total
0.6,0.039666667,High,FE_Total
0,0.038,High,FE_Total
500,1.2245,High,FE_Total
250,0.991,High,FE_Total
100,0.4935,High,FE_Total
60,0.346333333,High,FE_Total
45,0.247333333,High,FE_Total
30,0.159,High,FE_Total
18,0.118333333,High,FE_Total
9,0.074333333,High,FE_Total
6,0.063666667,High,FE_Total
3,0.051333333,High,FE_Total
0.6,0.039,High,FE_Total
0,0.038,High,FE_Total
60,0.322333333,Low,FE_Total
45,0.246,Low,FE_Total
30,0.184666667,Low,FE_Total
18,0.119666667,Low,FE_Total
9,0.08,Low,FE_Total
6,0.064,Low,FE_Total
3,0.053333333,Low,FE_Total
0.6,0.039666667,Low,FE_Total
0,0.038,Low,FE_Total
60,0.346333333,Low,FE_Total
45,0.247333333,Low,FE_Total
30,0.159,Low,FE_Total
18,0.118333333,Low,FE_Total
9,0.074333333,Low,FE_Total
6,0.063666667,Low,FE_Total
3,0.051333333,Low,FE_Total
0.6,0.039,Low,FE_Total
0,0.038,Low,FE_Total
500,1.341333333,High,FE_2
250,0.760666667,High,FE_2
100,0.352666667,High,FE_2
60,0.223333333,High,FE_2
45,0.18,High,FE_2
30,0.135666667,High,FE_2
18,0.091,High,FE_2
9,0.065333333,High,FE_2
6,0.054,High,FE_2
3,0.046666667,High,FE_2
0.6,0.038333333,High,FE_2
0,0.037,High,FE_2
500,1.139,High,FE_2
250,0.727,High,FE_2
100,0.350333333,High,FE_2
60,0.240666667,High,FE_2
45,0.178666667,High,FE_2
30,0.119,High,FE_2
18,0.093333333,High,FE_2
9,0.059333333,High,FE_2
6,0.054333333,High,FE_2
3,0.046,High,FE_2
0.6,0.038,High,FE_2
0,0.038,High,FE_2
60,0.223333333,Low,FE_2
45,0.18,Low,FE_2
30,0.135666667,Low,FE_2
18,0.091,Low,FE_2
9,0.065333333,Low,FE_2
6,0.054,Low,FE_2
3,0.046666667,Low,FE_2
0.6,0.038333333,Low,FE_2
0,0.037,Low,FE_2
60,0.240666667,Low,FE_2
45,0.178666667,Low,FE_2
30,0.119,Low,FE_2
18,0.093333333,Low,FE_2
9,0.059333333,Low,FE_2
6,0.054333333,Low,FE_2
3,0.046,Low,FE_2
0.6,0.038,Low,FE_2
0,0.038,Low,FE_2
