Date,Plate,Well_ID,SampleID,Dil_Factor,Abs1,Abs2,Notes
20221220,Dilutions2,1,stds,1,1.224,1.42,
20221220,Dilutions2,2,stds,1,1.338,1.459,
20221220,Dilutions2,3,stds,1,1.177,1.4,
20221220,Dilutions2,4,46,7,1.196,1.303,
20221220,Dilutions2,5,46,7,1.03,1.338,
20221220,Dilutions2,6,46,7,1.008,1.115,BR
20221220,Dilutions2,7,62,7,0.987,1.182,
20221220,Dilutions2,8,62,7,1.047,1.18,
20221220,Dilutions2,9,62,7,0.866,1.107,BR
20221220,Dilutions2,10,69,7,0.192,0.262,
20221220,Dilutions2,11,69,7,0.176,0.241,
20221220,Dilutions2,12,69,7,0.154,0.227,BR
20221220,Dilutions2,13,stds,1,0.062,0.08,
20221220,Dilutions2,14,stds,1,0.066,0.084,
20221220,Dilutions2,15,stds,1,0.065,0.084,
20221220,Dilutions2,16,51,7,0.226,0.325,
20221220,Dilutions2,17,51,7,0.217,0.312,
20221220,Dilutions2,18,51,7,0.204,0.315,
20221220,Dilutions2,19,63,7,0.289,0.381,
20221220,Dilutions2,20,63,7,0.275,0.349,
20221220,Dilutions2,21,63,7,0.239,0.347,
20221220,Dilutions2,22,70,7,0.977,1.111,
20221220,Dilutions2,23,70,7,0.902,1.064,BR
20221220,Dilutions2,24,70,7,1.005,1.273,
20221220,Dilutions2,25,stds,1,0.038,0.04,
20221220,Dilutions2,26,stds,1,0.039,0.041,
20221220,Dilutions2,27,stds,1,0.038,0.041,
20221220,Dilutions2,28,54,7,0.175,0.29,BR
20221220,Dilutions2,29,54,7,0.15,0.251,
20221220,Dilutions2,30,54,7,0.166,0.247,
20221220,Dilutions2,31,64,7,0.868,1.086,
20221220,Dilutions2,32,64,7,0.8,1.024,
20221220,Dilutions2,33,64,7,0.627,0.969,BR
20221220,Dilutions2,34,71,7,2.072,1.92,ND
20221220,Dilutions2,35,71,7,2.021,1.931,ND
20221220,Dilutions2,36,71,7,1.759,1.804,ND
20221220,Dilutions2,37,stds,1,0.038,0.039,
20221220,Dilutions2,38,stds,1,0.038,0.038,
20221220,Dilutions2,39,stds,1,0.037,0.046,
20221220,Dilutions2,40,55,7,0.206,0.304,BR
20221220,Dilutions2,41,55,7,0.187,0.295,
20221220,Dilutions2,42,55,7,0.181,0.278,
20221220,Dilutions2,43,64d,7,0.744,0.933,
20221220,Dilutions2,44,64d,7,0.773,0.949,
20221220,Dilutions2,45,64d,7,0.51,0.688,BR
20221220,Dilutions2,46,72,7,0.504,0.704,
20221220,Dilutions2,47,72,7,0.481,0.653,
20221220,Dilutions2,48,72,7,0.469,0.569,BR
20221220,Dilutions2,49,stds,1,0.041,0.19,
20221220,Dilutions2,50,stds,1,0.041,0.219,
20221220,Dilutions2,51,stds,1,0.041,0.213,
20221220,Dilutions2,52,58,7,1.283,1.399,BR
20221220,Dilutions2,53,58,7,1.013,1.163,
20221220,Dilutions2,54,58,7,1.081,1.221,
20221220,Dilutions2,55,65,7,1.92,1.894,ND
20221220,Dilutions2,56,65,7,1.607,1.561,ND
20221220,Dilutions2,57,65,7,1.789,1.806,ND
20221220,Dilutions2,58,73,7,0.936,1.114,BR
20221220,Dilutions2,59,73,7,0.691,0.875,
20221220,Dilutions2,60,73,7,0.741,0.974,
20221220,Dilutions2,61,stds,1,0.038,0.059,
20221220,Dilutions2,62,stds,1,0.038,0.062,
20221220,Dilutions2,63,stds,1,0.038,0.064,
20221220,Dilutions2,64,59,7,0.453,0.605,
20221220,Dilutions2,65,59,7,0.433,0.606,
20221220,Dilutions2,66,59,7,0.401,0.533,BR
20221220,Dilutions2,67,stds,7,0.037,0.039,
20221220,Dilutions2,68,65spk,7,1.57,1.54,ND
20221220,Dilutions2,69,65spk,7,1.584,1.556,ND
