"","Wells","Abs","IDs","Dilution","H2S_Dilute","Conc","H2S_Conc_Final","H2S_info"
"1","A04",2.492,"113",1,"Dilute",221.067951434626,221.067951434626,"within range"
"2","A05",2.286,"113",1,"Dilute",202.140905088483,202.140905088483,"within range"
"3","A06",2.661,"113",1,"Dilute",236.595479747724,236.595479747724,"within range"
"4","A07",0.815,"20",50,"Ok",3349.35467792509,3349.35467792509,"within range"
"5","A08",0.762,"20",50,"Ok",3105.87568366646,3105.87568366646,"within range"
"6","A09",0.721,"20",50,"Ok",2917.52400886261,2917.52400886261,"within range"
"7","A10",0.929,"111",25,"Ok",1936.53210637277,1936.53210637277,"within range"
"8","A11",0.786,"111",25,"Ok",1608.06516128801,1608.06516128801,"within range"
"9","A12",0.763,"111",25,"Ok",1555.23481347718,1555.23481347718,"within range"
"10","B04",2.472,"114",1,"Dilute",219.230374119466,219.230374119466,"within range"
"11","B05",2.323,"114",1,"Dilute",205.540423121528,205.540423121528,"within range"
"12","B06",2.613,"114",1,"Dilute",232.185294191341,232.185294191341,"within range"
"13","B10",0.989,"113 x25",25,"Ok",2074.35040500974,2074.35040500974,"within range"
"14","B11",0.96,"113 x25",25,"Ok",2007.7382273352,2007.7382273352,"within range"
"15","B12",0.873,"113 x25",25,"Ok",1807.90169431161,1807.90169431161,"within range"
"16","C04",0.357,"107",25,"Ok",622.664326033732,622.664326033732,"within range"
"17","C05",0.303,"107",25,"Ok",498.627857260466,498.627857260466,"within range"
"18","C06",0.298,"107",25,"Ok",487.142999040719,487.142999040719,"within range"
"19","C07",0.785,"20 Dup",50,"Ok",3211.53637928813,3211.53637928813,"within range"
"20","C08",0.755,"20 Dup",50,"Ok",3073.71808065117,3073.71808065117,"within range"
"21","C09",0.72,"20 Dup",50,"Ok",2912.93006557471,2912.93006557471,"within range"
"22","C10",0.848,"114 x25",25,"Ok",1750.47740321287,1750.47740321287,"within range"
"23","C11",0.741,"114 x25",25,"Ok",1504.70143731029,1504.70143731029,"within range"
"24","C12",0.853,"114 x25",25,"Ok",1761.96226143262,1761.96226143262,"within range"
"25","D04",0.057,"116",1,"Ok",-2.65708668604318,0,"bdl"
"26","D05",0.057,"116",1,"Ok",-2.65708668604318,0,"bdl"
"27","D06",0.059,"116",1,"Ok",-2.47332895452723,0,"bdl"
"28","D10",2.656,"113 Spike",1,"Dilute",236.136085418934,236.136085418934,"within range"
"29","D11",2.355,"113 Spike",1,"Dilute",208.480546825783,208.480546825783,"within range"
"30","D12",2.503,"113 Spike",1,"Dilute",222.078618957963,222.078618957963,"within range"
"31","E04",0.06,"117",1,"Ok",-2.38145008876925,0,"bdl"
"32","E05",0.072,"117",1,"Ok",-1.27890369967355,0,"bdl"
"33","E06",0.059,"117",1,"Ok",-2.47332895452723,0,"bdl"
"34","E07",0.351,"43",1,"Ok",24.3552998468014,24.3552998468014,"within range"
"35","E08",0.365,"43",1,"Ok",25.6416039674131,25.6416039674131,"within range"
"36","E09",0.303,"43",1,"Ok",19.9451142904186,19.9451142904186,"within range"
"37","E10",0.466,"43 Spike",1,"Ok",34.9213694089686,34.9213694089686,"within range"
"38","E11",0.419,"43 Spike",1,"Ok",30.6030627183437,30.6030627183437,"within range"
"39","E12",0.375,"43 Spike",1,"Ok",26.5603926249928,26.5603926249928,"within range"
"40","F04",0.06,"118",1,"Ok",-2.38145008876925,0,"bdl"
"41","F05",0.061,"118",1,"Ok",-2.28957122301128,0,"bdl"
"42","F06",0.062,"118",1,"Ok",-2.1976923572533,0,"bdl"
"43","F07",0.217,"44",25,"Ok",301.08829588082,301.08829588082,"within range"
"44","F08",0.205,"44",25,"Ok",273.524636153428,273.524636153428,"within range"
"45","F09",0.231,"44",25,"Ok",333.245898896111,333.245898896111,"within range"
"46","G04",1.263,"14",50,"Dilute",5407.44127090373,5407.44127090373,"within range"
"47","G05",1.228,"14",50,"Dilute",5246.65325582727,5246.65325582727,"within range"
"48","G06",1.225,"14",50,"Dilute",5232.87142596358,5232.87142596358,"within range"
"49","G07",0.163,"50",25,"Ok",177.051827107554,177.051827107554,"within range"
"50","G08",0.167,"50",25,"Ok",186.239713683352,186.239713683352,"within range"
"51","G09",0.171,"50",25,"Ok",195.427600259149,195.427600259149,"within range"
"52","G10",0.75,"114  x25 Dup",25,"Ok",1525.37418210584,1525.37418210584,"within range"
"53","G11",0.758,"114  x25 Dup",25,"Ok",1543.74995525743,1543.74995525743,"within range"
"54","G12",0.789,"114  x25 Dup",25,"Ok",1614.95607621986,1614.95607621986,"within range"
"55","H04",0.651,"108",25,"Ok",1297.97398935485,1297.97398935485,"within range"
"56","H05",0.565,"108",25,"Ok",1100.4344279752,1100.4344279752,"within range"
"57","H06",0.569,"108",25,"Ok",1109.622314551,1109.622314551,"within range"
"58","H07",0.88,"110",25,"Ok",1823.98049581925,1823.98049581925,"within range"
"59","H08",0.873,"110",25,"Ok",1807.90169431161,1807.90169431161,"within range"
"60","H09",0.834,"110",25,"Ok",1718.31980019758,1718.31980019758,"within range"
