"","IDs","H2S_mean","H2S_sd","H2S_cv","H2S_flag","Dilution","H2S_cv_flag"
"1","75",1.67476616849182,0.0659021731292592,3.93500742784925,"within range",1,"within range"
"2","77",23.6699064673967,1.91116302074851,8.0742314017209,"within range",1,"within range"
"3","80",0.416569583596832,0.527217385034073,126.561661195199,"within range",1,"High CV"
"4","72",0,0,0,"bdl",1,"within range"
"5","74 Spike",61.8818027493925,3.49281517585073,5.64433326222873,"within range",1,"within range"
"6","80 Dup",0,0,0,"bdl",1,"within range"
"7","65 Spike",2.9329627533868,0.131804346258518,4.49389771848684,"within range",1,"within range"
"8","73",0,0,0,"bdl",1,"within range"
"9","73 Dup",0.323369836567573,0,0,"within range",1,"within range"
"10","74",54.286023366508,5.27217385034073,9.71184390270411,"within range",1,"within range"
"11","17",4422.96319719513,292.554189018691,6.61443869133293,"within range",50,"within range"
"12","65",0,0,0,"bdl",1,"within range"
"13","66",0,0,0,"bdl",1,"within range"
"14","67",0,0,0,"bdl",1,"within range"
"15","68",0,0,0,"bdl",1,"within range"
"16","70",0,0,0,"bdl",1,"within range"
"17","71",0,0,0,"bdl",1,"within range"
"18","76",0,0,0,"bdl",1,"within range"
"19","78",0,0,0,"bdl",1,"within range"
"20","79",0,0,0,"bdl",1,"within range"
