"","IDs","H2S_info"
"1","32","within range"
"2","32","within range"
"3","32","within range"
"4","40","within range"
"5","40","within range"
"6","40","bdl"
"7","46","within range"
"8","46","within range"
"9","46","within range"
"10","33","within range"
"11","33","within range"
"12","33","within range"
"13","47","within range"
"14","47","within range"
"15","47","within range"
"16","34","within range"
"17","34","within range"
"18","34","within range"
"19","40 Dup","within range"
"20","40 Dup","within range"
"21","40 Dup","bdl"
"22","48","bdl"
"23","48","bdl"
"24","48","within range"
"25","35","within range"
"26","35","within range"
"27","35","within range"
"28","32 Spike","within range"
"29","32 Spike","within range"
"30","32 Spike","within range"
"31","36","within range"
"32","36","within range"
"33","36","within range"
"34","41","within range"
"35","41","within range"
"36","41","within range"
"37","41 Spike","within range"
"38","41 Spike","within range"
"39","41 Spike","within range"
"40","37","within range"
"41","37","within range"
"42","37","within range"
"43","42","within range"
"44","42","within range"
"45","42","within range"
"46","38","within range"
"47","38","within range"
"48","38","within range"
"49","43","within range"
"50","43","within range"
"51","43","within range"
"52","48 Dup","bdl"
"53","48 Dup","bdl"
"54","48 Dup","bdl"
"55","39","within range"
"56","39","within range"
"57","39","within range"
"58","44","bdl"
"59","44","bdl"
"60","44","bdl"
