Abs1,1,2,3,4,5,6,7,8,9,10,11,12
A,0.2,0.212,0.173,0.038,0.039,0.039,0.042,0.041,0.041,0.038,0.039,0.038
B,0.06,0.061,0.058,0.04,0.041,0.04,0.046,0.045,0.044,0.048,0.047,0.046
C,0.039,0.039,0.039,0.039,0.039,0.038,0.043,0.042,0.044,0.046,0.048,0.043
D,0.038,0.037,0.037,0.039,0.04,0.039,0.043,0.043,0.043,0.676,0.73,0.454
E,0.041,0.04,0.039,0.039,0.039,0.039,0.048,0.047,0.048,0.046,0.045,0.046
F,0.038,0.038,0.038,0.049,0.05,0.05,0.233,0.205,0.285,0.045,0.044,0.045
G,0.037,0.037,0.047,0.041,0.041,0.041,0.038,0.038,0.038,0.081,0.08,0.08
H,0.038,0.037,0.037,1.144,0.787,0.928,0.038,0.038,0.039,0.04,0.04,0.04
,,,,,,,,,,,,
Abs2,1,2,3,4,5,6,7,8,9,10,11,12
A,0.311,0.326,0.313,0.042,0.043,0.043,0.047,0.045,0.045,0.04,0.042,0.041
B,0.08,0.081,0.079,0.061,0.061,0.059,0.048,0.047,0.047,0.055,0.055,0.057
C,0.041,0.041,0.041,0.058,0.057,0.055,0.045,0.045,0.046,0.057,0.058,0.062
D,0.038,0.038,0.038,0.053,0.05,0.05,0.045,0.045,0.045,1.304,1.258,1.237
E,0.192,0.173,0.197,0.055,0.056,0.054,0.048,0.048,0.048,0.104,0.11,0.109
F,0.059,0.062,0.061,0.053,0.052,0.052,0.274,0.254,0.285,0.131,0.147,0.127
G,0.04,0.039,0.04,0.043,0.043,0.044,0.041,0.041,0.041,1.549,0.975,1.348
H,0.039,0.038,0.039,1.57,1.55,1.536,0.041,0.041,0.043,0.066,0.065,0.066
,,,,,,,,,,,,
IDs,1,2,3,4,5,6,7,8,9,10,11,12
A,60 uM Fe_2 A,60 uM Fe_2 A,60 uM Fe_2 A,205,205,205,221,221,221,227,227,227
B,9 uM Fe_2 E,9 uM Fe_2 E,9 uM Fe_2 E,206,206,206,222,222,222,228,228,228
C,0.6 uM Fe_2 H,0.6 uM Fe_2 H,0.6 uM Fe_2 H,207,207,207,223,223,223,229,229,229
D,0.5 M HCl,0.5 M HCl,0.5 M HCl,208,208,208,223 dup,224 dup,225 dup,230,230,230
E,60 uM Fe_3 A,60 uM Fe_3 A,60 uM Fe_3 A,209,209,209,224,225,226,231,231,231
F,9 uM Fe_3 E,9 uM Fe_3 E,9 uM Fe_3 E,218,218,218,224 spk,225 spk,226 spk,232,232,232
G,0.6 uM Fe_3 H,0.6 uM Fe_3 H,0.6 uM Fe_3 H,219,219,219,225,225,225,233,233,233
H,0.5 M HCl,0.5 M HCl,0.5 M HCl,220,220,220,226,226,226,234,234,234
,,,,,,,,,,,,
Dilutions,1,2,3,4,5,6,7,8,9,10,11,12
A,1,1,1,1,1,1,1,1,1,1,1,1
B,1,1,1,8,8,8,1,1,1,1,1,1
C,1,1,1,8,8,8,1,1,1,1,1,1
D,1,1,1,8,8,8,1,1,1,1,1,1
E,1,1,1,8,8,8,1,1,1,1,1,1
F,1,1,1,1,1,1,1,1,1,1,1,1
G,1,1,1,1,1,1,1,1,1,1,1,1
H,1,1,1,1,1,1,1,1,1,1,1,1
