Abs1,1,2,3,4,5,6,7,8,9,10,11,12
A,0.215,0.192,0.172,1.02,1.23,0.976,0.039,0.039,0.038,0.494,0.455,0.499
B,0.059,0.061,0.058,0.041,0.044,0.046,0.062,0.057,0.059,0.038,0.038,0.037
C,0.039,0.039,0.039,0.043,0.041,0.041,0.04,0.041,0.039,0.067,0.064,0.064
D,0.038,0.037,0.037,0.152,0.15,0.124,0.039,0.039,0.04,0.042,0.042,0.042
E,0.04,0.04,0.04,0.048,0.05,0.049,0.038,0.038,0.037,0.081,0.081,0.077
F,0.038,0.038,0.038,0.092,0.086,0.091,0.037,0.037,0.038,0.083,0.074,0.075
G,0.037,0.037,0.037,1.037,1.231,0.955,0.231,0.343,0.373,0.088,0.087,0.083
H,0.037,0.038,0.038,0.039,0.038,0.038,0.395,0.464,0.487,0.064,0.065,0.066
,,,,,,,,,,,,
Abs2,1,2,3,4,5,6,7,8,9,10,11,12
A,0.321,0.319,0.299,1.56,1.537,1.536,0.043,0.043,0.042,0.577,0.546,0.546
B,0.08,0.08,0.078,0.284,0.304,0.324,0.062,0.063,0.06,0.069,0.086,0.09
C,0.041,0.041,0.04,0.204,0.214,0.185,0.055,0.066,0.066,0.335,0.282,0.301
D,0.039,0.038,0.038,0.62,0.661,0.575,0.061,0.063,0.064,0.485,0.335,0.477
E,0.172,0.159,0.167,0.399,0.341,0.369,0.105,0.105,0.196,0.083,0.082,0.075
F,0.062,0.063,0.063,0.848,0.677,0.68,0.104,0.119,0.105,0.083,0.064,0.07
G,0.04,0.04,0.04,1.668,1.649,1.63,0.467,0.429,0.446,0.091,0.082,0.086
H,0.038,0.038,0.038,0.046,0.042,0.041,0.723,0.609,0.645,0.067,0.065,0.07
,,,,,,,,,,,,
IDs,1,2,3,4,5,6,7,8,9,10,11,12
A,60 uM Fe_2 A,60 uM Fe_2 A,60 uM Fe_2 A,138,138,138,146,146,146,152,152,152
B,9 uM Fe_2 E,9 uM Fe_2 E,9 uM Fe_2 E,139,139,139,147,147,147,153,153,153
C,0.6 uM Fe_2 H,0.6 uM Fe_2 H,0.6 uM Fe_2 H,140,140,140,148,148,148,154,154,154
D,0.5 M HCl,0.5 M HCl,0.5 M HCl,141,141,141,148 dup,148 dup,148 dup,155,155,155
E,60 uM Fe_3 A,60 uM Fe_3 A,60 uM Fe_3 A,142,142,142,149,149,149,156,156,156
F,9 uM Fe_3 E,9 uM Fe_3 E,9 uM Fe_3 E,143,143,143,149 dup,149 dup,149 dup,157,157,157
G,0.6 uM Fe_3 H,0.6 uM Fe_3 H,0.6 uM Fe_3 H,144,144,144,150,150,150,158,158,158
H,0.5 M HCl,0.5 M HCl,0.5 M HCl,145,145,145,151,151,151,159,159,159
,,,,,,,,,,,,
Dilutions,1,2,3,4,5,6,7,8,9,10,11,12
A,1,1,1,8,8,8,1,1,1,8,8,8
B,1,1,1,8,8,8,1,1,1,8,8,8
C,1,1,1,8,8,8,1,1,1,8,8,8
D,1,1,1,8,8,8,1,1,1,8,8,8
E,1,1,1,8,8,8,8,8,8,1,1,1
F,1,1,1,8,8,8,8,8,8,1,1,1
G,1,1,1,8,8,8,8,8,8,1,1,1
H,1,1,1,1,1,1,8,8,8,1,1,1
