"","Project","Region","Site","Zone","Replicate","Depth_cm","Sample_ID","Year","Month","Day","Time","Time_Zone","SO4_ppm","SO4_Conc_mM","SO4_Conc_flag","SO4_QAQC_flag","Cl_ppm","Cl_Conc_mM","Cl_Conc_flag","Cl_QAQC_flag","salinity","Analysis_rundate","Run_notes","Field_notes"
"1","COMPASS: Synoptic","CB","GCW","UP","A",20,"GCW_202304_UP_LYSA_20CM",2023,4,19,NA,NA,8.2441,0.257145976294448,NA,NA,0.0017,4.79548660084626e-05,NA,NA,2.90719e-05,NA,NA,""
"2","COMPASS: Synoptic","CB","GCW","TR","B",20,"GCW_202304_TR_LYSB_20CM",2023,4,19,NA,NA,24.9499,0.778225202744853,NA,NA,73.6636,2.07795768688293,NA,NA,0.1331361252,NA,NA,""
"3","COMPASS: Synoptic","CB","GCW","TR","B",45,"GCW_202304_TR_LYSB_45CM",2023,4,19,NA,NA,15.1401,0.472242669993762,NA,NA,101.5811,2.86547531734838,NA,NA,0.1835830477,NA,NA,""
"4","COMPASS: Synoptic","CB","GCW","TR","C",10,"GCW_202304_TR_LYSC_10CM",2023,4,19,NA,NA,30.0811,0.938275109170306,NA,NA,92.321,2.60425952045134,NA,NA,0.166850047,NA,NA,""
"5","COMPASS: Synoptic","CB","GCW","TR","C",20,"GCW_202304_TR_LYSC_20CM",2023,4,19,NA,NA,20.6465,0.643995633187773,NA,NA,85.2878,2.40586177715092,NA,NA,0.1541410546,NA,NA,""
"6","COMPASS: Synoptic","CB","GCW","TR","C",45,"GCW_202304_TR_LYSC_45CM",2023,4,19,NA,NA,35.4017,1.10423268870867,NA,NA,135.0146,3.80859238363893,NA,NA,0.2439973822,NA,NA,""
"7","COMPASS: Synoptic","CB","GCW","WC","A",10,"GCW_202304_WC_LYSA_10CM",2023,4,19,NA,NA,763.3848,23.8111291328759,NA,NA,7149.4783,201.677808180536,NA,NA,12.9191332881,NA,NA,""
"8","COMPASS: Synoptic","CB","GCW","WC","A",20,"GCW_202304_WC_LYSA_20CM",2023,4,19,NA,NA,744.1903,23.212423580786,NA,NA,7533.2472,212.503447108604,NA,NA,13.6126036904,NA,NA,""
"9","COMPASS: Synoptic","CB","GCW","WC","A",45,"GCW_202304_WC_LYSA_45CM",2023,4,19,NA,NA,467.4926,14.5818028696195,NA,NA,8337.7609,235.197768688293,NA,NA,15.0663599463,NA,NA,""
"10","COMPASS: Synoptic","CB","GCW","WC","B",10,"GCW_202304_WC_LYSB_10CM",2023,4,19,NA,NA,716.6762,22.3542170929507,NA,NA,6894.7553,194.492392101551,NA,NA,12.4588488271,NA,NA,""
"11","COMPASS: Synoptic","CB","GCW","WC","B",20,"GCW_202304_WC_LYSB_20CM",2023,4,19,NA,NA,676.0206,21.0861072988147,NA,NA,6859.3584,193.493889985896,NA,NA,12.3948866288,NA,NA,""
"12","COMPASS: Synoptic","CB","GCW","UP","B",10,"GCW_202304_UP_LYSB_10CM",2023,4,19,NA,NA,12.3025,0.383733624454148,NA,NA,0,0,NA,NA,2.6e-05,NA,NA,""
"13","COMPASS: Synoptic","CB","GCW","WC","B",45,"GCW_202304_WC_LYSB_45CM",2023,4,19,NA,NA,440.9736,13.7546350592639,NA,NA,7417.9642,209.251458392102,NA,NA,13.4042873094,NA,NA,""
"14","COMPASS: Synoptic","CB","GCW","WC","C",10,"GCW_202304_WC_LYSC_10CM",2023,4,19,NA,NA,819.6518,25.5661821584529,NA,NA,7487.4238,211.21082651622,NA,NA,13.5298008066,NA,NA,""
