[Header]	
System	TOCL TNML ASIL 9ML	
S/W Version	1.00	
User	cp	
Date/Time	12/17/2025 12:41:07 PM	

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Origin	Cal. Curve	Manual Dilution	Notes	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Conc.	Result	Excluded	Inj. Vol.	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20240714.2025_07_14_14_07_06.cal	1.00		7/27/2025 12:02:06 PM	1	1	NPOC	3.222	0.07965	NPOC:-0.06081mg/L TN:0.03750mg/L	1	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20240714.2025_07_14_14_07_06.cal	1.00		7/27/2025 12:06:29 PM	1	2	NPOC	2.739	-0.04763	NPOC:-0.06081mg/L TN:0.03750mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20240714.2025_07_14_14_07_06.cal	1.00		7/27/2025 12:10:18 PM	1	3	NPOC	2.744	-0.04632	NPOC:-0.06081mg/L TN:0.03750mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20240714.2025_07_14_14_07_06.cal	1.00		7/27/2025 12:15:50 PM	1	4	NPOC	2.925	0.00138	NPOC:-0.06081mg/L TN:0.03750mg/L	1	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20240714.2025_07_14_14_07_06.cal	1.00		7/27/2025 12:19:39 PM	1	5	NPOC	2.584	-0.08848	NPOC:-0.06081mg/L TN:0.03750mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20250714.2025_07_14_17_23_35.cal	1.00		7/27/2025 12:02:06 PM	1	1	TN	0.07440	0.02250	NPOC:-0.06081mg/L TN:0.03750mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20250714.2025_07_14_17_23_35.cal	1.00		7/27/2025 12:06:29 PM	1	2	TN	0.000	0.01419	NPOC:-0.06081mg/L TN:0.03750mg/L	1	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20250714.2025_07_14_17_23_35.cal	1.00		7/27/2025 12:10:18 PM	1	3	TN	0.2802	0.04548	NPOC:-0.06081mg/L TN:0.03750mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20250714.2025_07_14_17_23_35.cal	1.00		7/27/2025 12:15:50 PM	1	4	TN	1.887	0.2249	NPOC:-0.06081mg/L TN:0.03750mg/L	1	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20250714.2025_07_14_17_23_35.cal	1.00		7/27/2025 12:19:39 PM	1	5	TN	0.2718	0.04454	NPOC:-0.06081mg/L TN:0.03750mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20240714.2025_07_14_14_07_06.cal	1.00		7/27/2025 12:28:20 PM	1	1	NPOC	2.334	-0.1544	NPOC:0.00077mg/L TN:0.03129mg/L	1	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20240714.2025_07_14_14_07_06.cal	1.00		7/27/2025 12:32:10 PM	1	2	NPOC	3.035	0.03037	NPOC:0.00077mg/L TN:0.03129mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20240714.2025_07_14_14_07_06.cal	1.00		7/27/2025 12:35:59 PM	1	3	NPOC	2.795	-0.03288	NPOC:0.00077mg/L TN:0.03129mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20240714.2025_07_14_14_07_06.cal	1.00		7/27/2025 12:40:06 PM	1	4	NPOC	3.271	0.09256	NPOC:0.00077mg/L TN:0.03129mg/L	1	50	
