"","IDs","H2S_mean","H2S_sd","H2S_cv","H2S_flag","QAQC_flag","Dilution","H2S_cv_flag","Top_STD"
"1","14",1100.15929075455,56.1462508180866,5.10346558811302,"adl","",5,"Within range",100
"2","15",1102.66874078363,39.5218093969162,3.58419604502704,"adl","",5,"Within range",100
"3","16",1012.32853973685,40.5723165481229,4.00782107345006,"adl","",5,"Within range",100
"4","16 Dup",1092.63094066732,18.2419226752801,1.66954110453242,"adl","",5,"Within range",100
