Abs1,1,2,3,4,5,6,7,8,9,10,11,12,
A,0.048,0.053,0.053,0.058,0.059,0.059,0.053,0.057,0.054,0.06,0.057,0.058,670
B,0.157,0.155,0.163,0.982,1.033,1.014,0.055,0.054,0.053,0.058,0.059,0.059,670
C,0.274,0.289,0.291,1.3,1.434,1.227,0.053,0.055,0.059,0.065,0.065,0.072,670
D,0.681,0.759,0.685,0.058,0.059,0.059,0.052,0.056,0.054,0.059,0.059,0.058,670
E,0.925,0.955,0.926,0.899,0.919,0.925,0.063,0.06,0.055,0.064,0.064,0.063,670
F,1.571,1.642,1.531,1.608,1.571,1.623,0.056,0.057,0.055,0.069,0.069,0.067,670
G,1.583,1.624,1.485,0.055,0.058,0.057,0.371,0.385,0.362,0.063,0.062,0.066,670
H,1.478,1.621,1.688,0.05,0.053,0.053,0.061,0.058,0.06,0.061,0.056,0.059,670
,,,,,,,,,,,,,
IDs,1,2,3,4,5,6,7,8,9,10,11,12,
A,Std 0,Std 0,Std 0,MSM_WC_LysA_45cm,MSM_WC_LysA_45cm,MSM_WC_LysA_45cm,MSM_SW_B,MSM_SW_B,MSM_SW_B,GWI_UP_LysB_45cm,GWI_UP_LysB_45cm,GWI_UP_LysB_45cm,
B,Std 1,Std 1,Std 1,MSM_WC_LysB_10cm,MSM_WC_LysB_10cm,MSM_WC_LysB_10cm,MSM_SW_C,MSM_SW_C,MSM_SW_C,GWI_UP_LysC_10cm,GWI_UP_LysC_10cm,GWI_UP_LysC_10cm,
C,Std 2,Std 2,Std 2,MSM_WC_LysB_20cm,MSM_WC_LysB_20cm,MSM_WC_LysB_20cm,GWI_UP_LysA_20cm,GWI_UP_LysA_20cm,GWI_UP_LysA_20cm,GWI_UP_LysC_20cm,GWI_UP_LysC_20cm,GWI_UP_LysC_20cm,
D,Std 3,Std 3,Std 3,MSM_WC_LysB_45cm,MSM_WC_LysB_45cm,MSM_WC_LysB_45cm,GWI_UP_LysA_45cm,GWI_UP_LysA_45cm,GWI_UP_LysA_45cm,GWI_UP_LysC_45cm,GWI_UP_LysC_45cm,GWI_UP_LysC_45cm,
E,Std 4,Std 4,Std 4,MSM_WC_LysC_10cm,MSM_WC_LysC_10cm,MSM_WC_LysC_10cm,GWI_UP_LysA_45cm_dup,GWI_UP_LysA_45cm_dup,GWI_UP_LysA_45cm_dup,GWI_TR_LysA_10cm,GWI_TR_LysA_10cm,GWI_TR_LysA_10cm,
F,Std 5,Std 5,Std 5,MSM_WC_LysC_20cm,MSM_WC_LysC_20cm,MSM_WC_LysC_20cm,GWI_UP_LysB_10cm,GWI_UP_LysB_10cm,GWI_UP_LysB_10cm,GWI_TR_LysA_20cm,GWI_TR_LysA_20cm,GWI_TR_LysA_20cm,
G,MC: 10ppt,MC: 10ppt,MC: 10ppt,MSM_WC_LysC_45cm,MSM_WC_LysC_45cm,MSM_WC_LysC_45cm,GWI_UP_LysB_10cm_spk,GWI_UP_LysB_10cm_spk,GWI_UP_LysB_10cm_spk,GWI_TR_LysA_45cm,GWI_TR_LysA_45cm,GWI_TR_LysA_45cm,
H,MC: 20ppt,MC: 20ppt,MC: 20ppt,MSM_SW_A,MSM_SW_A,MSM_SW_A,GWI_UP_LysB_20cm,GWI_UP_LysB_20cm,GWI_UP_LysB_20cm,GWI_TR_LysB_10cm,GWI_TR_LysB_10cm,GWI_TR_LysB_10cm,
,,,,,,,,,,,,,
Dilutions,1,2,3,4,5,6,7,8,9,10,11,12,
A,1,1,1,10,10,10,1,1,1,1,1,1,
B,1,1,1,10,10,10,1,1,1,1,1,1,
C,1,1,1,10,10,10,1,1,1,1,1,1,
D,1,1,1,10,10,10,1,1,1,1,1,1,
E,1,1,1,10,10,10,1,1,1,1,1,1,
F,1,1,1,10,10,10,1,1,1,1,1,1,
G,1,1,1,10,10,10,1,1,1,1,1,1,
H,1,1,1,1,1,1,1,1,1,1,1,1,
