Plate6,1,2,3,4,5,6,7,8,9,10,11,12,
A,0.049,0.051,0.05,0.056,0.064,0.057,0.06,0.063,0.059,0.072,0.071,0.076,670
B,0.145,0.142,0.123,0.057,0.058,0.055,1.567,1.38,1.464,2.579,2.592,2.452,670
C,0.212,0.247,0.231,0.061,0.06,0.058,2.389,1.981,2.021,2.385,2.214,2.318,670
D,0.459,0.531,0.511,0.057,0.057,0.059,1.999,2.111,2.06,0.066,0.066,0.066,670
E,1.03,0.839,0.837,0.051,0.065,0.052,2.799,2.574,2.384,0.1,0.112,0.109,670
F,1.347,1.486,1.331,0.056,0.06,0.059,2.77,2.57,2.41,0.129,0.124,0.127,670
G,1.433,1.321,1.36,0.055,0.056,0.053,1.133,1.097,1.208,0.082,0.08,0.077,670
H,1.372,1.321,1.407,0.058,0.061,0.063,1.384,1.485,1.572,0.091,0.091,0.091,670
,,,,,,,,,,,,,
IDs,1,2,3,4,5,6,7,8,9,10,11,12,
A,Std 0,Std 0,Std 0,MSM_RHZ_UP_SF6,MSM_RHZ_UP_SF6,MSM_RHZ_UP_SF6,MSM_RHZ_TR_SF8,MSM_RHZ_TR_SF8,MSM_RHZ_TR_SF8,MSM_RHZ_WC_SipA,MSM_RHZ_WC_SipA,MSM_RHZ_WC_SipA,
B,Std 1,Std 1,Std 1,MSM_RHZ_TR_SF1,MSM_RHZ_TR_SF1,MSM_RHZ_TR_SF1,MSM_RHZ_WC_Col1,MSM_RHZ_WC_Col1,MSM_RHZ_WC_Col1,MSM_RHZ_WC_SipB,MSM_RHZ_WC_SipB,MSM_RHZ_WC_SipB,
C,Std 2,Std 2,Std 2,MSM_RHZ_TR_SF2,MSM_RHZ_TR_SF2,MSM_RHZ_TR_SF2,MSM_RHZ_WC_Col2,MSM_RHZ_WC_Col2,MSM_RHZ_WC_Col2,MSM_RHZ_WC_SipC,MSM_RHZ_WC_SipC,MSM_RHZ_WC_SipC,
D,Std 3,Std 3,Std 3,MSM_RHZ_TR_SF3,MSM_RHZ_TR_SF3,MSM_RHZ_TR_SF3,MSM_RHZ_WC_Col3,MSM_RHZ_WC_Col3,MSM_RHZ_WC_Col3,MSM_PPR_UP_1,MSM_PPR_UP_1,MSM_PPR_UP_1,
E,Std 4,Std 4,Std 4,MSM_RHZ_TR_SF4,MSM_RHZ_TR_SF4,MSM_RHZ_TR_SF4,MSM_RHZ_WC_Col4,MSM_RHZ_WC_Col4,MSM_RHZ_WC_Col4,MSM_PPR_UP_2,MSM_PPR_UP_2,MSM_PPR_UP_2,
F,Std 5,Std 5,Std 5,MSM_RHZ_TR_SF5,MSM_RHZ_TR_SF5,MSM_RHZ_TR_SF5,MSM_RHZ_WC_Col4_dup,MSM_RHZ_WC_Col4_dup,MSM_RHZ_WC_Col4_dup,MSM_PPR_UP_3,MSM_PPR_UP_3,MSM_PPR_UP_3,
G,MC: 10ppt,MC: 10ppt,MC: 10ppt,MSM_RHZ_TR_SF6,MSM_RHZ_TR_SF6,MSM_RHZ_TR_SF6,MSM_RHZ_WC_Col5,MSM_RHZ_WC_Col5,MSM_RHZ_WC_Col5,MSM_PPR_UP_4,MSM_PPR_UP_4,MSM_PPR_UP_4,
H,MC: 20ppt,MC: 20ppt,MC: 20ppt,MSM_RHZ_TR_SF7,MSM_RHZ_TR_SF7,MSM_RHZ_TR_SF7,MSM_RHZ_WC_Col5_spk,MSM_RHZ_WC_Col5_spk,MSM_RHZ_WC_Col5_spk,MSM_PPR_UP_5,MSM_PPR_UP_5,MSM_PPR_UP_5,
,,,,,,,,,,,,,
Dilutions,1,2,3,4,5,6,7,8,9,10,11,12,
A,1,1,1,1,1,1,1,1,1,1,1,1,
B,1,1,1,1,1,1,1,1,1,1,1,1,
C,1,1,1,1,1,1,1,1,1,1,1,1,
D,1,1,1,1,1,1,1,1,1,1,1,1,
E,1,1,1,1,1,1,1,1,1,1,1,1,
F,1,1,1,1,1,1,1,1,1,1,1,1,
G,1,1,1,1,1,1,1,1,1,1,1,1,
H,1,1,1,1,1,1,1,1,1,1,1,1,
