Abs1,1,2,3,4,5,6,7,8,9,10,11,12
A,0.05,0.049,0.049,1.3,1.202,1.279,0.061,0.062,0.062,0.053,0.054,0.053
B,0.177,0.143,0.118,0.12,0.112,0.118,0.052,0.05,0.05,1.88,1.679,1.582
C,0.262,0.215,0.285,0.055,0.059,0.051,0.055,0.053,0.055,1.645,1.648,1.515
D,0.393,0.543,0.493,0.056,0.054,0.053,0.058,0.056,0.056,1.758,1.796,1.712
E,0.835,0.873,0.917,0.057,0.053,0.049,0.054,0.055,0.052,2.247,2.188,2.052
F,1.236,1.278,1.235,0.057,0.056,0.052,0.051,0.056,0.051,1.985,1.847,1.804
G,1.224,1.306,1.29,0.057,0.051,0.05,0.062,0.063,0.062,1.819,1.635,1.558
H,1.22,1.344,1.153,0.06,0.087,0.058,0.201,0.236,0.211,1.635,1.66,1.665
,,,,,,,,,,,,
IDs,1,2,3,4,5,6,7,8,9,10,11,12
A,Std 0,Std 0,Std 0,MSM_WC_LysC_20cm,MSM_WC_LysC_20cm,MSM_WC_LysC_20cm,GCW_TR_LysA_45cm,GCW_TR_LysA_45cm,GCW_TR_LysA_45cm,GCW_TR_LysC_45cm,GCW_TR_LysC_45cm,GCW_TR_LysC_45cm
B,Std 1,Std 1,Std 1,MSM_WC_LysC_45cm,MSM_WC_LysC_45cm,MSM_WC_LysC_45cm,GCW_TR_LysB_10cm,GCW_TR_LysB_10cm,GCW_TR_LysB_10cm,GCW_WC_LysA_10cm,GCW_WC_LysA_10cm,GCW_WC_LysA_10cm
C,Std 2,Std 2,Std 2,MSM_SW_A,MSM_SW_A,MSM_SW_A,GCW_TR_LysB_20cm,GCW_TR_LysB_20cm,GCW_TR_LysB_20cm,GCW_WC_LysA_20cm,GCW_WC_LysA_20cm,GCW_WC_LysA_20cm
D,Std 3,Std 3,Std 3,MSM_SW_B,MSM_SW_B,MSM_SW_B,GCW_TR_LysB_45cm,GCW_TR_LysB_45cm,GCW_TR_LysB_45cm,GCW_WC_LysA_45cm,GCW_WC_LysA_45cm,GCW_WC_LysA_45cm
E,Std 4,Std 4,Std 4,MSM_SW_C,MSM_SW_C,MSM_SW_C,GCW_TR_LysC_10cm,GCW_TR_LysC_10cm,GCW_TR_LysC_10cm,GCW_WC_LysB_10cm,GCW_WC_LysB_10cm,GCW_WC_LysB_10cm
F,Std 5,Std 5,Std 5,GCW_UP_LysA_20cm,GCW_UP_LysA_20cm,GCW_UP_LysA_20cm,GCW_TR_LysC_10cm_dup,GCW_TR_LysC_10cm_dup,GCW_TR_LysC_10cm_dup,GCW_WC_LysB_20cm,GCW_WC_LysB_20cm,GCW_WC_LysB_20cm
G,MC: 10ppt,MC: 10ppt,MC: 10ppt,GCW_UP_LysB_20cm,GCW_UP_LysB_20cm,GCW_UP_LysB_20cm,GCW_TR_LysC_20cm,GCW_TR_LysC_20cm,GCW_TR_LysC_20cm,GCW_WC_LysB_45cm,GCW_WC_LysB_45cm,GCW_WC_LysB_45cm
H,MC: 20ppt,MC: 20ppt,MC: 20ppt,GCW_TR_LysA_20cm,GCW_TR_LysA_20cm,GCW_TR_LysA_20cm,GCW_TR_LysC_20cm_spk,GCW_TR_LysC_20cm_spk,GCW_TR_LysC_20cm_spk,GCW_WC_LysC_10cm,GCW_WC_LysC_10cm,GCW_WC_LysC_10cm
,,,,,,,,,,,,
Dilutions,1,2,3,4,5,6,7,8,9,10,11,12
A,1,1,1,25,25,25,1,1,1,1,1,1
B,1,1,1,1,1,1,1,1,1,25,25,25
C,1,1,1,1,1,1,1,1,1,25,25,25
D,1,1,1,1,1,1,1,1,1,25,25,25
E,1,1,1,1,1,1,1,1,1,25,25,25
F,1,1,1,1,1,1,1,1,1,25,25,25
G,1,1,1,1,1,1,1,1,1,25,25,25
H,1,1,1,1,1,1,1,1,1,25,25,25
