Plate9,1,2,3,4,5,6,7,8,9,10,11,12,
A,0.05,0.05,0.049,0.056,0.055,0.056,1.16,1.001,0.967,0.611,0.608,0.595,670
B,0.131,0.142,0.115,0.078,0.081,0.077,0.832,0.841,0.774,0.477,0.428,0.431,670
C,0.278,0.228,0.236,0.059,0.059,0.059,0.222,0.215,0.197,0.125,0.205,0.173,670
D,0.455,0.447,0.482,0.069,0.068,0.067,0.328,0.297,0.321,0.047,0.044,0.044,670
E,0.823,0.795,0.826,0.165,0.166,0.169,0.227,0.229,0.213,0.045,0.044,0.045,670
F,1.389,1.279,1.325,0.055,0.054,0.057,0.235,0.224,0.229,0.045,0.045,0.045,670
G,1.445,1.39,1.411,0.057,0.057,0.057,0.592,0.55,0.527,0.044,0.045,0.045,670
H,1.413,1.354,1.332,0.163,0.05,0.118,0.803,0.701,0.829,0.044,0.045,0.046,670
,,,,,,,,,,,,,
IDs,1,2,3,4,5,6,7,8,9,10,11,12,
A,Std 0,Std 0,Std 0,MSM_UP_LysC_10cm,MSM_UP_LysC_10cm,MSM_UP_LysC_10cm,MSM_WC_LysC_10cm,MSM_WC_LysC_10cm,MSM_WC_LysC_10cm,MSM_RHZ_WC_SipB,MSM_RHZ_WC_SipB,MSM_RHZ_WC_SipB,
B,Std 1,Std 1,Std 1,MSM_UP_LysC_20cm,MSM_UP_LysC_20cm,MSM_UP_LysC_20cm,MSM_WC_LysC_20cm,MSM_WC_LysC_20cm,MSM_WC_LysC_20cm,MSM_RHZ_WC_SipC,MSM_RHZ_WC_SipC,MSM_RHZ_WC_SipC,
C,Std 2,Std 2,Std 2,MSM_UP_LysC_45cm,MSM_UP_LysC_45cm,MSM_UP_LysC_45cm,MSM_RHZ_WC_Col1,MSM_RHZ_WC_Col1,MSM_RHZ_WC_Col1,NA,NA,NA,
D,Std 3,Std 3,Std 3,MSM_TR_LysA_10cm,MSM_TR_LysA_10cm,MSM_TR_LysA_10cm,MSM_RHZ_WC_Col2,MSM_RHZ_WC_Col2,MSM_RHZ_WC_Col2,NA,NA,NA,
E,Std 4,Std 4,Std 4,MSM_TR_LysA_20cm,MSM_TR_LysA_20cm,MSM_TR_LysA_20cm,MSM_RHZ_WC_Col3,MSM_RHZ_WC_Col3,MSM_RHZ_WC_Col3,NA,NA,NA,
F,Std 5,Std 5,Std 5,MSM_UP_LysB_45cm,MSM_UP_LysB_45cm,MSM_UP_LysB_45cm,MSM_RHZ_WC_Col3_dup,MSM_RHZ_WC_Col3_dup,MSM_RHZ_WC_Col3_dup,NA,NA,NA,
G,MC: 10ppt,MC: 10ppt,MC: 10ppt,MSM_TR_LysA_45cm,MSM_TR_LysA_45cm,MSM_TR_LysA_45cm,MSM_RHZ_WC_Col4,MSM_RHZ_WC_Col4,MSM_RHZ_WC_Col4,NA,NA,NA,
H,MC: 20ppt,MC: 20ppt,MC: 20ppt,NA,NA,NA,MSM_RHZ_WC_Col4_spk,MSM_RHZ_WC_Col4_spk,MSM_RHZ_WC_Col4_spk,NA,NA,NA,
,,,,,,,,,,,,,
Dilutions,1,2,3,4,5,6,7,8,9,10,11,12,
A,1,1,1,1,1,1,25,25,25,25,25,25,
B,1,1,1,1,1,1,25,25,25,25,25,25,
C,1,1,1,1,1,1,25,25,25,1,1,1,
D,1,1,1,1,1,1,25,25,25,1,1,1,
E,1,1,1,1,1,1,25,25,25,1,1,1,
F,1,1,1,1,1,1,25,25,25,1,1,1,
G,1,1,1,1,1,1,25,25,25,1,1,1,
H,1,1,1,1,1,1,25,25,25,1,1,1,
