Plate 4,1,2,3,4,5,6,7,8,9,10,11,12,
A,0.054,0.053,0.049,0.078,0.08,0.076,1.849,1.852,1.922,0.055,0.052,0.054,670
B,0.121,0.218,0.127,0.271,0.306,0.281,0.07,0.065,0.066,0.055,0.05,0.051,670
C,0.195,0.243,0.252,0.211,0.239,0.27,0.881,0.9,0.934,0.06,0.057,0.057,670
D,0.474,0.561,0.568,0.05,0.051,0.05,2.04,2.07,1.912,0.067,0.067,0.068,670
E,0.736,0.786,0.788,0.324,0.333,0.315,0.06,0.053,0.053,0.053,0.055,0.057,670
F,1.626,1.33,1.629,1.11,1.114,1.029,0.364,0.417,0.422,0.052,0.054,0.055,670
G,1.427,1.286,1.455,0.389,0.357,0.355,2.058,1.708,1.885,0.055,0.055,0.064,670
H,1.273,1.373,1.539,0.564,0.527,0.52,0.054,0.058,0.054,0.182,0.294,0.728,670
,,,,,,,,,,,,,
IDs,1,2,3,4,5,6,7,8,9,10,11,12,
A,Std 0,Std 0,Std 0,SWH_UP_LysB_10cm,SWH_UP_LysB_10cm,SWH_UP_LysB_10cm,SWH_TR_LysA_45cm,SWH_TR_LysA_45cm,SWH_TR_LysA_45cm,GWI_UP_LysA_20cm,GWI_UP_LysA_20cm,GWI_UP_LysA_20cm,
B,Std 1,Std 1,Std 1,SWH_UP_LysB_20cm,SWH_UP_LysB_20cm,SWH_UP_LysB_20cm,SWH_TR_LysB_10cm,SWH_TR_LysB_10cm,SWH_TR_LysB_10cm,GWI_UP_LysA_45cm,GWI_UP_LysA_45cm,GWI_UP_LysA_45cm,
C,Std 2,Std 2,Std 2,SWH_UP_LysB_45cm,SWH_UP_LysB_45cm,SWH_UP_LysB_45cm,SWH_TR_LysB_20cm,SWH_TR_LysB_20cm,SWH_TR_LysB_20cm,GWI_UP_LysB_10cm,GWI_UP_LysB_10cm,GWI_UP_LysB_10cm,
D,Std 3,Std 3,Std 3,SWH_UP_LysC_10cm,SWH_UP_LysC_10cm,SWH_UP_LysC_10cm,SWH_TR_LysB_45cm,SWH_TR_LysB_45cm,SWH_TR_LysB_45cm,GWI_UP_LysB_20cm,GWI_UP_LysB_20cm,GWI_UP_LysB_20cm,
E,Std 4,Std 4,Std 4,SWH_UP_LysC_20cm,SWH_UP_LysC_20cm,SWH_UP_LysC_20cm,SWH_TR_LysC_10cm,SWH_TR_LysC_10cm,SWH_TR_LysC_10cm,GWI_UP_LysB_45cm,GWI_UP_LysB_45cm,GWI_UP_LysB_45cm,
F,Std 5,Std 5,Std 5,SWH_UP_LysC_45cm,SWH_UP_LysC_45cm,SWH_UP_LysC_45cm,SWH_TR_LysC_20cm,SWH_TR_LysC_20cm,SWH_TR_LysC_20cm,GWI_UP_LysB_45cm_dup,GWI_UP_LysB_45cm_dup,GWI_UP_LysB_45cm_dup,
G,MC: 10ppt,MC: 10ppt,MC: 10ppt,SWH_TR_LysA_10cm,SWH_TR_LysA_10cm,SWH_TR_LysA_10cm,SWH_TR_LysC_45cm,SWH_TR_LysC_45cm,SWH_TR_LysC_45cm,GWI_UP_LysC_10cm,GWI_UP_LysC_10cm,GWI_UP_LysC_10cm,
H,MC: 20ppt,MC: 20ppt,MC: 20ppt,SWH_TR_LysA_20cm,SWH_TR_LysA_20cm,SWH_TR_LysA_20cm,GWI_UP_LysA_10cm,GWI_UP_LysA_10cm,GWI_UP_LysA_10cm,GWI_UP_LysC_10cm_spk,GWI_UP_LysC_10cm_spk,GWI_UP_LysC_10cm_spk,
,,,,,,,,,,,,,
Dilutions,1,2,3,4,5,6,7,8,9,10,11,12,
A,1,1,1,1,1,1,1,1,1,1,1,1,
B,1,1,1,1,1,1,1,1,1,1,1,1,
C,1,1,1,1,1,1,1,1,1,1,1,1,
D,1,1,1,1,1,1,1,1,1,1,1,1,
E,1,1,1,1,1,1,1,1,1,1,1,1,
F,1,1,1,1,1,1,1,1,1,1,1,1,
G,1,1,1,1,1,1,1,1,1,1,1,1,
H,1,1,1,1,1,1,1,1,1,1,1,1,
