,1,2,3,4,5,6,7,8,9,10,11,12
A,0.058,0.055,0.058,0.186,0.16,0.174,0.15,0.167,0.162,0.59,0.579,0.531
B,0.126,0.138,0.171,0.06,0.063,0.06,0.055,0.053,0.053,0.058,0.056,0.056
C,0.346,0.356,0.346,0.058,0.059,0.062,0.193,0.17,0.174,0.539,0.41,0.398
D,0.509,0.65,0.762,0.066,0.069,0.07,0.453,0.44,0.43,0.707,0.735,0.604
E,0.881,1.02,1.064,0.059,0.064,0.063,0.37,0.306,0.296,0.118,0.121,0.117
F,1.837,1.655,1.528,0.064,0.066,0.068,0.32,0.302,0.299,1.194,1.163,1.145
G,1.601,1.56,1.675,0.131,0.13,0.117,0.176,0.174,0.169,1.092,1.62,1.346
H,1.889,1.543,1.954,0.105,0.096,0.106,0.606,0.766,0.558,1.59,1.36,1.374
,,,,,,,,,,,,
IDs,1,2,3,4,5,6,7,8,9,10,11,12
A,Std 0,Std 0,Std 0,MSM_UP_LysA_20cm,MSM_UP_LysA_20cm,MSM_UP_LysA_20cm,MSM_TR_LysA_20cm,MSM_TR_LysA_20cm,MSM_TR_LysA_20cm,MSM_TR_LysC_20cm,MSM_TR_LysC_20cm,MSM_TR_LysC_20cm
B,Std 1,Std 1,Std 1,MSM_UP_LysA_45cm,MSM_UP_LysA_45cm,MSM_UP_LysA_45cm,MSM_TR_LysA_45cm,MSM_TR_LysA_45cm,MSM_TR_LysA_45cm,MSM_TR_LysC_45cm,MSM_TR_LysC_45cm,MSM_TR_LysC_45cm
C,Std 2,Std 2,Std 2,MSM_UP_LysB_10cm,MSM_UP_LysB_10cm,MSM_UP_LysB_10cm,MSM_TR_LysB_10cm,MSM_TR_LysB_10cm,MSM_TR_LysB_10cm,MSM_WC_LysA_10cm,MSM_WC_LysA_10cm,MSM_WC_LysA_10cm
D,Std 3,Std 3,Std 3,MSM_UP_LysB_45cm,MSM_UP_LysB_45cm,MSM_UP_LysB_45cm,MSM_TR_LysB_20cm,MSM_TR_LysB_20cm,MSM_TR_LysB_20cm,MSM_WC_LysA_20cm,MSM_WC_LysA_20cm,MSM_WC_LysA_20cm
E,Std 4,Std 4,Std 4,MSM_UP_LysC_10cm,MSM_UP_LysC_10cm,MSM_UP_LysC_10cm,MSM_TR_LysB_45cm,MSM_TR_LysB_45cm,MSM_TR_LysB_45cm,MSM_WC_LysA_45cm,MSM_WC_LysA_45cm,MSM_WC_LysA_45cm
F,Std 5,Std 5,Std 5,MSM_UP_LysC_20cm,MSM_UP_LysC_20cm,MSM_UP_LysC_20cm,MSM_TR_LysB_45cm_dup,MSM_TR_LysB_45cm_dup,MSM_TR_LysB_45cm_dup,MSM_WC_LysB_10cm,MSM_WC_LysB_10cm,MSM_WC_LysB_10cm
G,MC: 10ppt,MC: 10ppt,MC: 10ppt,MSM_UP_LysC_45cm,MSM_UP_LysC_45cm,MSM_UP_LysC_45cm,MSM_TR_LysC_10cm,MSM_TR_LysC_10cm,MSM_TR_LysC_10cm,MSM_WC_LysB_20cm,MSM_WC_LysB_20cm,MSM_WC_LysB_20cm
H,MC: 20ppt,MC: 20ppt,MC: 20ppt,MSM_TR_LysA_10cm,MSM_TR_LysA_10cm,MSM_TR_LysA_10cm,MSM_TR_LysC_10cm_spk,MSM_TR_LysC_10cm_spk,MSM_TR_LysC_10cm_spk,MSM_WC_LysC_10cm,MSM_WC_LysC_10cm,MSM_WC_LysC_10cm
,,,,,,,,,,,,
Dilutions,1,2,3,4,5,6,7,8,9,10,11,12
A,1,1,1,1,1,1,1,1,1,1,1,1
B,1,1,1,1,1,1,1,1,1,1,1,1
C,1,1,1,1,1,1,1,1,1,25,25,25
D,1,1,1,1,1,1,1,1,1,25,25,25
E,1,1,1,1,1,1,1,1,1,1,1,1
F,1,1,1,1,1,1,1,1,1,25,25,25
G,1,1,1,1,1,1,1,1,1,25,25,25
H,1,1,1,1,1,1,1,1,1,25,25,25
