Abs1,1,2,3,4,5,6,7,8,9,10,11,12,
A,0.05,0.051,0.051,0.057,0.058,0.061,0.206,0.193,0.192,0.132,0.146,0.143,670
B,0.143,0.145,0.137,0.087,0.088,0.102,0.095,0.098,0.096,0.06,0.067,0.062,670
C,0.272,0.281,0.285,0.18,0.186,0.181,0.089,0.089,0.09,0.218,0.201,0.188,670
D,0.483,0.431,0.492,0.059,0.059,0.057,0.116,0.11,0.112,0.605,0.654,0.511,670
E,0.878,0.992,0.87,0.073,0.073,0.073,0.074,0.073,0.074,0.172,0.193,0.177,670
F,1.451,1.417,1.386,0.306,0.28,0.314,0.073,0.07,0.087,0.544,0.528,0.499,670
G,1.451,1.373,1.343,0.056,0.053,0.054,0.118,0.115,0.116,2.528,2.352,2.526,670
H,1.482,1.382,1.272,0.077,0.081,0.076,0.403,0.431,0.317,0.06,0.06,0.063,670
,,,,,,,,,,,,,
IDs,1,2,3,4,5,6,7,8,9,10,11,12,
A,Std 0,Std 0,Std 0,SWH_UPCON_LysA_10cm,SWH_UPCON_LysA_10cm,SWH_UPCON_LysA_10cm,SWH_UPCON_LysC_45cm,SWH_UPCON_LysC_45cm,SWH_UPCON_LysC_45cm,SWH_UP_LysB_45cm,SWH_UP_LysB_45cm,SWH_UP_LysB_45cm,
B,Std 1,Std 1,Std 1,SWH_UPCON_LysA_20cm,SWH_UPCON_LysA_20cm,SWH_UPCON_LysA_20cm,SWH_UP_LysA_10cm,SWH_UP_LysA_10cm,SWH_UP_LysA_10cm,SWH_UP_LysC_10cm,SWH_UP_LysC_10cm,SWH_UP_LysC_10cm,
C,Std 2,Std 2,Std 2,SWH_UPCON_LysA_45cm,SWH_UPCON_LysA_45cm,SWH_UPCON_LysA_45cm,SWH_UP_LysA_20cm,SWH_UP_LysA_20cm,SWH_UP_LysA_20cm,SWH_UP_LysC_20cm,SWH_UP_LysC_20cm,SWH_UP_LysC_20cm,
D,Std 3,Std 3,Std 3,SWH_UPCON_LysB_10cm,SWH_UPCON_LysB_10cm,SWH_UPCON_LysB_10cm,SWH_UP_LysA_45cm,SWH_UP_LysA_45cm,SWH_UP_LysA_45cm,SWH_UP_LysC_45cm,SWH_UP_LysC_45cm,SWH_UP_LysC_45cm,
E,Std 4,Std 4,Std 4,SWH_UPCON_LysB_20cm,SWH_UPCON_LysB_20cm,SWH_UPCON_LysB_20cm,SWH_UP_LysB_10cm,SWH_UP_LysB_10cm,SWH_UP_LysB_10cm,SWH_TR_LysA_10cm,SWH_TR_LysA_10cm,SWH_TR_LysA_10cm,
F,Std 5,Std 5,Std 5,SWH_UPCON_LysB_45cm,SWH_UPCON_LysB_45cm,SWH_UPCON_LysB_45cm,SWH_UP_LysB_10cm_dup,SWH_UP_LysB_10cm_dup,SWH_UP_LysB_10cm_dup,SWH_TR_LysA_20cm,SWH_TR_LysA_20cm,SWH_TR_LysA_20cm,
G,MC: 10ppt,MC: 10ppt,MC: 10ppt,SWH_UPCON_LysC_10cm,SWH_UPCON_LysC_10cm,SWH_UPCON_LysC_10cm,SWH_UP_LysB_20cm,SWH_UP_LysB_20cm,SWH_UP_LysB_20cm,SWH_TR_LysA_45cm_redo,SWH_TR_LysA_45cm_redo,SWH_TR_LysA_45cm_redo,
H,MC: 20ppt,MC: 20ppt,MC: 20ppt,SWH_UPCON_LysC_20cm,SWH_UPCON_LysC_20cm,SWH_UPCON_LysC_20cm,SWH_UP_LysB_20cm_spk,SWH_UP_LysB_20cm_spk,SWH_UP_LysB_20cm_spk,SWH_TR_LysB_10cm,SWH_TR_LysB_10cm,SWH_TR_LysB_10cm,
,,,,,,,,,,,,,
Dilutions,1,2,3,4,5,6,7,8,9,10,11,12,
A,1,1,1,1,1,1,1,1,1,1,1,1,
B,1,1,1,1,1,1,1,1,1,1,1,1,
C,1,1,1,1,1,1,1,1,1,1,1,1,
D,1,1,1,1,1,1,1,1,1,1,1,1,
E,1,1,1,1,1,1,1,1,1,1,1,1,
F,1,1,1,1,1,1,1,1,1,1,1,1,
G,1,1,1,1,1,1,1,1,1,1,1,1,
H,1,1,1,1,1,1,1,1,1,1,1,1,
