,1,2,3,4,5,6,7,8,9,10,11,12
A,0.055,0.055,0.054,0.052,0.055,0.054,0.062,0.059,0.06,1.252,1.077,1.088
B,0.183,0.261,0.159,0.054,0.051,0.055,0.066,0.065,0.063,1.001,0.929,0.721
C,0.373,0.314,0.408,0.054,0.054,0.053,0.107,0.113,0.103,0.32,0.289,0.212
D,0.682,0.819,0.816,0.06,0.061,0.06,0.373,0.335,0.322,1.453,1.369,1.281
E,1.322,1.266,1.072,0.062,0.062,0.063,1.069,0.752,1.173,0.283,0.045,0.044
F,1.781,1.923,1.919,0.056,0.057,0.059,0.79,1.23,1.058,0.044,0.044,0.044
G,1.746,1.57,1.877,0.056,0.057,0.056,1.394,1.108,1.105,0.045,0.045,0.044
H,1.915,1.788,1.848,0.06,0.059,0.06,1.199,1.237,1.03,0.044,0.045,0.044
,,,,,,,,,,,,
IDs,1,2,3,4,5,6,7,8,9,10,11,12
A,Std 0,Std 0,Std 0,GWI_SW_A,GWI_SW_A,GWI_SW_A,MSM_TR_RHZ_6,MSM_TR_RHZ_6,MSM_TR_RHZ_6,MSM_WC_RHZ_4,MSM_WC_RHZ_4,MSM_WC_RHZ_4
B,Std 1,Std 1,Std 1,GWI_SW_B,GWI_SW_B,GWI_SW_B,MSM_TR_RHZ_7,MSM_TR_RHZ_7,MSM_TR_RHZ_7,MSM_WC_RHZ_5,MSM_WC_RHZ_5,MSM_WC_RHZ_5
C,Std 2,Std 2,Std 2,GWI_SW_C,GWI_SW_C,GWI_SW_C,MSM_TR_RHZ_8,MSM_TR_RHZ_8,MSM_TR_RHZ_8,MSM_WC_RHZ_A,MSM_WC_RHZ_A,MSM_WC_RHZ_A
D,Std 3,Std 3,Std 3,MSM_TR_RHZ_1,MSM_TR_RHZ_1,MSM_TR_RHZ_1,MSM_WC_RHZ_1,MSM_WC_RHZ_1,MSM_WC_RHZ_1,MSM_WC_RHZ_C,MSM_WC_RHZ_C,MSM_WC_RHZ_C
E,Std 4,Std 4,Std 4,MSM_TR_RHZ_2,MSM_TR_RHZ_2,MSM_TR_RHZ_2,MSM_WC_RHZ_2,MSM_WC_RHZ_2,MSM_WC_RHZ_2,,,
F,Std 5,Std 5,Std 5,MSM_TR_RHZ_3,MSM_TR_RHZ_3,MSM_TR_RHZ_3,MSM_WC_RHZ_2_dup,MSM_WC_RHZ_2_dup,MSM_WC_RHZ_2_dup,,,
G,MC: 10ppt,MC: 10ppt,MC: 10ppt,MSM_TR_RHZ_4,MSM_TR_RHZ_4,MSM_TR_RHZ_4,MSM_WC_RHZ_3,MSM_WC_RHZ_3,MSM_WC_RHZ_3,,,
H,MC: 20ppt,MC: 20ppt,MC: 20ppt,MSM_TR_RHZ_5,MSM_TR_RHZ_5,MSM_TR_RHZ_5,MSM_WC_RHZ_3_spk,MSM_WC_RHZ_3_spk,MSM_WC_RHZ_3_spk,,,
,,,,,,,,,,,,
Dilutions,1,2,3,4,5,6,7,8,9,10,11,12
A,1,1,1,1,1,1,1,1,1,1,1,1
B,1,1,1,1,1,1,1,1,1,1,1,1
C,1,1,1,1,1,1,1,1,1,1,1,1
D,1,1,1,1,1,1,25,25,25,1,1,1
E,1,1,1,1,1,1,25,25,25,1,1,1
F,1,1,1,1,1,1,25,25,25,1,1,1
G,1,1,1,1,1,1,1,1,1,1,1,1
H,1,1,1,1,1,1,1,1,1,1,1,1
