Plate8,1,2,3,4,5,6,7,8,9,10,11,12,
A,0.049,0.052,0.049,0.072,0.077,0.08,0.076,0.072,0.079,1.617,1.436,1.281,670
B,0.129,0.142,0.114,0.126,0.123,0.147,1.018,0.901,0.967,0.983,0.984,0.866,670
C,0.228,0.202,0.215,0.078,0.08,0.084,1.324,1.03,1.01,0.83,0.827,0.706,670
D,0.501,0.422,0.411,0.074,0.076,0.072,1.853,1.81,1.707,0.394,0.302,0.324,670
E,0.706,0.744,0.785,0.077,0.078,0.077,1.186,1.037,1.073,0.478,0.426,0.48,670
F,1.305,1.191,1.113,0.078,0.082,0.083,1.133,1.156,1.094,0.94,0.923,0.933,670
G,1.515,1.401,1.25,0.075,0.074,0.073,1.247,1.01,1.064,0.681,0.719,0.763,670
H,1.215,1.239,1.306,0.075,0.071,0.069,1.209,0.994,0.97,0.8,0.746,0.693,670
,,,,,,,,,,,,,
IDs,1,2,3,4,5,6,7,8,9,10,11,12,
A,Std 0,Std 0,Std 0,MSM_PPR_WC_4,MSM_PPR_WC_4,MSM_PPR_WC_4,MSM_PPR_WC_12,MSM_PPR_WC_12,MSM_PPR_WC_12,GCW_WC_LysB_45cm,GCW_WC_LysB_45cm,GCW_WC_LysB_45cm,
B,Std 1,Std 1,Std 1,MSM_PPR_WC_5,MSM_PPR_WC_5,MSM_PPR_WC_5,GCW_WC_LysA_10cm,GCW_WC_LysA_10cm,GCW_WC_LysA_10cm,GCW_WC_LysC_10cm,GCW_WC_LysC_10cm,GCW_WC_LysC_10cm,
C,Std 2,Std 2,Std 2,MSM_PPR_WC_6,MSM_PPR_WC_6,MSM_PPR_WC_6,GCW_WC_LysA_20cm,GCW_WC_LysA_20cm,GCW_WC_LysA_20cm,GCW_WC_LysC_20cm,GCW_WC_LysC_20cm,GCW_WC_LysC_20cm,
D,Std 3,Std 3,Std 3,MSM_PPR_WC_7,MSM_PPR_WC_7,MSM_PPR_WC_7,GCW_WC_LysA_45cm,GCW_WC_LysA_45cm,GCW_WC_LysA_45cm,MSM_WC_LysA_10cm,MSM_WC_LysA_10cm,MSM_WC_LysA_10cm,
E,Std 4,Std 4,Std 4,MSM_PPR_WC_8,MSM_PPR_WC_8,MSM_PPR_WC_8,GCW_WC_LysB_10cm,GCW_WC_LysB_10cm,GCW_WC_LysB_10cm,MSM_WC_LysA_20cm,MSM_WC_LysA_20cm,MSM_WC_LysA_20cm,
F,Std 5,Std 5,Std 5,MSM_PPR_WC_9,MSM_PPR_WC_9,MSM_PPR_WC_9,GCW_WC_LysB_10cm_dup,GCW_WC_LysB_10cm_dup,GCW_WC_LysB_10cm_dup,GCW_WC_LysC_45cm,GCW_WC_LysC_45cm,GCW_WC_LysC_45cm,
G,MC: 10ppt,MC: 10ppt,MC: 10ppt,MSM_PPR_WC_10,MSM_PPR_WC_10,MSM_PPR_WC_10,GCW_WC_LysB_20cm,GCW_WC_LysB_20cm,GCW_WC_LysB_20cm,MSM_WC_LysB_10cm,MSM_WC_LysB_10cm,MSM_WC_LysB_10cm,
H,MC: 20ppt,MC: 20ppt,MC: 20ppt,MSM_PPR_WC_11,MSM_PPR_WC_11,MSM_PPR_WC_11,GCW_WC_LysB_20cm_spk,GCW_WC_LysB_20cm_spk,GCW_WC_LysB_20cm_spk,MSM_WC_LysB_20cm,MSM_WC_LysB_20cm,MSM_WC_LysB_20cm,
,,,,,,,,,,,,,
Dilutions,1,2,3,4,5,6,7,8,9,10,11,12,
A,1,1,1,1,1,1,25,25,25,25,25,25,
B,1,1,1,1,1,1,25,25,25,25,25,25,
C,1,1,1,1,1,1,25,25,25,25,25,25,
D,1,1,1,1,1,1,25,25,25,25,25,25,
E,1,1,1,1,1,1,25,25,25,25,25,25,
F,1,1,1,1,1,1,25,25,25,25,25,25,
G,1,1,1,1,1,1,25,25,25,25,25,25,
H,1,1,1,1,1,1,25,25,25,25,25,25,
