Abs1,1,2,3,4,5,6,7,8,9,10,11,12,
A,0.051,0.05,0.051,0.469,0.51,0.481,2.803,2.714,2.531,1.271,1.29,1.415,670
B,0.189,0.168,0.142,0.424,0.41,0.394,2.447,2.746,2.507,0.981,0.919,1.105,670
C,0.256,0.26,0.298,0.309,0.292,0.341,2.977,2.866,3.223,0.981,0.968,0.905,670
D,0.599,0.591,0.639,0.316,0.28,0.308,1.977,2.009,1.922,2.753,2.598,2.629,670
E,0.978,1.017,1.015,0.258,0.244,0.255,2.01,1.943,1.87,0.067,0.069,0.064,670
F,1.639,1.603,1.668,0.238,0.218,0.235,2.517,2.491,2.535,0.137,0.132,0.134,670
G,1.533,1.433,1.576,0.188,0.186,0.186,2.529,2.545,2.67,0.632,0.636,0.616,670
H,1.533,1.558,1.618,0.197,0.141,0.186,2.983,3.149,3.092,0.474,0.433,0.389,670
,,,,,,,,,,,,,
IDs,1,2,3,4,5,6,7,8,9,10,11,12,
A,Std 0,Std 0,Std 0,MSM_PPR_WC_5,MSM_PPR_WC_5,MSM_PPR_WC_5,GCW_WC_LysA_10cm,GCW_WC_LysA_10cm,GCW_WC_LysA_10cm,GCW_WC_LysC_10cm,GCW_WC_LysC_10cm,GCW_WC_LysC_10cm,
B,Std 1,Std 1,Std 1,MSM_PPR_WC_6,MSM_PPR_WC_6,MSM_PPR_WC_6,GCW_WC_LysA_20cm,GCW_WC_LysA_20cm,GCW_WC_LysA_20cm,GCW_WC_LysC_20cm,GCW_WC_LysC_20cm,GCW_WC_LysC_20cm,
C,Std 2,Std 2,Std 2,MSM_PPR_WC_7,MSM_PPR_WC_7,MSM_PPR_WC_7,GCW_WC_LysA_45cm,GCW_WC_LysA_45cm,GCW_WC_LysA_45cm,GWI_TR_LysB_20cm,GWI_TR_LysB_20cm,GWI_TR_LysB_20cm,
D,Std 3,Std 3,Std 3,MSM_PPR_WC_8,MSM_PPR_WC_8,MSM_PPR_WC_8,GCW_WC_LysB_10cm,GCW_WC_LysB_10cm,GCW_WC_LysB_10cm,GCW_WC_LysC_45cm,GCW_WC_LysC_45cm,GCW_WC_LysC_45cm,
E,Std 4,Std 4,Std 4,MSM_PPR_WC_9,MSM_PPR_WC_9,MSM_PPR_WC_9,GCW_WC_LysB_10cm_dup,GCW_WC_LysB_10cm_dup,GCW_WC_LysB_10cm_dup,MSM_PPR_WC_1,MSM_PPR_WC_1,MSM_PPR_WC_1,
F,Std 5,Std 5,Std 5,MSM_PPR_WC_10,MSM_PPR_WC_10,MSM_PPR_WC_10,GCW_WC_LysB_20cm,GCW_WC_LysB_20cm,GCW_WC_LysB_20cm,MSM_PPR_WC_2,MSM_PPR_WC_2,MSM_PPR_WC_2,
G,MC: 10ppt,MC: 10ppt,MC: 10ppt,MSM_PPR_WC_11,MSM_PPR_WC_11,MSM_PPR_WC_11,GCW_WC_LysB_20cm_spk,GCW_WC_LysB_20cm_spk,GCW_WC_LysB_20cm_spk,MSM_PPR_WC_3,MSM_PPR_WC_3,MSM_PPR_WC_3,
H,MC: 20ppt,MC: 20ppt,MC: 20ppt,MSM_PPR_WC_12,MSM_PPR_WC_12,MSM_PPR_WC_12,GCW_WC_LysB_45cm,GCW_WC_LysB_45cm,GCW_WC_LysB_45cm,MSM_PPR_WC_4,MSM_PPR_WC_4,MSM_PPR_WC_4,
,,,,,,,,,,,,,
Dilutions,1,2,3,4,5,6,7,8,9,10,11,12,
A,1,1,1,1,1,1,10,10,10,10,10,10,
B,1,1,1,1,1,1,10,10,10,10,10,10,
C,1,1,1,1,1,1,10,10,10,10,10,10,
D,1,1,1,1,1,1,10,10,10,10,10,10,
E,1,1,1,1,1,1,10,10,10,1,1,1,
F,1,1,1,1,1,1,10,10,10,1,1,1,
G,1,1,1,1,1,1,10,10,10,1,1,1,
H,1,1,1,1,1,1,10,10,10,1,1,1,
