Abs1,1,2,3,4,5,6,7,8,9,10,11,12,
A,0.053,0.049,0.048,2.444,2.435,2.444,0.07,0.072,0.069,0.053,0.052,0.053,670
B,0.133,0.167,0.128,0.171,0.161,0.149,0.072,0.074,0.074,0.05,0.051,0.052,670
C,0.26,0.359,0.295,0.06,0.062,0.062,0.066,0.065,0.064,0.072,0.07,0.074,670
D,0.555,0.469,0.544,0.141,0.15,0.138,0.077,0.079,0.077,0.135,0.134,0.131,670
E,0.954,0.942,1.047,0.054,0.053,0.054,0.077,0.075,0.079,0.082,0.082,0.08,670
F,1.595,1.768,1.51,0.083,0.095,0.083,0.058,0.058,0.057,0.164,0.169,0.161,670
G,1.657,1.685,1.686,0.059,0.057,0.057,0.38,0.393,0.385,0.204,0.215,0.202,670
H,1.546,1.611,1.645,0.137,0.141,0.14,0.052,0.051,0.053,0.366,0.365,0.34,670
,,,,,,,,,,,,,
IDs,1,2,3,4,5,6,7,8,9,10,11,12,
A,Std 0,Std 0,Std 0,GWI_TR_LysB_20cm,GWI_TR_LysB_20cm,GWI_TR_LysB_20cm,GWI_WC_LysB_20cm,GWI_WC_LysB_20cm,GWI_WC_LysB_20cm,GWI_SW_B,GWI_SW_B,GWI_SW_B,
B,Std 1,Std 1,Std 1,GWI_TR_LysB_45cm,GWI_TR_LysB_45cm,GWI_TR_LysB_45cm,GWI_WC_LysB_45cm,GWI_WC_LysB_45cm,GWI_WC_LysB_45cm,GWI_SW_C,GWI_SW_C,GWI_SW_C,
C,Std 2,Std 2,Std 2,GWI_TR_LysC_10cm,GWI_TR_LysC_10cm,GWI_TR_LysC_10cm,GWI_WC_LysC_10cm,GWI_WC_LysC_10cm,GWI_WC_LysC_10cm,MSM_PPR_UP_1,MSM_PPR_UP_1,MSM_PPR_UP_1,
D,Std 3,Std 3,Std 3,GWI_TR_LysC_20cm,GWI_TR_LysC_20cm,GWI_TR_LysC_20cm,GWI_WC_LysC_20cm,GWI_WC_LysC_20cm,GWI_WC_LysC_20cm,MSM_PPR_UP_2,MSM_PPR_UP_2,MSM_PPR_UP_2,
E,Std 4,Std 4,Std 4,GWI_WC_LysA_10cm,GWI_WC_LysA_10cm,GWI_WC_LysA_10cm,GWI_WC_LysC_20cm_dup,GWI_WC_LysC_20cm_dup,GWI_WC_LysC_20cm_dup,MSM_PPR_UP_3,MSM_PPR_UP_3,MSM_PPR_UP_3,
F,Std 5,Std 5,Std 5,GWI_WC_LysA_20cm,GWI_WC_LysA_20cm,GWI_WC_LysA_20cm,GWI_WC_LysC_45cm,GWI_WC_LysC_45cm,GWI_WC_LysC_45cm,MSM_PPR_UP_4,MSM_PPR_UP_4,MSM_PPR_UP_4,
G,MC: 10ppt,MC: 10ppt,MC: 10ppt,GWI_WC_LysA_45cm,GWI_WC_LysA_45cm,GWI_WC_LysA_45cm,GWI_WC_LysC_45cm_spk,GWI_WC_LysC_45cm_spk,GWI_WC_LysC_45cm_spk,MSM_PPR_UP_5,MSM_PPR_UP_5,MSM_PPR_UP_5,
H,MC: 20ppt,MC: 20ppt,MC: 20ppt,GWI_WC_LysB_10cm,GWI_WC_LysB_10cm,GWI_WC_LysB_10cm,GWI_SW_A,GWI_SW_A,GWI_SW_A,MSM_PPR_UP_6,MSM_PPR_UP_6,MSM_PPR_UP_6,
,,,,,,,,,,,,,
Dilutions,1,2,3,4,5,6,7,8,9,10,11,12,
A,1,1,1,1,1,1,1,1,1,1,1,1,
B,1,1,1,1,1,1,1,1,1,1,1,1,
C,1,1,1,1,1,1,1,1,1,1,1,1,
D,1,1,1,1,1,1,1,1,1,1,1,1,
E,1,1,1,1,1,1,1,1,1,1,1,1,
F,1,1,1,1,1,1,1,1,1,1,1,1,
G,1,1,1,1,1,1,1,1,1,1,1,1,
H,1,1,1,1,1,1,1,1,1,1,1,1,
