,1,2,3,4,5,6,7,8,9,10,11,12
A,0.058,0.052,0.049,0.051,0.053,0.047,0.057,0.052,0.055,2.634,2.909,2.732
B,0.202,0.195,0.205,0.05,0.05,0.048,0.055,0.052,0.059,1.327,1.424,1.319
C,0.354,0.339,0.331,0.052,0.052,0.052,0.137,0.137,0.142,2.814,2.601,2.784
D,0.54,0.556,0.546,0.047,0.048,0.05,0.06,0.057,0.06,2.949,2.871,3.049
E,1.032,0.899,0.981,0.051,0.05,0.05,0.065,0.057,0.058,2.5,2.507,2.176
F,1.819,1.734,1.518,0.049,0.048,0.045,0.051,0.051,0.051,2.704,2.459,2.691
G,1.565,1.681,1.641,0.047,0.048,0.047,0.054,0.053,0.07,2.757,2.933,2.692
H,1.729,1.638,1.599,0.063,0.059,0.06,0.05,0.047,0.049,2.997,3.13,3.098
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,Std 0,Std 0,Std 0,1_202207_ Gcrew_ UP_ LysB_10cm,1_202207_ Gcrew_ UP_ LysB_10cm,1_202207_ Gcrew_ UP_ LysB_10cm,9_202207_ Gcrew_ TR_ LysC_10cm,9_202207_ Gcrew_ TR_ LysC_10cm,9_202207_ Gcrew_ TR_ LysC_10cm,16_202207_ Gcrew_ WC_ SipA_10cm DILx50,16_202207_ Gcrew_ WC_ SipA_10cm DILx50,16_202207_ Gcrew_ WC_ SipA_10cm DILx50
B,Std 1,Std 1,Std 1,2_202207_ Gcrew_ UP_ LysC_10cm,2_202207_ Gcrew_ UP_ LysC_10cm,2_202207_ Gcrew_ UP_ LysC_10cm,10_202207_ Gcrew_ TR_ LysA_20cm,10_202207_ Gcrew_ TR_ LysA_20cm,10_202207_ Gcrew_ TR_ LysA_20cm,17_202207_ Gcrew_ WC_ SipB_10cm DILx50,17_202207_ Gcrew_ WC_ SipB_10cm DILx50,17_202207_ Gcrew_ WC_ SipB_10cm DILx50
C,Std 2 ,Std 2,Std 2,3_202207_ Gcrew_ UP_ LysA_20cm,3_202207_ Gcrew_ UP_ LysA_20cm,3_202207_ Gcrew_ UP_ LysA_20cm,10_202207_ Gcrew_ TR_ LysA_20 SPK,10_202207_ Gcrew_ TR_ LysA_20 SPK,10_202207_ Gcrew_ TR_ LysA_20 SPK,18_202207_ Gcrew_ WC_ SipC_10cm DILx50,18_202207_ Gcrew_ WC_ SipC_10cm DILx50,18_202207_ Gcrew_ WC_ SipC_10cm DILx50
D,Std 3,Std 3,Std 3,4_202207_ Gcrew_ UP_ LysB_20cm,4_202207_ Gcrew_ UP_ LysB_20cm,4_202207_ Gcrew_ UP_ LysB_20cm,11_202207_ Gcrew_ TR_ LysB_20cm,11_202207_ Gcrew_ TR_ LysB_20cm,11_202207_ Gcrew_ TR_ LysB_20cm,19_202207_ Gcrew_ WC_ SipA_20cm DILx50,19_202207_ Gcrew_ WC_ SipA_20cm DILx50,19_202207_ Gcrew_ WC_ SipA_20cm DILx50
E,Std 4,Std 4,Std 4,5_202207_ Gcrew_ UP_ LysC_20cm,5_202207_ Gcrew_ UP_ LysC_20cm,5_202207_ Gcrew_ UP_ LysC_20cm,12_202207_ Gcrew_ TR_ LysC_20cm,12_202207_ Gcrew_ TR_ LysC_20cm,12_202207_ Gcrew_ TR_ LysC_20cm,20_202207_ Gcrew_ WC_ SipB_20cm DILx50,20_202207_ Gcrew_ WC_ SipB_20cm DILx50,20_202207_ Gcrew_ WC_ SipB_20cm DILx50
F,Std 5,Std 5,Std 5,6_202207_ Gcrew_ UP_ LysB_45cm,6_202207_ Gcrew_ UP_ LysB_45cm,6_202207_ Gcrew_ UP_ LysB_45cm,13_202207_ Gcrew_ TR_ LysA_45cm,13_202207_ Gcrew_ TR_ LysA_45cm,13_202207_ Gcrew_ TR_ LysA_45cm,21_202207_ Gcrew_ WC_ SipC_20cm DILx50,21_202207_ Gcrew_ WC_ SipC_20cm DILx50,21_202207_ Gcrew_ WC_ SipC_20cm DILx50
G,MC: Spike 10ppt,MC: Spike 10ppt,MC: Spike 10ppt,7_202207_ Gcrew_ UP_ LysC_45cm,7_202207_ Gcrew_ UP_ LysC_45cm,7_202207_ Gcrew_ UP_ LysC_45cm,14_202207_ Gcrew_ TR_ LysB_45cm,14_202207_ Gcrew_ TR_ LysB_45cm,14_202207_ Gcrew_ TR_ LysB_45cm,22_202207_ Gcrew_ WC_ SipA_45cm DILx50,22_202207_ Gcrew_ WC_ SipA_45cm DILx50,22_202207_ Gcrew_ WC_ SipA_45cm DILx50
H,MC: Spike 20ppt,MC: Spike 20ppt,MC: Spike 20ppt,8_202207_ Gcrew_ TR_ LysB_10cm,8_202207_ Gcrew_ TR_ LysB_10cm,8_202207_ Gcrew_ TR_ LysB_10cm,15_202207_ Gcrew_ TR_ LysC_45cm,15_202207_ Gcrew_ TR_ LysC_45cm,15_202207_ Gcrew_ TR_ LysC_45cm,23_202207_ Gcrew_ WC_ SipB_45cm DILx50,23_202207_ Gcrew_ WC_ SipB_45cm DILx50,23_202207_ Gcrew_ WC_ SipB_45cm DILx50
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,1,1,1,1,1,1,1,1,1,50,50,50
B,1,1,1,1,1,1,1,1,1,50,50,50
C,1,1,1,1,1,1,1,1,1,50,50,50
D,1,1,1,1,1,1,1,1,1,50,50,50
E,1,1,1,1,1,1,1,1,1,50,50,50
F,1,1,1,1,1,1,1,1,1,50,50,50
G,1,1,1,1,1,1,1,1,1,50,50,50
H,1,1,1,1,1,1,1,1,1,50,50,50
