SO4_vial_no,Date,Month,Year,Campaign,Site,Zone,Rep,Depth,Tree,Sample Name
1,202210,October,2022,MonMon,Gcrew,UP,LysA,20cm,,1_202210_Gcrew_UP_LysA_20cm
10,202210,October,2022,MonMon,GCrew,TR,LysB,20cm,,10_202210_GCrew_TR_LysB_20cm
100,202210,October,2022,MonMon,MSM,UP,RHZ,,1,100_202210_MSM_UP_RHZ_SF_1
101,202210,October,2022,MonMon,MSM,UP,RHZ,,2,101_202210_MSM_UP_RHZ_SF_2
102,202210,October,2022,MonMon,MSM,UP,RHZ,,3,102_202210_MSM_UP_RHZ_SF_3
103,202210,October,2022,MonMon,MSM,UP,RHZ,,4,103_202210_MSM_UP_RHZ_SF_4
104,202210,October,2022,MonMon,MSM,UP,RHZ,,5,104_202210_MSM_UP_RHZ_SF_5
105,202210,October,2022,MonMon,MSM,UP,RHZ,,6,105_202210_MSM_UP_RHZ_SF_6
106,202210,October,2022,MonMon,MSM,UP,RHZ,,7,106_202210_MSM_UP_RHZ_SF_7
107,202210,October,2022,MonMon,MSM,UP,RHZ,,8,107_202210_MSM_UP_RHZ_SF_8
108,202210,October,2022,MonMon,MSM,UP,PPR,,1,108_202210_MSM_PPR_UP_1
109,202210,October,2022,MonMon,MSM,UP,PPR,,2,109_202210_MSM_PPR_UP_2
11,202210,October,2022,MonMon,GCrew,TR,LysB,45cm,,11_202210_GCrew_TR_LysB_45cm
110,202210,October,2022,MonMon,MSM,UP,PPR,,3,110_202210_MSM_PPR_UP_3
111,202210,October,2022,MonMon,MSM,UP,PPR,,4,111_202210_MSM_PPR_UP_4
112,202210,October,2022,MonMon,MSM,UP,PPR,,5,112_202210_MSM_PPR_UP_5
113,202210,October,2022,MonMon,MSM,UP,PPR,,6,113_202210_MSM_PPR_UP_6
114,202210,October,2022,MonMon,MSM,UP,PPR,,7,114_202210_MSM_PPR_UP_7
115,202210,October,2022,MonMon,MSM,UP,PPR,,8,115_202210_MSM_PPR_UP_8
116,202210,October,2022,MonMon,MSM,UP,PPR,,9,116_202210_MSM_PPR_UP_9
117,202210,October,2022,MonMon,MSM,UP,PPR,,10,117_202210_MSM_PPR_UP_10
118,202210,October,2022,MonMon,MSM,UP,PPR,,11,118_202210_MSM_PPR_UP_11
119,202210,October,2022,MonMon,MSM,UP,PPR,,12,119_202210_MSM_PPR_UP_12
12,202210,October,2022,MonMon,GCrew,TR,LysC,10cm,,12_202210_GCrew_TR_LysC_10cm
120,202210,October,2022,MonMon,MSM,TR,PPR,,1,120_202210_MSM_PPR_TR_1
121,202210,October,2022,MonMon,MSM,TR,PPR,,2,121_202210_MSM_PPR_TR_2
122,202210,October,2022,MonMon,MSM,TR,PPR,,3,122_202210_MSM_PPR_TR_3
123,202210,October,2022,MonMon,MSM,TR,PPR,,4,123_202210_MSM_PPR_TR_4
124,202210,October,2022,MonMon,MSM,TR,PPR,,5,124_202210_MSM_PPR_TR_5
125,202210,October,2022,MonMon,MSM,TR,PPR,,6,125_202210_MSM_PPR_TR_6
126,202210,October,2022,MonMon,MSM,TR,PPR,,7,126_202210_MSM_PPR_TR_7
127,202210,October,2022,MonMon,MSM,TR,PPR,,8,127_202210_MSM_PPR_TR_8
128,202210,October,2022,MonMon,MSM,TR,PPR,,9,128_202210_MSM_PPR_TR_9
129,202210,October,2022,MonMon,MSM,TR,PPR,,10,129_202210_MSM_PPR_TR_10
13,202210,October,2022,MonMon,GCrew,TR,LysC,20cm,,13_202210_GCrew_TR_LysC_20cm
130,202210,October,2022,MonMon,MSM,TR,PPR,,11,130_202210_MSM_PPR_TR_11
131,202210,October,2022,MonMon,MSM,TR,PPR,,12,131_202210_MSM_PPR_TR_12
132,202210,October,2022,MonMon,MSM,WC,PPR,,1,132_202210_MSM_PPR_WC_1
133,202210,October,2022,MonMon,MSM,WC,PPR,,2,133_202210_MSM_PPR_WC_2
134,202210,October,2022,MonMon,MSM,WC,PPR,,3,134_202210_MSM_PPR_WC_3
135,202210,October,2022,MonMon,MSM,WC,PPR,,4,135_202210_MSM_PPR_WC_4
136,202210,October,2022,MonMon,MSM,WC,PPR,,5,136_202210_MSM_PPR_WC_5
137,202210,October,2022,MonMon,MSM,WC,PPR,,6,137_202210_MSM_PPR_WC_6
138,202210,October,2022,MonMon,MSM,WC,PPR,,7,138_202210_MSM_PPR_WC_7
139,202210,October,2022,MonMon,MSM,WC,PPR,,8,139_202210_MSM_PPR_WC_8
14,202210,October,2022,MonMon,GCrew,TR,LysC,45cm,,14_202210_GCrew_TR_LysC_45cm
140,202210,October,2022,MonMon,MSM,WC,PPR,,9,140_202210_MSM_PPR_WC_9
