Date,Month,Year,Campaign,Site,Zone,Depth,Rep,Sample Name,SO4_vial_no
202209,September,2022,MonMon,Gcrew,UP,10,A,GCrew_UP_LysA_10cm,NA
202209,September,2022,MonMon,Gcrew,UP,10,B,GCrew_UP_LysB_10cm,NA
202209,September,2022,MonMon,Gcrew,UP,10,C,GCrew_UP_LysC_10cm,NA
202209,September,2022,MonMon,Gcrew,UP,20,A,GCrew_UP_LysA_20cm,58
202209,September,2022,MonMon,Gcrew,UP,20,B,GCrew_UP_LysB_20cm,NA
202209,September,2022,MonMon,Gcrew,UP,20,C,GCrew_UP_LysC_20cm,NA
202209,September,2022,MonMon,Gcrew,UP,45,A,GCrew_UP_LysA_45cm,NA
202209,September,2022,MonMon,Gcrew,UP,45,B,GCrew_UP_LysB_45cm,NA
202209,September,2022,MonMon,Gcrew,UP,45,C,GCrew_UP_LysC_45cm,NA
202209,September,2022,MonMon,Gcrew,TR,10,A,GCrew_TR_LysA_10cm,NA
202209,September,2022,MonMon,Gcrew,TR,10,B,GCrew_TR_LysB_10cm,61
202209,September,2022,MonMon,Gcrew,TR,10,C,GCrew_TR_LysC_10cm,64
202209,September,2022,MonMon,Gcrew,TR,20,A,GCrew_TR_LysA_20cm,59
202209,September,2022,MonMon,Gcrew,TR,20,B,GCrew_TR_LysB_20cm,62
202209,September,2022,MonMon,Gcrew,TR,20,C,GCrew_TR_LysC_20cm,65
202209,September,2022,MonMon,Gcrew,TR,45,A,GCrew_TR_LysA_45cm,60
202209,September,2022,MonMon,Gcrew,TR,45,B,GCrew_TR_LysB_45cm,63
202209,September,2022,MonMon,Gcrew,TR,45,C,GCrew_TR_LysC_45cm,66
202209,September,2022,MonMon,Gcrew,WC,10,A,GCrew_WC_SipA_10cm,67
202209,September,2022,MonMon,Gcrew,WC,10,B,GCrew_WC_SipB_10cm,70
202209,September,2022,MonMon,Gcrew,WC,10,C,GCrew_WC_SipC_10cm,73
202209,September,2022,MonMon,Gcrew,WC,20,A,GCrew_WC_SipA_20cm,68
202209,September,2022,MonMon,Gcrew,WC,20,B,GCrew_WC_SipB_20cm,71
202209,September,2022,MonMon,Gcrew,WC,20,C,GCrew_WC_SipC_20cm,74
202209,September,2022,MonMon,Gcrew,WC,45,A,GCrew_WC_SipA_45cm,69
202209,September,2022,MonMon,Gcrew,WC,45,B,GCrew_WC_SipB_45cm,72
202209,September,2022,MonMon,Gcrew,WC,45,C,GCrew_WC_SipC_45cm,75
202209,September,2022,MonMon,Gcrew,,,A,GCrew_SW_A,76
202209,September,2022,MonMon,Gcrew,,,B,Gcrew_SW_B,77
202209,September,2022,MonMon,Gcrew,,,C,Gcrew_SW_C,78
202209,September,2022,MonMon,MSM,UP,10,A,MSM_UP_LysA_10cm,NA
202209,September,2022,MonMon,MSM,UP,10,B,MSM_UP_LysB_10cm,3
202209,September,2022,MonMon,MSM,UP,10,C,MSM_UP_LysC_10cm,6
202209,September,2022,MonMon,MSM,UP,20,A,MSM_UP_LysA_20cm,1
202209,September,2022,MonMon,MSM,UP,20,B,MSM_UP_LysB_20cm,4
202209,September,2022,MonMon,MSM,UP,20,C,MSM_UP_LysC_20cm,7
202209,September,2022,MonMon,MSM,UP,45,A,MSM_UP_LysA_45cm,2
202209,September,2022,MonMon,MSM,UP,45,B,MSM_UP_LysB_45cm,5
202209,September,2022,MonMon,MSM,UP,45,C,MSM_UP_LysC_45cm,8
202209,September,2022,MonMon,MSM,TR,10,A,MSM_TR_LysA_10cm,9
202209,September,2022,MonMon,MSM,TR,10,B,MSM_TR_LysB_10cm,12
202209,September,2022,MonMon,MSM,TR,10,C,MSM_TR_LysC_10cm,14
202209,September,2022,MonMon,MSM,TR,20,A,MSM_TR_LysA_20cm,10
202209,September,2022,MonMon,MSM,TR,20,B,MSM_TR_LysB_20cm,13
202209,September,2022,MonMon,MSM,TR,20,C,MSM_TR_LysC_20cm,15
202209,September,2022,MonMon,MSM,TR,45,A,MSM_TR_LysA_45cm,11
202209,September,2022,MonMon,MSM,TR,45,B,MSM_TR_LysB_45cm,NA
202209,September,2022,MonMon,MSM,TR,45,C,MSM_TR_LysC_45cm,16
202209,September,2022,MonMon,MSM,WC,10,A,MSM_WC_SipA_10cm,17
202209,September,2022,MonMon,MSM,WC,10,B,MSM_WC_SipB_10cm,20
202209,September,2022,MonMon,MSM,WC,10,C,MSM_WC_SipC_10cm,23
202209,September,2022,MonMon,MSM,WC,20,A,MSM_WC_SipA_20cm,18
202209,September,2022,MonMon,MSM,WC,20,B,MSM_WC_SipB_20cm,21
202209,September,2022,MonMon,MSM,WC,20,C,MSM_WC_SipC_20cm,24
202209,September,2022,MonMon,MSM,WC,45,A,MSM_WC_SipA_45cm,19
202209,September,2022,MonMon,MSM,WC,45,B,MSM_WC_SipB_45cm,22
202209,September,2022,MonMon,MSM,WC,45,C,MSM_WC_SipC_45cm,25
202209,September,2022,MonMon,MSM,,,A,MSM_SW_A,26
202209,September,2022,MonMon,MSM,,,B,MSM_SW_B,27
202209,September,2022,MonMon,MSM,,,C,MSM_SW_C,28
202209,September,2022,MonMon,GWI,UP,10,A,GWI_UP_LysA_10cm,NA
202209,September,2022,MonMon,GWI,UP,10,B,GWI_UP_LysB_10cm,32
202209,September,2022,MonMon,GWI,UP,10,C,GWI_UP_LysC_10cm,35
202209,September,2022,MonMon,GWI,UP,20,A,GWI_UP_LysA_20cm,30/29
202209,September,2022,MonMon,GWI,UP,20,B,GWI_UP_LysB_20cm,33
202209,September,2022,MonMon,GWI,UP,20,C,GWI_UP_LysC_20cm,36
202209,September,2022,MonMon,GWI,UP,45,A,GWI_UP_LysA_45cm,31
202209,September,2022,MonMon,GWI,UP,45,B,GWI_UP_LysB_45cm,34
202209,September,2022,MonMon,GWI,UP,45,C,GWI_UP_LysC_45cm,NA
202209,September,2022,MonMon,GWI,TR,10,A,GWI_TR_LysA_10cm,37
202209,September,2022,MonMon,GWI,TR,10,B,GWI_TR_LysB_10cm,40
202209,September,2022,MonMon,GWI,TR,10,C,GWI_TR_LysC_10cm,43
202209,September,2022,MonMon,GWI,TR,20,A,GWI_TR_LysA_20cm,38
202209,September,2022,MonMon,GWI,TR,20,B,GWI_TR_LysB_20cm,41
202209,September,2022,MonMon,GWI,TR,20,C,GWI_TR_LysC_20cm,44
202209,September,2022,MonMon,GWI,TR,45,A,GWI_TR_LysA_45cm,39
202209,September,2022,MonMon,GWI,TR,45,B,GWI_TR_LysB_45cm,42
202209,September,2022,MonMon,GWI,TR,45,C,GWI_TR_LysC_45cm,45
202209,September,2022,MonMon,GWI,WC,10,A,GWI_WC_SipA_10cm,46
202209,September,2022,MonMon,GWI,WC,10,B,GWI_WC_SipB_10cm,49
202209,September,2022,MonMon,GWI,WC,10,C,GWI_WC_SipC_10cm,52
202209,September,2022,MonMon,GWI,WC,20,A,GWI_WC_SipA_20cm,47
202209,September,2022,MonMon,GWI,WC,20,B,GWI_WC_SipB_20cm,50
202209,September,2022,MonMon,GWI,WC,20,C,GWI_WC_SipC_20cm,53
202209,September,2022,MonMon,GWI,WC,45,A,GWI_WC_SipA_45cm,48
202209,September,2022,MonMon,GWI,WC,45,B,GWI_WC_SipB_45cm,51
202209,September,2022,MonMon,GWI,WC,45,C,GWI_WC_SipC_45cm,54
202209,September,2022,MonMon,GWI,,,A,GWI_SW_A,55
202209,September,2022,MonMon,GWI,,,B,GWI_SW_B,56
202209,September,2022,MonMon,GWI,,,C,GWI_SW_C,57
